"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"cj anderson","RB","LAR","2018","17","132","1","23","5.7","13"
"chris carson","RB","SEA","2018","17","122","1","19","6.4","61"
"marlon mack","RB","IND","2018","17","119","1","25","4.8","21"
"kenneth dixon","RB","BAL","2018","17","117","0","12","9.8","37"
"alfred morris","RB","SF","2018","17","111","1","16","6.9","51"
"jordan howard","RB","CHI","2018","17","109","2","21","5.2","42"
"saquon barkley","RB","NYG","2018","17","109","1","17","6.4","68"
"dwayne washington","RB","NO","2018","17","108","0","11","9.8","28"
"joe mixon","RB","CIN","2018","17","105","0","13","8.1","51"
"doug martin","RB","OAK","2018","17","100","0","21","4.8","15"
"josh allen 2","QB","BUF","2018","17","95","2","9","10.6","35"
"zach zenner","RB","DET","2018","17","93","1","21","4.4","13"
"derrick henry","RB","TEN","2018","17","93","0","16","5.8","33"
"lamar jackson","QB","BAL","2018","17","90","2","20","4.5","25"
"gus edwards","RB","BAL","2018","17","76","0","12","6.3","24"
"peyton barber","RB","TB","2018","17","66","0","15","4.4","9"
"deshaun watson","QB","HOU","2018","17","66","1","13","5.1","16"
"james conner","RB","PIT","2018","17","64","0","14","4.6","16"
"david johnson 2","RB","ARI","2018","17","62","0","17","3.6","15"
"royce freeman","RB","DEN","2018","17","60","0","17","3.5","9"
"austin ekeler","RB","LAC","2018","17","58","1","8","7.3","41"
"lamar miller","RB","HOU","2018","17","56","1","17","3.3","14"
"cameron artis payne","RB","CAR","2018","17","56","1","16","3.5","15"
"wendell smallwood","RB","PHI","2018","17","53","0","12","4.4","13"
"damien williams","RB","KC","2018","17","51","1","11","4.6","15"
"sony michel","RB","NE","2018","17","50","0","14","3.6","14"
"josh adams","RB","PHI","2018","17","50","0","11","4.5","13"
"kalen ballage","RB","MIA","2018","17","47","0","12","3.9","16"
"chris ivory","RB","BUF","2018","17","45","0","14","3.2","10"
"tevin coleman","RB","ATL","2018","17","45","1","8","5.6","23"
"mike davis 3","RB","SEA","2018","17","44","1","7","6.3","17"
"kenyan drake","RB","MIA","2018","17","43","0","11","3.9","9"
"melvin gordon","RB","LAC","2018","17","42","0","10","4.2","9"
"elijah mcguire","RB","NYJ","2018","17","41","0","18","2.3","17"
"deshone kizer","QB","GB","2018","17","40","0","4","10.0","12"
"dalvin cook","RB","MIN","2018","17","39","0","11","3.5","10"
"rod smith 3","RB","DAL","2018","17","35","1","12","2.9","13"
"darrel williams","RB","KC","2018","17","31","0","11","2.8","6"
"james white","RB","NE","2018","17","30","0","4","7.5","21"
"deandre washington","RB","OAK","2018","17","30","0","4","7.5","11"
"brian hill","RB","ATL","2018","17","30","0","8","3.8","12"
"john kelly","RB","LAR","2018","17","30","0","15","2.0","7"
"mark ingram","RB","NO","2018","17","28","0","5","5.6","16"
"sam darnold","QB","NYJ","2018","17","28","0","1","28.0","28"
"lesean mccoy","RB","BUF","2018","17","26","1","10","2.6","9"
"jeremy langford","RB","ATL","2018","17","25","0","9","2.8","7"
"darren sproles","RB","PHI","2018","17","24","0","7","3.4","11"
"julian edelman","WR","NE","2018","17","24","0","2","12.0","18"
"theo riddick","RB","DET","2018","17","24","0","4","6.0","8"
"tarik cohen","RB","CHI","2018","17","24","1","5","4.8","8"
"nick chubb","RB","CLE","2018","17","24","0","9","2.7","13"
"jameis winston","QB","TB","2018","17","23","0","2","11.5","15"
"wayne gallman","RB","NYG","2018","17","23","1","6","3.8","9"
"duke johnson","RB","CLE","2018","17","21","0","4","5.3","8"
"zach line","FB","NO","2018","17","19","0","3","6.3","9"
