"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"kerryon johnson","RB","DET","2018","7","158","0","19","8.3","71"
"marlon mack","RB","IND","2018","7","126","1","19","6.6","23"
"lamar miller","RB","HOU","2018","7","100","1","22","4.5","16"
"adrian peterson","RB","WAS","2018","7","99","0","24","4.1","23"
"dion lewis","RB","TEN","2018","7","91","0","13","7.0","36"
"phillip lindsay","RB","DEN","2018","7","90","1","14","6.4","28"
"kareem hunt","RB","KC","2018","7","86","1","15","5.7","21"
"chris ivory","RB","BUF","2018","7","81","0","16","5.1","21"
"mitchell trubisky","QB","CHI","2018","7","81","1","6","13.5","39"
"nick chubb","RB","CLE","2018","7","80","1","18","4.4","21"
"kenyan drake","RB","MIA","2018","7","72","1","6","12.0","54"
"latavius murray","RB","MIN","2018","7","69","2","15","4.6","38"
"malcolm brown","RB","LAR","2018","7","65","0","13","5.0","10"
"alvin kamara","RB","NO","2018","7","64","1","17","3.8","12"
"todd gurley","RB","LAR","2018","7","63","2","15","4.2","18"
"spencer ware","RB","KC","2018","7","59","0","8","7.4","34"
"raheem mostert","RB","SF","2018","7","59","0","7","8.4","16"
"jameis winston","QB","TB","2018","7","55","1","10","5.5","14"
"marcus murphy","RB","BUF","2018","7","53","0","4","13.3","30"
"legarrette blount","RB","DET","2018","7","50","1","10","5.0","13"
"tevin coleman","RB","ATL","2018","7","50","1","11","4.5","30"
"joe mixon","RB","CIN","2018","7","50","0","13","3.8","20"
"cam newton","QB","CAR","2018","7","49","0","7","7.0","14"
"nyheim hines","RB","IND","2018","7","47","0","5","9.4","18"
"jordan wilkins","RB","IND","2018","7","46","0","6","7.7","18"
"patrick mahomes ii","QB","KC","2018","7","45","0","4","11.3","23"
"baker mayfield","QB","CLE","2018","7","43","0","4","10.8","35"
"saquon barkley","RB","NYG","2018","7","43","1","14","3.1","15"
"austin ekeler","RB","LAC","2018","7","42","0","12","3.5","11"
"james white","RB","NE","2018","7","40","0","11","3.6","8"
