"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"ezekiel elliott","RB","DAL","2018","4","152","0","25","6.1","41"
"alvin kamara","RB","NO","2018","4","134","3","19","7.1","49"
"marshawn lynch","RB","OAK","2018","4","130","0","20","6.5","52"
"kareem hunt","RB","KC","2018","4","121","1","19","6.4","45"
"sony michel","RB","NE","2018","4","112","1","25","4.5","23"
"nick chubb","RB","CLE","2018","4","105","2","3","35.0","63"
"melvin gordon","RB","LAC","2018","4","104","0","15","6.9","34"
"mike davis 3","RB","SEA","2018","4","101","2","21","4.8","20"
"todd gurley","RB","LAR","2018","4","83","0","17","4.9","10"
"carlos hyde","RB","CLE","2018","4","82","1","22","3.7","16"
"david johnson 2","RB","ARI","2018","4","71","1","22","3.2","21"
"jay ajayi","RB","PHI","2018","4","70","0","15","4.7","15"
"giovani bernard","RB","CIN","2018","4","69","2","15","4.6","14"
"phillip lindsay","RB","DEN","2018","4","69","1","12","5.8","19"
"royce freeman","RB","DEN","2018","4","67","1","8","8.4","18"
"aaron jones 2","RB","GB","2018","4","65","1","11","5.9","30"
"kerryon johnson","RB","DET","2018","4","55","1","9","6.1","32"
"mitchell trubisky","QB","CHI","2018","4","53","0","3","17.7","26"
"tarik cohen","RB","CHI","2018","4","53","0","13","4.1","19"
"tj yeldon","RB","JAX","2018","4","52","1","18","2.9","10"
"tevin coleman","RB","ATL","2018","4","51","0","14","3.6","9"
"lamar miller","RB","HOU","2018","4","49","0","14","3.5","15"
"rashaad penny","RB","SEA","2018","4","49","0","9","5.4","15"
"marcus mariota","QB","TEN","2018","4","46","1","10","4.6","17"
"james white","RB","NE","2018","4","44","1","8","5.5","22"
"saquon barkley","RB","NYG","2018","4","44","1","10","4.4","28"
"alex collins","RB","BAL","2018","4","42","0","11","3.8","11"
"frank gore","RB","MIA","2018","4","41","0","11","3.7","14"
"deshaun watson","QB","HOU","2018","4","41","1","6","6.8","18"
"wendell smallwood","RB","PHI","2018","4","39","0","5","7.8","15"
"matt breida","RB","SF","2018","4","39","0","9","4.3","12"
"ito smith","RB","ATL","2018","4","35","1","7","5.0","13"
"aaron rodgers","QB","GB","2018","4","31","0","5","6.2","15"
"alfred blue","RB","HOU","2018","4","31","0","13","2.4","10"
"javorius allen","RB","BAL","2018","4","30","0","10","3.0","11"
"leonard fournette","RB","JAX","2018","4","30","0","11","2.7","8"
