"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"matt breida","RB","SF","2018","2","138","1","11","12.5","66"
"tevin coleman","RB","ATL","2018","2","107","0","16","6.7","36"
"phillip lindsay","RB","DEN","2018","2","107","0","14","7.6","53"
"joe mixon","RB","CIN","2018","2","84","0","21","4.0","21"
"ezekiel elliott","RB","DAL","2018","2","78","1","17","4.6","19"
"austin ekeler","RB","LAC","2018","2","77","0","11","7.0","22"
"kareem hunt","RB","KC","2018","2","75","0","18","4.2","16"
"lamar miller","RB","HOU","2018","2","68","0","14","4.9","18"
"marshawn lynch","RB","OAK","2018","2","65","1","18","3.6","11"
"jordan wilkins","RB","IND","2018","2","61","0","10","6.1","18"
"jamaal williams","RB","GB","2018","2","59","0","16","3.7","11"
"tj yeldon","RB","JAX","2018","2","58","0","10","5.8","20"
"derrick henry","RB","TEN","2018","2","56","0","18","3.1","9"
"kenyan drake","RB","MIA","2018","2","53","1","11","4.8","20"
"alfred morris","RB","SF","2018","2","48","0","14","3.4","9"
"david johnson 2","RB","ARI","2018","2","48","0","13","3.7","9"
"malcolm brown","RB","LAR","2018","2","46","0","12","3.8","19"
"alvin kamara","RB","NO","2018","2","46","0","13","3.5","18"
"ito smith","RB","ATL","2018","2","46","0","9","5.1","18"
"dak prescott","QB","DAL","2018","2","45","0","7","6.4","15"
"ryan tannehill","QB","MIA","2018","2","44","0","8","5.5","20"
"deshaun watson","QB","HOU","2018","2","44","0","5","8.8","15"
"carlos hyde","RB","CLE","2018","2","43","1","16","2.7","10"
"kerryon johnson","RB","DET","2018","2","43","0","8","5.4","21"
"dion lewis","RB","TEN","2018","2","42","0","14","3.0","13"
"cam newton","QB","CAR","2018","2","42","0","5","8.4","16"
"todd gurley","RB","LAR","2018","2","42","3","19","2.2","11"
"lesean mccoy","RB","BUF","2018","2","39","0","9","4.3","27"
"legarrette blount","RB","DET","2018","2","38","0","8","4.8","13"
"dalvin cook","RB","MIN","2018","2","38","0","10","3.8","9"
"christian mccaffrey","RB","CAR","2018","2","37","0","8","4.6","11"
"alfred blue","RB","HOU","2018","2","36","0","7","5.1","8"
"blake bortles","QB","JAX","2018","2","35","0","6","5.8","10"
"isaiah crowell","RB","NYJ","2018","2","35","0","12","2.9","12"
"jordan howard","RB","CHI","2018","2","35","0","14","2.5","7"
"alex collins","RB","BAL","2018","2","35","0","9","3.9","14"
"marlon mack","RB","IND","2018","2","34","0","10","3.4","8"
"sony michel","RB","NE","2018","2","34","0","10","3.4","15"
"josh allen 2","QB","BUF","2018","2","32","0","8","4.0","14"
"cj anderson","RB","CAR","2018","2","31","0","3","10.3","22"
"sammy watkins","WR","KC","2018","2","31","0","1","31.0","31"
"ty montgomery","RB","GB","2018","2","31","0","5","6.2","16"
"corey clement","RB","PHI","2018","2","30","1","6","5.0","15"
"rashaad penny","RB","SEA","2018","2","30","0","10","3.0","10"
"jamison crowder","WR","WAS","2018","2","29","0","2","14.5","25"
"melvin gordon","RB","LAC","2018","2","28","1","9","3.1","20"
"wendell smallwood","RB","PHI","2018","2","28","0","7","4.0","8"
"saquon barkley","RB","NYG","2018","2","28","0","11","2.5","10"
"royce freeman","RB","DEN","2018","2","28","1","8","3.5","14"
"giovani bernard","RB","CIN","2018","2","27","0","6","4.5","11"
"tyrod taylor","QB","CLE","2018","2","26","0","4","6.5","8"
"frank gore","RB","MIA","2018","2","25","0","9","2.8","8"
"doug martin","RB","OAK","2018","2","24","0","7","3.4","6"
"mitchell trubisky","QB","CHI","2018","2","24","0","5","4.8","17"
"chris carson","RB","SEA","2018","2","24","0","6","4.0","9"
"jay ajayi","RB","PHI","2018","2","23","1","7","3.3","20"
"rex burkhead","RB","NE","2018","2","22","0","6","3.7","12"
"peyton barber","RB","TB","2018","2","22","0","16","1.4","9"
"adrian peterson","RB","WAS","2018","2","20","0","11","1.8","14"
"latavius murray","RB","MIN","2018","2","19","0","4","4.8","9"
"matt ryan","QB","ATL","2018","2","18","2","4","4.5","8"
"mike gillislee","RB","NO","2018","2","18","0","8","2.3","4"
"patrick mahomes ii","QB","KC","2018","2","18","0","5","3.6","10"
"russell wilson","QB","SEA","2018","2","17","0","3","5.7","9"
"taylor gabriel","WR","CHI","2018","2","17","0","3","5.7","8"
"devontae booker","RB","DEN","2018","2","17","0","3","5.7","11"
"james conner","RB","PIT","2018","2","17","1","8","2.1","9"
"case keenum","QB","DEN","2018","2","16","1","3","5.3","8"
"tavon austin","WR","DAL","2018","2","15","0","1","15.0","15"
"alex smith","QB","WAS","2018","2","14","0","4","3.5","6"
"nick chubb","RB","CLE","2018","2","14","0","2","7.0","8"
"jacquizz rodgers","RB","TB","2018","2","13","0","5","2.6","7"
"corey grant","RB","JAX","2018","2","13","0","4","3.3","7"
"james white","RB","NE","2018","2","11","0","4","2.8","5"
"tom brady","QB","NE","2018","2","10","0","3","3.3","10"
"ben roethlisberger","QB","PIT","2018","2","9","1","2","4.5","6"
"golden tate","WR","DET","2018","2","9","0","1","9.0","9"
"shaun wilson","RB","TB","2018","2","9","0","1","9.0","9"
"aaron rodgers","QB","GB","2018","2","8","0","3","2.7","7"
"joe flacco","QB","BAL","2018","2","8","0","3","2.7","3"
"matthew stafford","QB","DET","2018","2","8","0","1","8.0","8"
"nick foles","QB","PHI","2018","2","8","0","3","2.7","4"
"albert wilson","WR","MIA","2018","2","8","0","2","4.0","5"
"javorius allen","RB","BAL","2018","2","8","1","6","1.3","6"
"tarik cohen","RB","CHI","2018","2","8","0","4","2.0","3"
"chris ivory","RB","BUF","2018","2","7","1","2","3.5","6"
"maxx williams","TE","BAL","2018","2","7","0","1","7.0","7"
"dj moore 2","WR","CAR","2018","2","7","0","1","7.0","7"
"antonio callaway","WR","CLE","2018","2","7","0","2","3.5","15"
"nyheim hines","RB","IND","2018","2","7","1","4","1.8","8"
"bilal powell","RB","NYJ","2018","2","6","0","5","1.2","4"
"marcus murphy","RB","BUF","2018","2","6","0","3","2.0","5"
"lamar jackson","QB","BAL","2018","2","6","0","2","3.0","5"
"philip rivers","QB","LAC","2018","2","5","0","3","1.7","7"
"kirk cousins","QB","MIN","2018","2","5","0","2","2.5","4"
"cordarrelle patterson","WR","NE","2018","2","5","0","1","5.0","5"
"jakeem grant","WR","MIA","2018","2","5","0","1","5.0","5"
"cj ham","FB","MIN","2018","2","5","0","1","5.0","5"
