"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"jacquizz rodgers","RB","TB","2018","16","2","1","2","1.0","2"
"darius jennings","WR","TEN","2018","16","2","0","1","2.0","2"
"cody kessler","QB","JAX","2018","16","2","0","1","2.0","2"
"dak prescott","QB","DAL","2018","16","2","1","4","0.5","7"
"nyheim hines","RB","IND","2018","16","2","1","2","1.0","1"
"philip rivers","QB","LAC","2018","16","1","0","1","1.0","1"
"nick foles","QB","PHI","2018","16","1","0","1","1.0","1"
"kirk cousins","QB","MIN","2018","16","1","0","1","1.0","1"
"charcandrick west","RB","KC","2018","16","1","0","1","1.0","1"
"cj ham","FB","MIN","2018","16","1","0","1","1.0","1"
"corey davis","WR","TEN","2018","16","1","0","1","1.0","1"
"taquan mizzell","RB","CHI","2018","16","1","0","1","1.0","1"
"eli manning","QB","NYG","2018","16","0","1","2","0.0","1"
"tramon williams","CB","GB","2018","16","0","0","0","-","0"
"melvin ingram","DE","LAC","2018","16","0","0","0","-","0"
"jamal agnew","WR","DET","2018","16","0","0","0","-","0"
"jmon moore","WR","GB","2018","16","0","0","0","-","0"
"tremon smith","CB","KC","2018","16","0","0","0","-","0"
"drew brees","QB","NO","2018","16","-1","0","1","-1.0","-1"
"matt ryan","QB","ATL","2018","16","-1","0","1","-1.0","-1"
"deandre washington","RB","OAK","2018","16","-1","0","1","-1.0","-1"
"donta foreman","RB","HOU","2018","16","-1","0","7","-0.1","2"
"justin jackson 2","RB","LAC","2018","16","-1","0","1","-1.0","-1"
"danny amendola","WR","MIA","2018","16","-2","0","1","-2.0","-2"
"brian hoyer","QB","NE","2018","16","-2","0","2","-1.0","-1"
"theo riddick","RB","DET","2018","16","-2","0","3","-0.7","2"
"sean mannion","QB","LAR","2018","16","-2","0","2","-1.0","-1"
"derek carr","QB","OAK","2018","16","-3","0","4","-0.8","0"
"sterling shepard","WR","NYG","2018","16","-3","0","1","-3.0","-3"
"rod smith 3","RB","DAL","2018","16","-7","0","2","-3.5","-1"
"tim patrick","WR","DEN","2018","16","-7","0","1","-7.0","-7"
