"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"christian mccaffrey","RB","CAR","2018","3","184","0","28","6.6","45"
"ezekiel elliott","RB","DAL","2018","3","127","0","16","7.9","26"
"adrian peterson","RB","WAS","2018","3","120","2","19","6.3","41"
"todd gurley","RB","LAR","2018","3","105","1","23","4.6","14"
"chris carson","RB","SEA","2018","3","102","1","32","3.2","13"
"kerryon johnson","RB","DET","2018","3","101","0","16","6.3","15"
"carlos hyde","RB","CLE","2018","3","98","2","23","4.3","22"
"matt breida","RB","SF","2018","3","90","0","10","9.0","26"
"saquon barkley","RB","NYG","2018","3","82","1","17","4.8","24"
"melvin gordon","RB","LAC","2018","3","80","1","15","5.3","23"
"bilal powell","RB","NYJ","2018","3","73","0","14","5.2","21"
"alex collins","RB","BAL","2018","3","68","1","18","3.8","14"
"alfred morris","RB","SF","2018","3","67","1","14","4.8","16"
"alvin kamara","RB","NO","2018","3","66","0","16","4.1","17"
"marshawn lynch","RB","OAK","2018","3","64","1","19","3.4","9"
"giovani bernard","RB","CIN","2018","3","61","1","12","5.1","23"
"jordan howard","RB","CHI","2018","3","61","1","24","2.5","17"
"james conner","RB","PIT","2018","3","61","0","15","4.1","27"
"derrick henry","RB","TEN","2018","3","57","0","18","3.2","14"
"chris ivory","RB","BUF","2018","3","56","0","20","2.8","7"
"wendell smallwood","RB","PHI","2018","3","56","1","10","5.6","11"
"corey clement","RB","PHI","2018","3","56","0","16","3.5","16"
"tarik cohen","RB","CHI","2018","3","53","0","5","10.6","21"
"royce freeman","RB","DEN","2018","3","53","1","13","4.1","16"
"marcus mariota","QB","TEN","2018","3","51","0","7","7.3","15"
"sony michel","RB","NE","2018","3","50","0","14","3.6","12"
"legarrette blount","RB","DET","2018","3","48","0","16","3.0","13"
"austin ekeler","RB","LAC","2018","3","47","0","4","11.8","32"
"tj yeldon","RB","JAX","2018","3","44","0","7","6.3","13"
"kareem hunt","RB","KC","2018","3","44","2","18","2.4","10"
"doug martin","RB","OAK","2018","3","43","0","9","4.8","15"
"malcolm brown","RB","LAR","2018","3","42","0","5","8.4","14"
"aaron jones 2","RB","GB","2018","3","42","0","6","7.0","17"
"taysom hill","TE","NO","2018","3","39","0","3","13.0","35"
"josh allen 2","QB","BUF","2018","3","39","2","10","3.9","10"
"james white","RB","NE","2018","3","37","0","4","9.3","15"
"cam newton","QB","CAR","2018","3","36","2","10","3.6","12"
"deshaun watson","QB","HOU","2018","3","36","0","5","7.2","10"
"emmanuel sanders","WR","DEN","2018","3","35","1","1","35.0","35"
"isaiah crowell","RB","NYJ","2018","3","34","2","16","2.1","8"
"andrew luck","QB","IND","2018","3","33","0","1","33.0","33"
"tevin coleman","RB","ATL","2018","3","33","0","15","2.2","15"
"marcus murphy","RB","BUF","2018","3","33","0","8","4.1","7"
"peyton barber","RB","TB","2018","3","33","0","8","4.1","18"
"david johnson 2","RB","ARI","2018","3","31","0","12","2.6","9"
"josh adams","RB","PHI","2018","3","30","0","6","5.0","16"
"jamaal williams","RB","GB","2018","3","29","0","5","5.8","10"
"ryan fitzpatrick","QB","TB","2018","3","27","0","5","5.4","17"
"blake bortles","QB","JAX","2018","3","27","0","5","5.4","8"
"dion lewis","RB","TEN","2018","3","26","0","9","2.9","9"
"ryan tannehill","QB","MIA","2018","3","26","0","3","8.7","18"
"wayne gallman","RB","NYG","2018","3","25","0","6","4.2","8"
"jimmy garoppolo","QB","SF","2018","3","23","0","3","7.7","13"
"tyrod taylor","QB","CLE","2018","3","22","0","4","5.5","22"
"dak prescott","QB","DAL","2018","3","21","0","2","10.5","11"
"alex smith","QB","WAS","2018","3","20","0","7","2.9","7"
"ted ginn jr","WR","NO","2018","3","20","0","1","20.0","20"
"sammy watkins","WR","KC","2018","3","20","0","2","10.0","11"
"phillip lindsay","RB","DEN","2018","3","20","0","4","5.0","8"
"jordan wilkins","RB","IND","2018","3","19","0","6","3.2","5"
"stevan ridley","RB","PIT","2018","3","18","0","3","6.0","9"
"tavon austin","WR","DAL","2018","3","18","0","1","18.0","18"
"nyheim hines","RB","IND","2018","3","18","0","5","3.6","14"
"chris thompson","RB","WAS","2018","3","17","0","6","2.8","5"
"ty montgomery","RB","GB","2018","3","16","0","4","4.0","11"
"tajae sharpe","WR","TEN","2018","3","16","0","1","16.0","16"
"tyrell williams","WR","LAC","2018","3","14","0","1","14.0","14"
"jared goff","QB","LAR","2018","3","14","0","3","4.7","16"
"aaron rodgers","QB","GB","2018","3","13","0","2","6.5","10"
"robert woods","WR","LAR","2018","3","13","0","3","4.3","8"
"alfred blue","RB","HOU","2018","3","13","0","4","3.3","6"
"frank gore","RB","MIA","2018","3","12","0","6","2.0","6"
"matt ryan","QB","ATL","2018","3","12","0","4","3.0","7"
"josh rosen","QB","ARI","2018","3","12","0","1","12.0","12"
"corey grant","RB","JAX","2018","3","11","0","6","1.8","3"
"mike boone","RB","MIN","2018","3","11","0","2","5.5","11"
"matthew stafford","QB","DET","2018","3","10","0","1","10.0","10"
"lamar miller","RB","HOU","2018","3","10","0","10","1.0","5"
"mike gillislee","RB","NO","2018","3","10","0","3","3.3","4"
"carson wentz","QB","PHI","2018","3","10","0","3","3.3","6"
"devontae booker","RB","DEN","2018","3","10","0","5","2.0","4"
"chase edmonds","RB","ARI","2018","3","10","0","5","2.0","5"
"cj anderson","RB","CAR","2018","3","9","0","2","4.5","6"
"duke johnson","RB","CLE","2018","3","9","0","2","4.5","8"
"calvin ridley","WR","ATL","2018","3","9","0","1","9.0","9"
"jonathan stewart","RB","NYG","2018","3","8","0","2","4.0","5"
"mitchell trubisky","QB","CHI","2018","3","8","0","2","4.0","7"
"drew brees","QB","NO","2018","3","7","2","3","2.3","7"
"javorius allen","RB","BAL","2018","3","7","1","6","1.2","2"
"patrick mahomes ii","QB","KC","2018","3","7","0","5","1.4","7"
"jamison crowder","WR","WAS","2018","3","6","0","1","6.0","6"
"nick chubb","RB","CLE","2018","3","6","0","2","3.0","6"
"tyler lockett","WR","SEA","2018","3","5","0","1","5.0","5"
"tyler boyd","WR","CIN","2018","3","5","0","1","5.0","5"
"tyreek hill","WR","KC","2018","3","5","0","2","2.5","5"
"brandon wilds","RB","JAX","2018","3","5","0","1","5.0","5"
"rashaad penny","RB","SEA","2018","3","5","0","3","1.7","5"
"martavis bryant","WR","OAK","2018","3","4","0","1","4.0","4"
"adam humphries","WR","TB","2018","3","4","0","1","4.0","4"
"kapri bibbs","RB","WAS","2018","3","3","0","2","1.5","2"
"kenyan drake","RB","MIA","2018","3","3","0","5","0.6","3"
"tom brady","QB","NE","2018","3","2","0","1","2.0","2"
"joe flacco","QB","BAL","2018","3","2","0","4","0.5","5"
"kirk cousins","QB","MIN","2018","3","2","0","2","1.0","2"
"andy janovich","FB","DEN","2018","3","2","0","1","2.0","2"
"tre madden","FB","SEA","2018","3","2","0","1","2.0","2"
"latavius murray","RB","MIN","2018","3","1","0","2","0.5","2"
"spencer ware","RB","KC","2018","3","1","0","1","1.0","1"
"jonathan williams","RB","NO","2018","3","1","0","1","1.0","1"
"alex armah","FB","CAR","2018","3","1","0","1","1.0","1"
"jason kelce","C","PHI","2018","3","0","0","0","-","0"
"odell beckham jr","WR","NYG","2018","3","0","0","1","0.0","0"
"terrence brooks","S","NYJ","2018","3","0","0","0","-","0"
"keith smith","FB","OAK","2018","3","0","0","1","0.0","0"
"raheem mostert","RB","SF","2018","3","0","0","1","0.0","0"
