"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","SackYds"
"dak prescott","QB","DAL","2019","5","463","2","27","44","61.4%","10.5","53","83.8","3","3","22"
"deshaun watson","QB","HOU","2019","5","426","5","28","33","84.8%","12.9","51","158.3","0","0","0"
"jared goff","QB","LAR","2019","5","395","1","29","49","59.2%","8.1","32","83.3","1","0","0"
"gardner minshew","QB","JAX","2019","5","374","2","26","44","59.1%","8.5","37","101.9","0","2","16"
"tom brady","QB","NE","2019","5","348","3","28","42","66.7%","8.3","31","106.1","1","4","36"
"matt ryan","QB","ATL","2019","5","330","3","32","46","69.6%","7.2","29","102.6","1","2","14"
"patrick mahomes ii","QB","KC","2019","5","321","1","22","39","56.4%","8.2","31","91.9","0","4","33"
"teddy bridgewater","QB","NO","2019","5","314","4","26","34","76.5%","9.2","42","131.2","1","0","0"
"kirk cousins","QB","MIN","2019","5","306","2","22","27","81.5%","11.3","44","138.6","0","3","27"
"russell wilson","QB","SEA","2019","5","268","4","17","23","73.9%","11.7","40","151.8","0","1","6"
"andy dalton","QB","CIN","2019","5","262","2","27","38","71.1%","6.9","42","107.6","0","1","0"
"kyler murray","QB","ARI","2019","5","253","0","20","32","62.5%","7.9","28","87.1","0","1","5"
"aaron rodgers","QB","GB","2019","5","238","0","22","34","64.7%","7.0","23","85.2","0","2","23"
"chase daniel","QB","CHI","2019","5","231","2","22","30","73.3%","7.7","32","89.7","2","4","37"
"derek carr","QB","OAK","2019","5","229","0","25","32","78.1%","7.2","23","96.5","0","0","0"
"josh allen 2","QB","BUF","2019","5","219","2","23","32","71.9%","6.8","46","98.3","1","4","15"
"philip rivers","QB","LAC","2019","5","211","0","32","48","66.7%","4.4","20","58.6","2","0","0"
"jameis winston","QB","TB","2019","5","204","2","15","27","55.6%","7.6","26","104.6","0","6","46"
"carson wentz","QB","PHI","2019","5","189","1","17","29","58.6%","6.5","36","89.6","0","1","8"
"marcus mariota","QB","TEN","2019","5","183","0","13","22","59.1%","8.3","57","86.0","0","5","33"
"joe flacco","QB","DEN","2019","5","182","1","14","20","70.0%","9.1","70","94.2","1","3","23"
"daniel jones","QB","NYG","2019","5","182","1","21","38","55.3%","4.8","35","65.9","1","4","35"
"jimmy garoppolo","QB","SF","2019","5","181","2","20","29","69.0%","6.2","22","108.5","0","2","10"
"kyle allen","QB","CAR","2019","5","181","1","17","30","56.7%","6.0","52","85.6","0","3","21"
"lamar jackson","QB","BAL","2019","5","161","1","19","28","67.9%","5.8","24","54.9","3","5","22"
"jacoby brissett","QB","IND","2019","5","151","0","18","29","62.1%","5.2","18","61.1","1","0","0"
"mason rudolph","QB","PIT","2019","5","131","1","13","20","65.0%","6.6","35","100.2","0","1","11"
"colt mccoy","QB","WAS","2019","5","122","0","18","27","66.7%","4.5","22","61.0","1","6","44"
"luke falk","QB","NYJ","2019","5","120","0","15","26","57.7%","4.6","16","37.3","2","9","52"
"baker mayfield","QB","CLE","2019","5","100","0","8","22","36.4%","4.5","25","13.4","2","4","42"
"devlin hodges","QB","PIT","2019","5","68","0","7","9","77.8%","7.6","18","98.1","0","0","0"
"odell beckham jr","WR","CLE","2019","5","20","0","1","1","100.0%","20.0","20","118.8","0","0","0"
"taysom hill","TE","NO","2019","5","18","0","1","1","100.0%","18.0","18","118.8","0","0","0"
"alvin kamara","RB","NO","2019","5","13","0","1","1","100.0%","13.0","13","118.8","0","0","0"
"jaylen samuels","RB","PIT","2019","5","4","0","1","2","50.0%","2.0","4","16.7","1","0","0"
"david fales","QB","NYJ","2019","5","0","0","0","0","-","-","0","0.0","0","1","7"
"garrett gilbert","QB","CLE","2019","5","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
"christian mccaffrey","RB","CAR","2019","5","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
"jarrett stidham","QB","NE","2019","5","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
