"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"derrick henry","RB","TEN","2019","17","211","3","32","6.6","53"
"joe mixon","RB","CIN","2019","17","162","2","26","6.2","41"
"mike boone","RB","MIN","2019","17","148","1","17","8.7","59"
"gus edwards","RB","BAL","2019","17","130","0","21","6.2","38"
"damien williams","RB","KC","2019","17","124","2","12","10.3","84"
"ezekiel elliott","RB","DAL","2019","17","122","1","18","6.8","33"
"david montgomery","RB","CHI","2019","17","113","1","23","4.9","14"
"ronald jones ii","RB","TB","2019","17","106","0","11","9.6","33"
"aaron jones 2","RB","GB","2019","17","100","0","25","4.0","14"
"saquon barkley","RB","NYG","2019","17","92","1","17","5.4","68"
"benny snell","RB","PIT","2019","17","91","1","18","5.1","19"
"adrian peterson","RB","WAS","2019","17","78","0","13","6.0","32"
"deandre washington","RB","OAK","2019","17","77","0","17","4.5","36"
"marlon mack","RB","IND","2019","17","77","2","15","5.1","20"
"sony michel","RB","NE","2019","17","74","1","18","4.1","9"
"todd gurley","RB","LAR","2019","17","68","0","20","3.4","14"
"ty johnson","RB","DET","2019","17","65","0","3","21.7","40"
"travis homer","RB","SEA","2019","17","62","0","10","6.2","13"
"latavius murray","RB","NO","2019","17","61","0","17","3.6","13"
"kenyan drake","RB","ARI","2019","17","60","1","12","5.0","24"
"tony pollard","RB","DAL","2019","17","60","0","14","4.3","11"
"devonta freeman","RB","ATL","2019","17","58","0","18","3.2","12"
"raheem mostert","RB","SF","2019","17","57","2","10","5.7","17"
"boston scott","RB","PHI","2019","17","54","3","19","2.8","15"
"kerryon johnson","RB","DET","2019","17","53","1","11","4.8","20"
"phillip lindsay","RB","DEN","2019","17","53","0","18","2.9","8"
"miles sanders","RB","PHI","2019","17","52","0","9","5.8","21"
"robert griffin iii","QB","BAL","2019","17","50","0","8","6.3","16"
"rex burkhead","RB","NE","2019","17","48","0","6","8.0","14"
"melvin gordon","RB","LAC","2019","17","46","1","14","3.3","15"
"austin ekeler","RB","LAC","2019","17","46","0","9","5.1","22"
"bo scarbrough","RB","DET","2019","17","42","0","9","4.7","15"
"leveon bell","RB","NYJ","2019","17","41","0","16","2.6","12"
"nick chubb","RB","CLE","2019","17","41","0","13","3.2","8"
"taiwan jones","RB","HOU","2019","17","40","0","9","4.4","11"
"aj mccarron","QB","HOU","2019","17","39","1","5","7.8","18"
"alvin kamara","RB","NO","2019","17","39","2","8","4.9","15"
"justice hill","RB","BAL","2019","17","39","1","10","3.9","13"
"dak prescott","QB","DAL","2019","17","35","0","3","11.7","23"
"marshawn lynch","RB","SEA","2019","17","34","1","12","2.8","15"
"nyheim hines","RB","IND","2019","17","34","0","7","4.9","15"
"deebo samuel","WR","SF","2019","17","33","1","2","16.5","30"
"ryquell armstead","RB","JAX","2019","17","33","0","10","3.3","9"
"isaiah mckenzie","WR","BUF","2019","17","30","0","2","15.0","16"
"russell wilson","QB","SEA","2019","17","29","0","8","3.6","5"
"baker mayfield","QB","CLE","2019","17","29","0","4","7.3","11"
"drew lock","QB","DEN","2019","17","29","0","6","4.8","12"
"bilal powell","RB","NYJ","2019","17","27","0","7","3.9","14"
"devine ozigbo","RB","JAX","2019","17","27","0","9","3.0","9"
"frank gore","RB","BUF","2019","17","26","0","6","4.3","12"
"malcolm brown","RB","LAR","2019","17","26","1","9","2.9","15"
"christian mccaffrey","RB","CAR","2019","17","26","1","9","2.9","10"
"daniel jones","QB","NYG","2019","17","26","0","3","8.7","17"
"ameer abdullah","RB","MIN","2019","17","22","0","6","3.7","11"
"patrick mahomes ii","QB","KC","2019","17","21","0","7","3.0","11"
"brian hill","RB","ATL","2019","17","21","0","5","4.2","9"
"patrick laird","RB","MIA","2019","17","21","0","11","1.9","4"
"ryan tannehill","QB","TEN","2019","17","20","0","5","4.0","19"
"jalen richard","WR","OAK","2019","17","20","0","3","6.7","9"
"tarik cohen","RB","CHI","2019","17","20","0","4","5.0","19"
"vyncint smith","WR","NYJ","2019","17","20","0","1","20.0","20"
"tj yeldon","RB","BUF","2019","17","18","0","7","2.6","12"
"jacoby brissett","QB","IND","2019","17","17","0","4","4.3","9"
"darwin thompson","RB","KC","2019","17","17","0","4","4.3","6"
"samaje perine","RB","MIA","2019","17","16","0","5","3.2","9"
"matt breida","RB","SF","2019","17","16","0","4","4.0","9"
"ryan fitzpatrick","QB","MIA","2019","17","15","1","5","3.0","10"
"carson wentz","QB","PHI","2019","17","15","0","3","5.0","10"
"cordarrelle patterson","WR","CHI","2019","17","14","0","2","7.0","11"
"carlos hyde","RB","HOU","2019","17","13","0","4","3.3","7"
"deonte harris","WR","NO","2019","17","13","0","2","6.5","7"
"duke johnson","RB","HOU","2019","17","12","1","4","3.0","8"
"chris thompson","RB","WAS","2019","17","11","0","3","3.7","16"
"tevin coleman","RB","SF","2019","17","11","0","5","2.2","5"
"isaiah ford","WR","MIA","2019","17","11","0","1","11.0","11"
"justin jackson 2","RB","LAC","2019","17","11","0","1","11.0","11"
"john franklin 2","DB","TB","2019","17","11","0","1","11.0","11"
"david blough","QB","DET","2019","17","11","0","2","5.5","6"
"andy dalton","QB","CIN","2019","17","10","1","8","1.3","7"
"tyler ervin","RB","GB","2019","17","10","0","1","10.0","10"
"peyton barber","RB","TB","2019","17","10","0","6","1.7","6"
"robert woods","WR","LAR","2019","17","9","0","1","9.0","9"
"nkeal harry","WR","NE","2019","17","9","0","1","9.0","9"
"qadree ollison","RB","ATL","2019","17","9","0","4","2.3","5"
"dexter williams","RB","GB","2019","17","9","0","2","4.5","5"
"ryan nall","RB","CHI","2019","17","8","0","2","4.0","7"
"dion lewis","RB","TEN","2019","17","7","0","1","7.0","7"
"jonnu smith","TE","TEN","2019","17","7","0","1","7.0","7"
"george kittle","TE","SF","2019","17","7","0","1","7.0","7"
"gardner minshew","QB","JAX","2019","17","7","0","5","1.4","7"
"amari cooper","WR","DAL","2019","17","6","0","1","6.0","6"
"brett hundley","QB","ARI","2019","17","6","0","1","6.0","6"
"christian kirk","WR","ARI","2019","17","6","0","1","6.0","6"
"nick scott","S","LAR","2019","17","6","0","1","6.0","6"
"philip rivers","QB","LAC","2019","17","5","0","1","5.0","5"
"jameis winston","QB","TB","2019","17","5","0","2","2.5","3"
"wendell smallwood","RB","WAS","2019","17","5","0","3","1.7","6"
"alex erickson","WR","CIN","2019","17","5","0","1","5.0","5"
"kyle allen","QB","CAR","2019","17","5","0","2","2.5","4"
"gregory howell","RB","HOU","2019","17","5","0","3","1.7","3"
"will grier","QB","CAR","2019","17","5","0","3","1.7","3"
"giovani bernard","RB","CIN","2019","17","4","0","3","1.3","5"
"jimmy garoppolo","QB","SF","2019","17","4","0","2","2.0","2"
"james white","RB","NE","2019","17","4","0","2","2.0","7"
"javorius allen","RB","NYG","2019","17","4","0","1","4.0","4"
"jared goff","QB","LAR","2019","17","4","0","2","2.0","5"
"cj ham","FB","MIN","2019","17","4","0","2","2.0","3"
"kareem hunt","RB","CLE","2019","17","4","0","3","1.3","5"
"zach pascal","WR","IND","2019","17","4","0","1","4.0","4"
"taysom hill","TE","NO","2019","17","4","0","2","2.0","2"
"dare ogunbowale","RB","TB","2019","17","4","0","1","4.0","4"
"senorise perry","RB","BUF","2019","17","3","0","3","1.0","6"
"reggie bonnafon","RB","CAR","2019","17","3","0","2","1.5","2"
"anthony levine","RB","BAL","2019","17","2","0","1","2.0","2"
"allen robinson","WR","CHI","2019","17","2","0","1","2.0","2"
"mike davis 3","RB","CAR","2019","17","2","0","2","1.0","2"
"dwayne washington","RB","NO","2019","17","2","0","2","1.0","3"
"aaron rodgers","QB","GB","2019","17","1","0","2","0.5","2"
"deanthony thomas","WR","BAL","2019","17","1","0","1","1.0","1"
"mitchell trubisky","QB","CHI","2019","17","1","0","2","0.5","1"
"trace mcsorley","QB","BAL","2019","17","1","0","1","1.0","1"
"kerrith whyte","RB","PIT","2019","17","1","0","3","0.3","3"
"matt ryan","QB","ATL","2019","17","0","0","2","0.0","1"
"derek carr","QB","OAK","2019","17","0","0","1","0.0","0"
"willie snead","WR","BAL","2019","17","0","0","1","0.0","0"
"jordan berry","P","PIT","2019","17","0","0","1","0.0","0"
"sean mannion","QB","MIN","2019","17","0","0","1","0.0","0"
"joe thuney","G","NE","2019","17","0","0","0","-","0"
"chris moore","S","BAL","2019","17","0","0","1","0.0","0"
"trevor davis","RB","MIA","2019","17","0","0","0","-","0"
"kyler murray","QB","ARI","2019","17","0","0","2","0.0","0"
"alec ingold","FB","OAK","2019","17","0","0","1","0.0","0"
"drew brees","QB","NO","2019","17","-1","0","1","-1.0","-1"
"keith smith","FB","ATL","2019","17","-1","0","1","-1.0","-1"
"chase edmonds","RB","ARI","2019","17","-1","0","1","-1.0","-1"
"devlin hodges","QB","PIT","2019","17","-1","0","1","-1.0","-1"
"john ross","WR","CIN","2019","17","-2","0","1","-2.0","-2"
"sam darnold","QB","NYJ","2019","17","-2","0","3","-0.7","0"
"teddy bridgewater","QB","NO","2019","17","-3","0","3","-1.0","-1"
"matt barkley","QB","BUF","2019","17","-4","0","2","-2.0","0"
"royce freeman","RB","DEN","2019","17","-4","0","2","-2.0","-2"
"steven sims","WR","WAS","2019","17","-6","0","1","-6.0","-6"
"diontae spencer","WR","DEN","2019","17","-8","0","1","-8.0","-8"
