"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"derrick henry","RB","TEN","2019","13","149","1","26","5.7","34"
"raheem mostert","RB","SF","2019","13","146","1","19","7.7","40"
"derrius guice","RB","WAS","2019","13","129","2","10","12.9","60"
"josh jacobs","RB","OAK","2019","13","104","0","17","6.1","35"
"chris carson","RB","SEA","2019","13","102","1","23","4.4","25"
"lamar jackson","QB","BAL","2019","13","101","1","16","6.3","14"
"adrian peterson","RB","WAS","2019","13","99","1","13","7.6","22"
"melvin gordon","RB","LAC","2019","13","99","0","20","5.0","19"
"todd gurley","RB","LAR","2019","13","95","1","19","5.0","11"
"saquon barkley","RB","NYG","2019","13","83","0","19","4.4","16"
"bo scarbrough","RB","DET","2019","13","83","0","21","4.0","15"
"miles sanders","RB","PHI","2019","13","83","0","17","4.9","13"
"james white","RB","NE","2019","13","79","0","14","5.6","32"
"david montgomery","RB","CHI","2019","13","75","0","16","4.7","14"
"rashaad penny","RB","SEA","2019","13","74","1","15","4.9","13"
"ezekiel elliott","RB","DAL","2019","13","71","0","12","5.9","30"
"devin singletary","RB","BUF","2019","13","63","0","14","4.5","26"
"benny snell","RB","PIT","2019","13","63","1","16","3.9","14"
"alvin kamara","RB","NO","2019","13","61","0","11","5.5","24"
"mark ingram","RB","BAL","2019","13","59","0","15","3.9","10"
"nick chubb","RB","CLE","2019","13","58","0","16","3.6","12"
"phillip lindsay","RB","DEN","2019","13","58","0","17","3.4","15"
"devonta freeman","RB","ATL","2019","13","51","0","17","3.0","6"
"jordan wilkins","RB","IND","2019","13","47","0","11","4.3","15"
"kareem hunt","RB","CLE","2019","13","46","0","7","6.6","16"
"sony michel","RB","NE","2019","13","45","0","10","4.5","17"
"peyton barber","RB","TB","2019","13","44","2","17","2.6","15"
"christian mccaffrey","RB","CAR","2019","13","44","0","14","3.1","12"
"joe mixon","RB","CIN","2019","13","44","1","19","2.3","9"
"darwin thompson","RB","KC","2019","13","44","1","11","4.0","9"
"josh allen 2","QB","BUF","2019","13","43","1","10","4.3","15"
"jamaal williams","RB","GB","2019","13","41","0","10","4.1","9"
"leonard fournette","RB","JAX","2019","13","38","0","14","2.7","10"
"duke johnson","RB","HOU","2019","13","36","0","9","4.0","13"
"taysom hill","TE","NO","2019","13","33","1","2","16.5","30"
"leveon bell","RB","NYJ","2019","13","32","0","10","3.2","7"
"jaylen samuels","RB","PIT","2019","13","32","0","7","4.6","8"
"albert wilson","WR","MIA","2019","13","31","0","2","15.5","28"
"kenyan drake","RB","ARI","2019","13","31","0","13","2.4","9"
"malcolm brown","RB","LAR","2019","13","30","0","6","5.0","12"
"dalvin cook","RB","MIN","2019","13","29","1","9","3.2","9"
"travis homer","RB","SEA","2019","13","29","0","1","29.0","29"
"kyler murray","QB","ARI","2019","13","28","1","4","7.0","15"
"stefon diggs","WR","MIN","2019","13","27","0","1","27.0","27"
"dak prescott","QB","DAL","2019","13","25","0","4","6.3","10"
"patrick mahomes ii","QB","KC","2019","13","25","1","3","8.3","13"
"aaron rodgers","QB","GB","2019","13","24","0","3","8.0","15"
"nyheim hines","RB","IND","2019","13","22","1","4","5.5","14"
"kyle allen","QB","CAR","2019","13","22","1","4","5.5","17"
"alexander mattison","RB","MIN","2019","13","22","0","4","5.5","15"
"matt ryan","QB","ATL","2019","13","21","0","3","7.0","9"
"jameis winston","QB","TB","2019","13","20","0","6","3.3","16"
"deebo samuel","WR","SF","2019","13","20","0","1","20.0","20"
"myles gaskin","RB","MIA","2019","13","20","0","2","10.0","11"
"aaron jones 2","RB","GB","2019","13","18","0","11","1.6","9"
"carlos hyde","RB","HOU","2019","13","17","0","10","1.7","4"
"diontae johnson","WR","PIT","2019","13","17","0","1","17.0","17"
"darrell henderson","RB","LAR","2019","13","17","0","4","4.3","13"
