"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"kenyan drake","RB","ARI","2019","15","137","4","22","6.2","21"
"joe mixon","RB","CIN","2019","15","136","0","25","5.4","29"
"chris carson","RB","SEA","2019","15","133","2","24","5.5","23"
"tony pollard","RB","DAL","2019","15","131","1","12","10.9","44"
"nick chubb","RB","CLE","2019","15","127","1","17","7.5","33"
"miles sanders","RB","PHI","2019","15","122","1","19","6.4","56"
"ezekiel elliott","RB","DAL","2019","15","117","2","24","4.9","15"
"saquon barkley","RB","NYG","2019","15","112","2","24","4.7","12"
"carlos hyde","RB","HOU","2019","15","104","1","26","4.0","11"
"sony michel","RB","NE","2019","15","89","0","19","4.7","12"
"josh jacobs","RB","OAK","2019","15","89","0","24","3.7","9"
"leveon bell","RB","NYJ","2019","15","87","0","21","4.1","15"
"christian mccaffrey","RB","CAR","2019","15","87","2","19","4.6","15"
"devin singletary","RB","BUF","2019","15","87","0","21","4.1","15"
"derrick henry","RB","TEN","2019","15","86","0","21","4.1","23"
"lamar jackson","QB","BAL","2019","15","86","0","8","10.8","25"
"mark ingram","RB","BAL","2019","15","76","1","13","5.8","29"
"adrian peterson","RB","WAS","2019","15","66","1","16","4.1","14"
"alvin kamara","RB","NO","2019","15","66","0","14","4.7","15"
"jonnu smith","TE","TEN","2019","15","57","0","1","57.0","57"
"mike boone","RB","MIN","2019","15","56","2","13","4.3","10"
"kyler murray","QB","ARI","2019","15","56","0","8","7.0","35"
"raheem mostert","RB","SF","2019","15","54","1","14","3.9","8"
"rex burkhead","RB","NE","2019","15","53","1","6","8.8","33"
"aaron jones 2","RB","GB","2019","15","51","2","13","3.9","21"
"patrick laird","RB","MIA","2019","15","46","0","12","3.8","18"
"myles gaskin","RB","MIA","2019","15","43","0","9","4.8","27"
"leonard fournette","RB","JAX","2019","15","42","0","15","2.8","17"
"james conner","RB","PIT","2019","15","42","0","8","5.3","17"
"tevin coleman","RB","SF","2019","15","40","0","4","10.0","37"
"devonta freeman","RB","ATL","2019","15","39","0","12","3.3","11"
"david montgomery","RB","CHI","2019","15","39","0","14","2.8","8"
"darwin thompson","RB","KC","2019","15","38","0","8","4.8","12"
