"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"joe mixon","RB","CIN","2019","14","146","1","23","6.3","26"
"aaron jones 2","RB","GB","2019","14","134","1","16","8.4","42"
"nick chubb","RB","CLE","2019","14","106","0","15","7.1","57"
"derrick henry","RB","TEN","2019","14","103","2","18","5.7","24"
"austin ekeler","RB","LAC","2019","14","101","0","8","12.6","35"
"devin singletary","RB","BUF","2019","14","89","0","17","5.2","38"
"david montgomery","RB","CHI","2019","14","86","0","20","4.3","20"
"devonta freeman","RB","ATL","2019","14","84","1","17","4.9","13"
"ezekiel elliott","RB","DAL","2019","14","81","2","19","4.3","31"
"todd gurley","RB","LAR","2019","14","79","1","23","3.4","23"
"adrian peterson","RB","WAS","2019","14","76","1","20","3.8","13"
"chris carson","RB","SEA","2019","14","76","0","15","5.1","13"
"bilal powell","RB","NYJ","2019","14","74","0","19","3.9","11"
"carlos hyde","RB","HOU","2019","14","73","0","14","5.2","13"
"latavius murray","RB","NO","2019","14","69","0","7","9.9","18"
"raheem mostert","RB","SF","2019","14","69","1","10","6.9","19"
"saquon barkley","RB","NYG","2019","14","66","0","17","3.9","11"
"ryan fitzpatrick","QB","MIA","2019","14","65","0","7","9.3","20"
"bo scarbrough","RB","DET","2019","14","65","0","19","3.4","7"
"mitchell trubisky","QB","CHI","2019","14","63","1","10","6.3","23"
"dalvin cook","RB","MIN","2019","14","62","1","18","3.4","9"
"brian hill","RB","ATL","2019","14","62","1","9","6.9","27"
"boston scott","RB","PHI","2019","14","59","1","10","5.9","25"
"melvin gordon","RB","LAC","2019","14","55","1","12","4.6","17"
"matt breida","RB","SF","2019","14","54","0","6","9.0","28"
"deandre washington","RB","OAK","2019","14","53","1","14","3.8","14"
"christian mccaffrey","RB","CAR","2019","14","53","0","11","4.8","11"
"phillip lindsay","RB","DEN","2019","14","51","1","16","3.2","8"
"mark ingram","RB","BAL","2019","14","50","0","15","3.3","9"
"leonard fournette","RB","JAX","2019","14","50","0","15","3.3","11"
"patrick laird","RB","MIA","2019","14","48","0","15","3.2","16"
"alexander mattison","RB","MIN","2019","14","46","0","14","3.3","9"
"miles sanders","RB","PHI","2019","14","45","0","15","3.0","10"
"deshaun watson","QB","HOU","2019","14","44","2","6","7.3","16"
"derrius guice","RB","WAS","2019","14","42","0","5","8.4","23"
"benny snell","RB","PIT","2019","14","41","0","16","2.6","9"
"kerrith whyte","RB","PIT","2019","14","41","0","5","8.2","13"
"lamar jackson","QB","BAL","2019","14","40","0","11","3.6","16"
"lesean mccoy","RB","KC","2019","14","39","0","11","3.5","13"
"marlon mack","RB","IND","2019","14","38","1","13","2.9","13"
"kenyan drake","RB","ARI","2019","14","37","0","11","3.4","10"
"ronald jones ii","RB","TB","2019","14","36","0","11","3.3","10"
"peyton barber","RB","TB","2019","14","34","0","11","3.1","11"
"devlin hodges","QB","PIT","2019","14","34","0","5","6.8","22"
"james white","RB","NE","2019","14","33","0","6","5.5","19"
"deebo samuel","WR","SF","2019","14","33","0","2","16.5","31"
"ty montgomery","RB","NYJ","2019","14","31","0","9","3.4","9"
"gardner minshew","QB","JAX","2019","14","31","0","6","5.2","8"
"robert woods","WR","LAR","2019","14","29","0","2","14.5","16"
"josh reynolds","WR","LAR","2019","14","29","0","3","9.7","12"
"russell wilson","QB","SEA","2019","14","28","0","5","5.6","17"
"jalen richard","WR","OAK","2019","14","28","0","7","4.0","10"
"kareem hunt","RB","CLE","2019","14","28","1","9","3.1","7"
"dion lewis","RB","TEN","2019","14","26","0","9","2.9","6"
"jacoby brissett","QB","IND","2019","14","26","0","4","6.5","9"
