"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"saquon barkley","RB","NYG","2019","16","189","1","22","8.6","67"
"kenyan drake","RB","ARI","2019","16","166","2","24","6.9","80"
"aaron jones 2","RB","GB","2019","16","154","2","23","6.7","56"
"phillip lindsay","RB","DEN","2019","16","109","1","19","5.7","27"
"lamar jackson","QB","BAL","2019","16","103","0","17","6.1","15"
"sony michel","RB","NE","2019","16","96","0","21","4.6","25"
"marlon mack","RB","IND","2019","16","95","1","16","5.9","30"
"deandre washington","RB","OAK","2019","16","85","1","23","3.7","13"
"jordan wilkins","RB","IND","2019","16","84","1","9","9.3","38"
"alvin kamara","RB","NO","2019","16","80","2","11","7.3","40"
"miles sanders","RB","PHI","2019","16","79","1","20","4.0","38"
"ronald jones ii","RB","TB","2019","16","77","1","14","5.5","49"
"leveon bell","RB","NYJ","2019","16","72","0","25","2.9","11"
"leonard fournette","RB","JAX","2019","16","71","0","15","4.7","23"
"dion lewis","RB","TEN","2019","16","68","0","15","4.5","17"
"brian hill","RB","ATL","2019","16","66","0","7","9.4","18"
"gus edwards","RB","BAL","2019","16","66","0","12","5.5","10"
"damien williams","RB","KC","2019","16","65","0","16","4.1","12"
"david montgomery","RB","CHI","2019","16","57","0","13","4.4","16"
"mark ingram","RB","BAL","2019","16","55","0","8","6.9","27"
"myles gaskin","RB","MIA","2019","16","55","1","16","3.4","15"
"christian mccaffrey","RB","CAR","2019","16","54","0","13","4.2","14"
"devonta freeman","RB","ATL","2019","16","53","1","13","4.1","17"
"raheem mostert","RB","SF","2019","16","53","1","11","4.8","16"
"joe mixon","RB","CIN","2019","16","50","0","21","2.4","9"
"aj brown","WR","TEN","2019","16","49","1","1","49.0","49"
"todd gurley","RB","LAR","2019","16","48","2","15","3.2","8"
"ezekiel elliott","RB","DAL","2019","16","47","0","13","3.6","10"
"devin singletary","RB","BUF","2019","16","46","0","15","3.1","12"
"nick chubb","RB","CLE","2019","16","45","0","15","3.0","12"
"josh allen 2","QB","BUF","2019","16","43","0","7","6.1","16"
"kerryon johnson","RB","DET","2019","16","42","0","10","4.2","8"
"chris carson","RB","SEA","2019","16","40","0","8","5.0","16"
"kyler murray","QB","ARI","2019","16","40","0","6","6.7","17"
"jacoby brissett","QB","IND","2019","16","37","1","3","12.3","24"
"deshaun watson","QB","HOU","2019","16","37","0","7","5.3","19"
"adrian peterson","RB","WAS","2019","16","36","1","15","2.4","17"
"gardner minshew","QB","JAX","2019","16","36","0","7","5.1","17"
"brett hundley","QB","ARI","2019","16","35","0","6","5.8","14"
"chris thompson","RB","WAS","2019","16","34","0","8","4.3","11"
"bo scarbrough","RB","DET","2019","16","34","0","8","4.3","18"
"tevin coleman","RB","SF","2019","16","33","0","5","6.6","12"
"jamaal williams","RB","GB","2019","16","33","0","6","5.5","8"
"james conner","RB","PIT","2019","16","32","0","6","5.3","15"
"royce freeman","RB","DEN","2019","16","28","1","9","3.1","9"
"mike boone","RB","MIN","2019","16","28","0","11","2.5","7"
"deebo samuel","WR","SF","2019","16","28","1","3","9.3","19"
"carlos hyde","RB","HOU","2019","16","27","1","17","1.6","6"
"ameer abdullah","RB","MIN","2019","16","27","0","4","6.8","14"
"dalyn dawkins","RB","TEN","2019","16","24","0","9","2.7","14"
"carson wentz","QB","PHI","2019","16","22","0","6","3.7","7"
"kerrith whyte","RB","PIT","2019","16","22","0","6","3.7","7"
"rex burkhead","RB","NE","2019","16","20","1","5","4.0","6"
"mitchell trubisky","QB","CHI","2019","16","20","0","6","3.3","8"
"ty johnson","RB","DET","2019","16","20","0","3","6.7","8"
"david moore","WR","SEA","2019","16","19","0","1","19.0","19"
"justice hill","RB","BAL","2019","16","19","1","3","6.3","18"
