"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"christian mccaffrey","RB","CAR","2019","3","153","1","24","6.4","76"
"ezekiel elliott","RB","DAL","2019","3","125","0","19","6.6","18"
"dalvin cook","RB","MIN","2019","3","110","1","16","6.9","25"
"mark ingram","RB","BAL","2019","3","103","3","16","6.4","21"
"tony pollard","RB","DAL","2019","3","103","1","13","7.9","28"
"nick chubb","RB","CLE","2019","3","96","0","23","4.2","13"
"devonta freeman","RB","ATL","2019","3","88","0","16","5.5","28"
"phillip lindsay","RB","DEN","2019","3","81","2","21","3.9","9"
"ronald jones ii","RB","TB","2019","3","80","0","14","5.7","25"
"raheem mostert","RB","SF","2019","3","79","0","12","6.6","19"
"frank gore","RB","BUF","2019","3","76","1","14","5.4","22"
"marlon mack","RB","IND","2019","3","74","1","16","4.6","26"
"alvin kamara","RB","NO","2019","3","69","1","16","4.3","16"
"kyler murray","QB","ARI","2019","3","69","0","8","8.6","20"
"matt breida","RB","SF","2019","3","68","0","14","4.9","10"
"david montgomery","RB","CHI","2019","3","67","0","13","5.2","25"
"leonard fournette","RB","JAX","2019","3","66","0","15","4.4","69"
"royce freeman","RB","DEN","2019","3","63","0","15","4.2","13"
"darrel williams","RB","KC","2019","3","62","0","9","6.9","41"
"joe mixon","RB","CIN","2019","3","60","0","15","4.0","14"
"jamaal williams","RB","GB","2019","3","59","0","12","4.9","12"
"alexander mattison","RB","MIN","2019","3","58","1","12","4.8","21"
"lesean mccoy","RB","KC","2019","3","54","1","8","6.8","25"
"gus edwards","RB","BAL","2019","3","53","0","7","7.6","15"
"miles sanders","RB","PHI","2019","3","53","0","13","4.1","14"
"chris carson","RB","SEA","2019","3","52","0","15","3.5","22"
"russell wilson","QB","SEA","2019","3","51","2","7","7.3","18"
"peyton barber","RB","TB","2019","3","48","0","13","3.7","8"
"rex burkhead","RB","NE","2019","3","47","1","11","4.3","8"
"josh allen 2","QB","BUF","2019","3","46","0","9","5.1","11"
"lamar jackson","QB","BAL","2019","3","46","1","8","5.8","9"
"derrick henry","RB","TEN","2019","3","44","1","17","2.6","11"
"jd mckissic","RB","DET","2019","3","44","0","1","44.0","44"
"josh jacobs","RB","OAK","2019","3","44","0","10","4.4","18"
"todd gurley","RB","LAR","2019","3","43","0","14","3.1","9"
"james conner","RB","PIT","2019","3","43","0","13","3.3","10"
"kenyan drake","RB","MIA","2019","3","38","0","12","3.2","8"
"adrian peterson","RB","WAS","2019","3","37","0","12","3.1","7"
"david johnson 2","RB","ARI","2019","3","37","0","11","3.4","15"
"jordan howard","RB","PHI","2019","3","37","1","11","3.4","11"
"austin ekeler","RB","LAC","2019","3","36","0","9","4.0","11"
"kerryon johnson","RB","DET","2019","3","36","1","20","1.8","11"
"leveon bell","RB","NYJ","2019","3","35","0","18","1.9","8"
"marcus mariota","QB","TEN","2019","3","34","0","6","5.7","12"
"carson wentz","QB","PHI","2019","3","33","0","4","8.3","19"
"tj yeldon","RB","BUF","2019","3","30","0","8","3.8","10"
"chris thompson","RB","WAS","2019","3","29","0","7","4.1","11"
"mike boone","RB","MIN","2019","3","28","0","3","9.3","24"
"daniel jones","QB","NYG","2019","3","28","2","4","7.0","11"
"justin jackson 2","RB","LAC","2019","3","26","0","5","5.2","10"
"deandre washington","RB","OAK","2019","3","22","0","6","3.7","8"
"sterling shepard","WR","NYG","2019","3","21","0","2","10.5","19"
"carlos hyde","RB","HOU","2019","3","19","1","10","1.9","10"
"aaron jones 2","RB","GB","2019","3","19","2","10","1.9","7"
"robert woods","WR","LAR","2019","3","18","0","2","9.0","17"
"deshaun watson","QB","HOU","2019","3","18","0","7","2.6","15"
"jeff wilson","RB","SF","2019","3","18","2","8","2.3","5"
"gardner minshew","QB","JAX","2019","3","18","0","4","4.5","10"
"kalen ballage","RB","MIA","2019","3","17","0","8","2.1","6"
"kirk cousins","QB","MIN","2019","3","16","0","4","4.0","10"
"jalen richard","WR","OAK","2019","3","15","0","2","7.5","11"
"mason rudolph","QB","PIT","2019","3","15","0","4","3.8","7"
"chase edmonds","RB","ARI","2019","3","15","0","3","5.0","8"
"cordarrelle patterson","WR","CHI","2019","3","14","0","4","3.5","7"
"jared goff","QB","LAR","2019","3","14","0","4","3.5","8"
"dion lewis","RB","TEN","2019","3","13","0","3","4.3","5"
"breshad perriman","WR","TB","2019","3","13","0","1","13.0","13"
"wayne gallman","RB","NYG","2019","3","13","0","5","2.6","6"
"josh rosen","QB","MIA","2019","3","13","0","3","4.3","6"
"teddy bridgewater","QB","NO","2019","3","12","0","3","4.0","11"
"phillip dorsett","WR","NE","2019","3","12","0","2","6.0","7"
"dj moore 2","WR","CAR","2019","3","12","0","1","12.0","12"
