"Name","Position","Team","Year","Week","RushYds","RushTD","RushAtt","RushAve","RushLong"
"derrick henry","RB","TEN","2019","10","188","2","23","8.2","68"
"nick chubb","RB","CLE","2019","10","116","0","20","5.8","24"
"joe mixon","RB","CIN","2019","10","114","0","30","3.8","15"
"melvin gordon","RB","LAC","2019","10","108","1","22","4.9","24"
"christian mccaffrey","RB","CAR","2019","10","108","1","20","5.4","18"
"dalvin cook","RB","MIN","2019","10","97","1","26","3.7","23"
"aaron jones 2","RB","GB","2019","10","93","3","13","7.2","28"
"chris carson","RB","SEA","2019","10","89","1","25","3.6","9"
"damien williams","RB","KC","2019","10","77","0","19","4.1","15"
"marlon mack","RB","IND","2019","10","74","0","19","3.9","20"
"todd gurley","RB","LAR","2019","10","73","0","12","6.1","22"
"josh jacobs","RB","OAK","2019","10","71","1","16","4.4","18"
"lamar jackson","QB","BAL","2019","10","65","1","7","9.3","47"
"jamaal williams","RB","GB","2019","10","63","0","13","4.8","16"
"brian hill","RB","ATL","2019","10","61","0","20","3.1","15"
"david montgomery","RB","CHI","2019","10","60","0","17","3.5","9"
"russell wilson","QB","SEA","2019","10","53","0","6","8.8","18"
"alexander mattison","RB","MIN","2019","10","52","0","8","6.5","16"
"ezekiel elliott","RB","DAL","2019","10","47","0","20","2.4","6"
"peyton barber","RB","TB","2019","10","43","1","11","3.9","17"
"kalen ballage","RB","MIA","2019","10","43","0","20","2.2","7"
"devin singletary","RB","BUF","2019","10","42","0","8","5.3","10"
"jameis winston","QB","TB","2019","10","40","0","3","13.3","26"
"tevin coleman","RB","SF","2019","10","40","0","9","4.4","22"
"devonta freeman","RB","ATL","2019","10","38","0","10","3.8","12"
"kyler murray","QB","ARI","2019","10","38","0","3","12.7","32"
"ryan tannehill","QB","TEN","2019","10","37","0","3","12.3","18"
"jeff driskel","QB","DET","2019","10","37","0","5","7.4","11"
"jd mckissic","RB","DET","2019","10","36","0","10","3.6","9"
"kenyan drake","RB","ARI","2019","10","35","0","10","3.5","17"
"mark ingram","RB","BAL","2019","10","34","1","9","3.8","9"
"leveon bell","RB","NYJ","2019","10","34","1","18","1.9","4"
"kareem hunt","RB","CLE","2019","10","30","0","4","7.5","9"
"ronald jones ii","RB","TB","2019","10","29","1","11","2.6","11"
"jaylen samuels","RB","PIT","2019","10","29","0","14","2.1","8"
"raheem mostert","RB","SF","2019","10","28","0","6","4.7","8"
"josh allen 2","QB","BUF","2019","10","28","2","6","4.7","12"
"sam darnold","QB","NYJ","2019","10","25","1","3","8.3","24"
"alvin kamara","RB","NO","2019","10","24","0","4","6.0","8"
"ryan fitzpatrick","QB","MIA","2019","10","23","1","4","5.8","11"
"ryan finley","QB","CIN","2019","10","22","0","5","4.4","16"
"jordan wilkins","RB","IND","2019","10","20","0","3","6.7","11"
"daniel jones","QB","NYG","2019","10","20","0","3","6.7","11"
"austin ekeler","RB","LAC","2019","10","19","0","6","3.2","10"
"calvin ridley","WR","ATL","2019","10","19","0","1","19.0","19"
"keenan allen","WR","LAC","2019","10","18","0","1","18.0","18"
"matt breida","RB","SF","2019","10","18","0","10","1.8","7"
"gus edwards","RB","BAL","2019","10","17","0","4","4.3","8"
"ty johnson","RB","DET","2019","10","16","0","5","3.2","10"
"bilal powell","RB","NYJ","2019","10","15","0","7","2.1","13"
"tarik cohen","RB","CHI","2019","10","14","0","3","4.7","8"
"nyheim hines","RB","IND","2019","10","14","0","3","4.7","7"
"matt ryan","QB","ATL","2019","10","13","0","2","6.5","8"
"alex erickson","WR","CIN","2019","10","13","0","1","13.0","13"
"frank gore","RB","BUF","2019","10","12","0","5","2.4","4"
"latavius murray","RB","NO","2019","10","12","0","5","2.4","6"
"kenjon barner","RB","ATL","2019","10","12","0","1","12.0","12"
"sammy watkins","WR","KC","2019","10","12","0","2","6.0","11"
"kyle allen","QB","CAR","2019","10","12","0","3","4.0","8"
"taysom hill","TE","NO","2019","10","11","0","1","11.0","11"
"justice hill","RB","BAL","2019","10","11","0","3","3.7","8"
"tony brooks james","RB","PIT","2019","10","11","0","6","1.8","8"
"malcolm brown","RB","LAR","2019","10","10","0","5","2.0","5"
"robert griffin iii","QB","BAL","2019","10","9","0","0","-","9"
"paul perkins","RB","DET","2019","10","9","0","7","1.3","3"
"giovani bernard","RB","CIN","2019","10","8","0","4","2.0","8"
"mitchell trubisky","QB","CHI","2019","10","8","0","3","2.7","3"
"aaron rodgers","QB","GB","2019","10","7","0","1","7.0","7"
"tavon austin","WR","DAL","2019","10","7","0","1","7.0","7"
"tj logan","RB","TB","2019","10","6","0","1","6.0","6"
"darrel williams","RB","KC","2019","10","6","0","2","3.0","5"
"ted ginn jr","WR","NO","2019","10","5","0","1","5.0","5"
"kirk cousins","QB","MIN","2019","10","5","0","1","5.0","5"
"derek carr","QB","OAK","2019","10","4","0","1","4.0","4"
"darrell henderson","RB","LAR","2019","10","4","0","4","1.0","3"
"patrick laird","RB","MIA","2019","10","4","0","2","2.0","3"
"tyler lockett","WR","SEA","2019","10","3","0","1","3.0","3"
"tyreek hill","WR","KC","2019","10","3","0","1","3.0","3"
"alec ingold","FB","OAK","2019","10","3","0","1","3.0","3"
"patrick dimarco","FB","BUF","2019","10","2","0","1","2.0","2"
"vance mcdonald","TE","PIT","2019","10","2","0","1","2.0","2"
"david johnson 2","RB","ARI","2019","10","2","0","5","0.4","5"
"wayne gallman","RB","NYG","2019","10","2","0","1","2.0","2"
"rashaad penny","RB","SEA","2019","10","2","0","2","1.0","2"
"trevon wesco","TE","NYJ","2019","10","2","0","1","2.0","2"
"blake bortles","QB","LAR","2019","10","1","0","1","1.0","1"
"jimmy garoppolo","QB","SF","2019","10","1","0","2","0.5","2"
"jonathan williams","RB","IND","2019","10","1","0","2","0.5","4"
"derek watt","FB","LAC","2019","10","1","0","1","1.0","1"
"trey edmunds","RB","PIT","2019","10","1","0","4","0.3","3"
"baker mayfield","QB","CLE","2019","10","1","0","2","0.5","2"
"saquon barkley","RB","NYG","2019","10","1","0","13","0.1","3"
"brian hoyer","QB","IND","2019","10","0","0","2","0.0","1"
"maurkice pouncey","C","PIT","2019","10","0","0","0","-","0"
"james winchester","LS","KC","2019","10","0","0","0","-","0"
"trey hopkins","C","CIN","2019","10","0","0","0","-","0"
"jared goff","QB","LAR","2019","10","0","0","1","0.0","0"
"germain ifedi","T","SEA","2019","10","0","0","0","-","0"
"deandre washington","RB","OAK","2019","10","0","0","1","0.0","0"
"jalen richard","WR","OAK","2019","10","0","0","2","0.0","0"
"dontrell hilliard","RB","CLE","2019","10","0","0","0","-","0"
"taylor gabriel","WR","CHI","2019","10","-1","0","1","-1.0","-1"
"cj ham","FB","MIN","2019","10","-1","0","1","-1.0","-1"
"mason rudolph","QB","PIT","2019","10","-1","0","2","-0.5","0"
"darwin thompson","RB","KC","2019","10","-1","0","1","-1.0","-1"
"tony pollard","RB","DAL","2019","10","-4","0","1","-4.0","-4"
