"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"tyreek hill","WR","KC","2018","11","215","2","10","14","21.5","73"
"davante adams","WR","GB","2018","11","166","0","10","12","16.6","57"
"dj moore 2","WR","CAR","2018","11","157","1","7","8","22.4","82"
"trequan smith","WR","NO","2018","11","157","1","10","13","15.7","38"
"ty hilton","WR","IND","2018","11","155","2","9","9","17.2","68"
"travis kelce","TE","KC","2018","11","127","1","10","15","12.7","37"
"stefon diggs","WR","MIN","2018","11","126","1","13","18","9.7","25"
"mike evans","WR","TB","2018","11","120","1","6","7","20.0","41"
"julio jones","WR","ATL","2018","11","118","1","6","9","19.7","34"
"antonio brown","WR","PIT","2018","11","117","1","5","13","23.4","78"
"kenny golladay","WR","DET","2018","11","113","1","8","15","14.1","36"
"brandin cooks","WR","LAR","2018","11","107","0","8","12","13.4","30"
"juju smith schuster","WR","PIT","2018","11","104","0","8","10","13.0","35"
"mike thomas 2","WR","NO","2018","11","92","1","4","4","23.0","30"
"keenan allen","WR","LAC","2018","11","89","1","9","12","9.9","27"
"melvin gordon","RB","LAC","2018","11","87","0","6","6","14.5","32"
"antonio gates","TE","LAC","2018","11","80","1","5","7","16.0","27"
"josh reynolds","WR","LAR","2018","11","80","1","6","8","13.3","27"
"ezekiel elliott","RB","DAL","2018","11","79","0","7","8","11.3","34"
"oj howard","TE","TB","2018","11","78","0","5","6","15.6","24"
"courtland sutton","WR","DEN","2018","11","78","0","3","6","26.0","39"
"christian kirk","WR","ARI","2018","11","77","1","3","4","25.7","59"
"keke coutee","WR","HOU","2018","11","77","0","5","9","15.4","40"
"odell beckham jr","WR","NYG","2018","11","74","1","4","4","18.5","41"
"chris conley","WR","KC","2018","11","74","2","7","8","10.6","27"
"robert woods","WR","LAR","2018","11","72","1","4","11","18.0","36"
"jordan reed","TE","WAS","2018","11","71","1","7","11","10.1","24"
"tyler lockett","WR","SEA","2018","11","71","0","5","5","14.2","34"
"tyler boyd","WR","CIN","2018","11","71","0","4","11","17.8","32"
"adam thielen","WR","MIN","2018","11","66","0","7","12","9.4","13"
"evan engram","TE","NYG","2018","11","66","0","2","2","33.0","54"
"tyler higbee","TE","LAR","2018","11","63","0","6","7","10.5","16"
"aaron jones 2","RB","GB","2018","11","63","1","5","6","12.6","24"
"adam humphries","WR","TB","2018","11","60","1","3","5","20.0","39"
"christian mccaffrey","RB","CAR","2018","11","57","0","6","8","9.5","34"
"david moore","WR","SEA","2018","11","57","0","4","8","14.3","27"
"emmanuel sanders","WR","DEN","2018","11","56","0","4","6","14.0","38"
"mohamed sanu","WR","ATL","2018","11","56","0","4","6","14.0","18"
"deandre hopkins","WR","HOU","2018","11","56","1","5","6","11.2","16"
"mike williams 5","WR","LAC","2018","11","56","0","2","3","28.0","29"
"curtis samuel","WR","CAR","2018","11","55","1","5","7","11.0","17"
"robert tonyan jr","TE","GB","2018","11","54","1","1","1","54.0","54"
"doug baldwin","WR","SEA","2018","11","52","1","7","10","7.4","16"
"bruce ellington","WR","DET","2018","11","52","0","6","9","8.7","21"
"taylor gabriel","WR","CHI","2018","11","52","0","7","9","7.4","14"
"cole beasley","WR","DAL","2018","11","51","0","5","7","10.2","19"
"willie snead","WR","BAL","2018","11","51","0","5","8","10.2","17"
"chris godwin","WR","TB","2018","11","50","0","3","3","16.7","19"
"marcell ateman","WR","OAK","2018","11","50","0","4","5","12.5","32"
"gerald everett","TE","LAR","2018","11","49","2","3","4","16.3","40"
"trey quinn","WR","WAS","2018","11","49","0","4","4","12.3","15"
"golden tate","WR","PHI","2018","11","48","0","5","8","9.6","15"
"leonard fournette","RB","JAX","2018","11","46","0","2","2","23.0","26"
"jonnu smith","TE","TEN","2018","11","44","0","6","8","7.3","9"
"anthony firkser","TE","TEN","2018","11","44","0","3","3","14.7","28"
"jack doyle","TE","IND","2018","11","43","0","4","4","10.8","16"
"jordan akins","TE","HOU","2018","11","42","0","2","2","21.0","28"
"cj uzomah","TE","CIN","2018","11","41","0","3","5","13.7","20"
"kareem hunt","RB","KC","2018","11","41","1","3","4","13.7","21"
"jarius wright","WR","CAR","2018","11","40","0","3","3","13.3","21"
"austin ekeler","RB","LAC","2018","11","40","0","2","2","20.0","23"
"allen robinson","WR","CHI","2018","11","39","0","3","7","13.0","17"
"todd gurley","RB","LAR","2018","11","39","0","3","3","13.0","19"
"devin funchess","WR","CAR","2018","11","39","0","2","8","19.5","23"
"desean jackson","WR","TB","2018","11","38","0","4","7","9.5","20"
"seth roberts","WR","OAK","2018","11","38","0","4","7","9.5","20"
"joe mixon","RB","CIN","2018","11","38","0","3","3","12.7","21"
"jordan matthews","WR","PHI","2018","11","37","0","3","4","12.3","19"
"tajae sharpe","WR","TEN","2018","11","37","1","5","7","7.4","19"
"alvin kamara","RB","NO","2018","11","37","1","1","1","37.0","37"
"amari cooper","WR","DAL","2018","11","36","0","3","5","12.0","17"
"nick boyle","WR","BAL","2018","11","36","0","4","4","9.0","16"
"dontrelle inman","WR","IND","2018","11","34","1","4","6","8.5","12"
"alshon jeffery","WR","PHI","2018","11","33","0","4","5","8.3","12"
"keith kirkwood","WR","NO","2018","11","33","0","3","5","11.0","19"
"josh doctson","WR","WAS","2018","11","32","0","3","7","10.7","12"
"jalen richard","WR","OAK","2018","11","32","0","3","4","10.7","16"
"calvin ridley","WR","ATL","2018","11","32","0","3","4","10.7","14"
"jared cook","TE","OAK","2018","11","31","1","3","6","10.3","23"
"theo riddick","RB","DET","2018","11","30","0","5","6","6.0","18"
"corey davis","WR","TEN","2018","11","30","0","2","4","15.0","23"
"brandon lafell","WR","OAK","2018","11","29","1","2","3","14.5","24"
"ryan switzer","WR","PIT","2018","11","28","0","3","3","9.3","12"
"virgil green","TE","LAC","2018","11","27","0","2","4","13.5","26"
"vance mcdonald","TE","PIT","2018","11","27","1","3","6","9.0","11"
"tevin coleman","RB","ATL","2018","11","27","0","3","3","9.0","18"
"austin hooper","TE","ATL","2018","11","27","0","4","8","6.8","9"
"john ross","WR","CIN","2018","11","27","1","2","7","13.5","22"
"phillip lindsay","RB","DEN","2018","11","27","0","4","5","6.8","11"
"josh hill 2","TE","NO","2018","11","26","0","2","4","13.0","16"
"dan arnold","WR","NO","2018","11","25","0","2","2","12.5","23"
"anthony miller 3","WR","CHI","2018","11","25","1","2","3","12.5","18"
"aldrick robinson","WR","MIN","2018","11","24","1","2","2","12.0","13"
"mike davis 3","RB","SEA","2018","11","24","0","2","2","12.0","15"
