"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"george kittle","TE","SF","2018","17","149","1","9","14","16.6","43"
"deandre hopkins","WR","HOU","2018","17","147","0","12","16","12.3","43"
"julio jones","WR","ATL","2018","17","138","1","9","13","15.3","37"
"blake jarwin","TE","DAL","2018","17","119","3","7","8","17.0","39"
"chris godwin","WR","TB","2018","17","114","2","6","9","19.0","30"
"mike evans","WR","TB","2018","17","106","2","6","8","17.7","33"
"brandon powell","WR","DET","2018","17","103","0","6","9","17.2","41"
"jarvis landry","WR","CLE","2018","17","102","1","5","9","20.4","48"
"tyreek hill","WR","KC","2018","17","101","1","5","7","20.2","67"
"cole beasley","WR","DAL","2018","17","94","1","6","6","15.7","32"
"zay jones","WR","BUF","2018","17","93","2","6","9","15.5","26"
"mohamed sanu","WR","ATL","2018","17","90","0","7","10","12.9","32"
"demarcus robinson","WR","KC","2018","17","89","1","1","2","89.0","89"
"rashard higgins","WR","CLE","2018","17","86","0","4","6","21.5","40"
"evan engram","TE","NYG","2018","17","81","1","5","8","16.2","51"
"dj moore 2","WR","CAR","2018","17","81","0","4","8","20.3","38"
"antonio callaway","WR","CLE","2018","17","79","1","4","7","19.8","38"
"jordy nelson","WR","OAK","2018","17","78","0","9","12","8.7","12"
"dontrelle inman","WR","IND","2018","17","77","1","5","6","15.4","29"
"deontay burnett","WR","NYJ","2018","17","73","0","5","5","14.6","25"
"cody latimer","WR","NYG","2018","17","72","1","4","6","18.0","31"
"curtis samuel","WR","CAR","2018","17","72","1","2","4","36.0","53"
"julian edelman","WR","NE","2018","17","69","1","5","6","13.8","18"
"sterling shepard","WR","NYG","2018","17","67","0","4","9","16.8","24"
"austin hooper","TE","ATL","2018","17","67","0","5","6","13.4","20"
"tyler lockett","WR","SEA","2018","17","66","1","2","2","33.0","37"
"adam humphries","WR","TB","2018","17","66","0","5","6","13.2","19"
"mike williams 5","WR","LAC","2018","17","65","1","5","6","13.0","18"
"chris hogan","WR","NE","2018","17","64","0","6","11","10.7","20"
"keenan allen","WR","LAC","2018","17","64","0","4","7","16.0","21"
"james washington 2","WR","PIT","2018","17","64","0","3","3","21.3","47"
"alex erickson","WR","CIN","2018","17","63","0","6","6","10.5","13"
