"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"deandre hopkins","WR","HOU","2018","15","170","2","10","11","17.0","45"
"alshon jeffery","WR","PHI","2018","15","160","0","8","8","20.0","50"
"kenny golladay","WR","DET","2018","15","146","0","7","8","20.9","40"
"mike evans","WR","TB","2018","15","121","0","4","9","30.3","64"
"davante adams","WR","GB","2018","15","119","0","8","13","14.9","28"
"robert foster","WR","BUF","2018","15","108","1","4","5","27.0","42"
"robby anderson","WR","NYJ","2018","15","96","1","7","11","13.7","26"
"julian edelman","WR","NE","2018","15","90","0","7","11","12.9","34"
"jordy nelson","WR","OAK","2018","15","88","0","6","8","14.7","44"
"ty hilton","WR","IND","2018","15","85","0","5","8","17.0","37"
"dante pettis","WR","SF","2018","15","83","0","5","5","16.6","30"
"larry fitzgerald","WR","ARI","2018","15","82","0","7","8","11.7","26"
"julio jones","WR","ATL","2018","15","82","1","6","8","13.7","22"
"doug baldwin","WR","SEA","2018","15","77","2","4","6","19.3","35"
"todd gurley","RB","LAR","2018","15","76","0","10","13","7.6","11"
"mike williams 5","WR","LAC","2018","15","76","2","7","9","10.9","38"
"evan engram","TE","NYG","2018","15","75","0","8","12","9.4","22"
"robert woods","WR","LAR","2018","15","74","0","7","9","10.6","20"
"damien williams","RB","KC","2018","15","74","0","6","6","12.3","32"
"tyrell williams","WR","LAC","2018","15","71","0","6","12","11.8","26"
"josh reynolds","WR","LAR","2018","15","70","0","5","12","14.0","33"
"chris hogan","WR","NE","2018","15","68","1","2","3","34.0","63"
"david johnson 2","RB","ARI","2018","15","68","0","3","6","22.7","40"
"jalen richard","WR","OAK","2018","15","67","0","5","6","13.4","32"
"christian mccaffrey","RB","CAR","2018","15","67","0","8","11","8.4","22"
"tim patrick","WR","DEN","2018","15","65","0","5","8","13.0","24"
"james washington 2","WR","PIT","2018","15","65","0","3","4","21.7","32"
"mike davis 3","RB","SEA","2018","15","63","0","8","8","7.9","18"
"garrett celek","TE","SF","2018","15","61","1","2","2","30.5","41"
"travis kelce","TE","KC","2018","15","61","0","7","9","8.7","16"
"demaryius thomas","WR","HOU","2018","15","59","0","6","8","9.8","27"
"brandin cooks","WR","LAR","2018","15","59","0","6","7","9.8","20"
"willie snead","WR","BAL","2018","15","58","0","5","6","11.6","28"
"travis benjamin","WR","LAC","2018","15","57","0","2","3","28.5","31"
"deandre carter","WR","HOU","2018","15","55","0","2","3","27.5","50"
"antonio gates","TE","LAC","2018","15","54","0","4","5","13.5","22"
"allen robinson","WR","CHI","2018","15","54","0","3","7","18.0","30"
"isaiah mckenzie","WR","BUF","2018","15","53","0","6","7","8.8","16"
"tyler conklin","TE","MIN","2018","15","53","0","2","3","26.5","33"
"christopher herndon","TE","NYJ","2018","15","53","0","3","4","17.7","25"
"george kittle","TE","SF","2018","15","51","0","3","8","17.0","21"
"chris manhertz","TE","CAR","2018","15","50","1","1","2","50.0","50"
"antonio brown","WR","PIT","2018","15","49","1","4","7","12.3","24"
"stefon diggs","WR","MIN","2018","15","49","1","4","7","12.3","17"
"mike thomas 2","WR","NO","2018","15","49","0","7","9","7.0","12"
"jamison crowder","WR","WAS","2018","15","46","0","4","4","11.5","33"
"tyreek hill","WR","KC","2018","15","46","0","4","7","11.5","33"
"gerald everett","TE","LAR","2018","15","46","0","5","7","9.2","20"
"matt breida","RB","SF","2018","15","46","0","5","5","9.2","20"
"daesean hamilton","WR","DEN","2018","15","46","0","7","12","6.6","14"
"tyler lockett","WR","SEA","2018","15","45","0","2","2","22.5","28"
"blake jarwin","TE","DAL","2018","15","45","0","4","7","11.3","18"
"nyheim hines","RB","IND","2018","15","45","0","4","6","11.3","19"
"aldrick robinson","WR","MIN","2018","15","44","1","2","2","22.0","40"
"darren waller","TE","OAK","2018","15","44","0","1","1","44.0","44"
"golden tate","WR","PHI","2018","15","43","0","5","5","8.6","11"
"bennie fowler","WR","NYG","2018","15","43","0","2","4","21.5","25"
"matt lacosse","TE","DEN","2018","15","43","0","4","6","10.8","14"
"cole beasley","WR","DAL","2018","15","42","0","4","7","10.5","14"
"jamaal williams","RB","GB","2018","15","42","0","4","5","10.5","21"
"calvin ridley","WR","ATL","2018","15","42","0","5","7","8.4","14"
"courtland sutton","WR","DEN","2018","15","42","0","5","6","8.4","13"
"ezekiel elliott","RB","DAL","2018","15","41","0","7","8","5.9","10"
"juju smith schuster","WR","PIT","2018","15","40","0","4","10","10.0","22"
"keith kirkwood","WR","NO","2018","15","40","0","2","2","20.0","21"
"adam shaheen","TE","CHI","2018","15","39","0","2","2","19.5","23"
"tyler boyd","WR","CIN","2018","15","38","1","4","5","9.5","21"
"jarvis landry","WR","CLE","2018","15","37","0","3","8","12.3","19"
"sterling shepard","WR","NYG","2018","15","37","0","2","9","18.5","38"
"trey burton","TE","CHI","2018","15","36","1","4","7","9.0","13"
"alvin kamara","RB","NO","2018","15","36","0","7","9","5.1","11"
"antonio callaway","WR","CLE","2018","15","35","1","5","7","7.0","12"
"taylor gabriel","WR","CHI","2018","15","33","0","3","3","11.0","14"
"corey davis","WR","TEN","2018","15","33","0","3","6","11.0","17"
"russell gage","WR","ATL","2018","15","33","0","2","4","16.5","22"
"jimmy graham","TE","GB","2018","15","32","0","3","4","10.7","13"
"amari cooper","WR","DAL","2018","15","32","0","4","7","8.0","11"
"breshad perriman","WR","CLE","2018","15","31","1","1","2","31.0","31"
"tarik cohen","RB","CHI","2018","15","31","1","5","6","6.2","13"
"mark andrews","TE","BAL","2018","15","31","0","2","4","15.5","17"
"danny amendola","WR","MIA","2018","15","30","0","3","8","10.0","18"
"randall cobb","WR","GB","2018","15","30","0","3","7","10.0","16"
"mohamed sanu","WR","ATL","2018","15","30","0","3","6","10.0","16"
"rashard higgins","WR","CLE","2018","15","30","0","2","3","15.0","19"
"david njoku","TE","CLE","2018","15","30","0","3","5","10.0","20"
"jaylen samuels","RB","PIT","2018","15","30","0","2","2","15.0","20"
"seth roberts","WR","OAK","2018","15","29","0","3","4","9.7","20"
"justin hardy","WR","ATL","2018","15","29","1","3","3","9.7","18"
"elijah mcguire","RB","NYJ","2018","15","29","0","3","4","9.7","16"
"chris carson","RB","SEA","2018","15","29","0","6","6","4.8","10"
"benjamin watson","TE","NO","2018","15","28","0","1","2","28.0","28"
"levine toilolo","TE","DET","2018","15","28","0","4","4","7.0","18"
"russell shepard","WR","NYG","2018","15","28","0","2","4","14.0","22"
"kenyan drake","RB","MIA","2018","15","28","0","3","3","9.3","13"
"lance kendricks","TE","GB","2018","15","27","0","4","4","6.8","16"
"luke stocker","TE","TEN","2018","15","27","0","2","2","13.5","15"
"cj uzomah","TE","CIN","2018","15","27","0","1","5","27.0","27"
"dalvin cook","RB","MIN","2018","15","27","0","1","2","27.0","27"
"justin jackson 2","RB","LAC","2018","15","27","0","3","4","9.0","16"
"giovani bernard","RB","CIN","2018","15","25","0","2","2","12.5","22"
"james white","RB","NE","2018","15","25","0","5","7","5.0","9"
"duke johnson","RB","CLE","2018","15","25","0","4","5","6.3","10"
"jason croom","TE","BUF","2018","15","25","0","1","1","25.0","25"
"saquon barkley","RB","NYG","2018","15","25","0","4","10","6.3","11"
"josh hill 2","TE","NO","2018","15","24","0","2","3","12.0","14"
"trenton cannon","RB","NYJ","2018","15","24","0","3","4","8.0","10"
"jared cook","TE","OAK","2018","15","23","0","2","5","11.5","13"
"kyle rudolph","TE","MIN","2018","15","23","0","3","3","7.7","12"
"adam humphries","WR","TB","2018","15","23","0","4","6","5.8","8"
"alex erickson","WR","CIN","2018","15","23","0","3","5","7.7","11"
"mike gesicki","TE","MIA","2018","15","23","0","2","3","11.5","14"
"dalton schultz","TE","DAL","2018","15","23","0","3","4","7.7","8"
"zach ertz","TE","PHI","2018","15","22","0","3","7","7.3","11"
"ricky seals jones","TE","ARI","2018","15","22","0","3","8","7.3","9"
"chase edmonds","RB","ARI","2018","15","22","0","2","2","11.0","13"
"rob gronkowski","TE","NE","2018","15","21","0","2","5","10.5","13"
"jarius wright","WR","CAR","2018","15","21","0","3","4","7.0","9"
"dede westbrook","WR","JAX","2018","15","21","0","3","5","7.0","8"
"adrian peterson","RB","WAS","2018","15","20","0","2","3","10.0","13"
"cordarrelle patterson","WR","NE","2018","15","20","0","3","3","6.7","8"
"eli rogers","WR","PIT","2018","15","20","0","4","4","5.0","6"
"hayden hurst","TE","BAL","2018","15","20","0","3","3","6.7","8"
"marcell ateman","WR","OAK","2018","15","20","0","2","5","10.0","12"
"phillip lindsay","RB","DEN","2018","15","20","0","4","6","5.0","16"
"josh gordon","WR","NE","2018","15","19","0","1","2","19.0","19"
"adam thielen","WR","MIN","2018","15","19","0","2","2","9.5","14"
"chris conley","WR","KC","2018","15","19","0","2","3","9.5","16"
"jeremy sprinkle","TE","WAS","2018","15","19","1","3","3","6.3","9"
"darrel williams","RB","KC","2018","15","19","1","2","2","9.5","11"
"detrez newsome","RB","LAC","2018","15","19","0","2","2","9.5","11"
"josh bellamy","WR","CHI","2018","15","18","0","1","1","18.0","18"
"james develin","FB","NE","2018","15","18","0","2","2","9.0","11"
"rex burkhead","RB","NE","2018","15","18","0","3","3","6.0","8"
"brian parker","TE","DEN","2018","15","18","0","2","2","9.0","11"
"leonard fournette","RB","JAX","2018","15","18","0","3","4","6.0","13"
"tj logan","RB","ARI","2018","15","18","0","4","4","4.5","17"
"kenny stills","WR","MIA","2018","15","17","0","1","3","17.0","17"
"kelvin benjamin","WR","KC","2018","15","17","0","1","2","17.0","17"
"devontae booker","RB","DEN","2018","15","17","0","2","3","8.5","15"
"byron marshall","RB","WAS","2018","15","17","0","1","1","17.0","17"
"curtis samuel","WR","CAR","2018","15","17","0","1","4","17.0","17"
"taywan taylor","WR","TEN","2018","15","17","0","2","5","8.5","14"
"darren sproles","RB","PHI","2018","15","16","0","3","4","5.3","6"
"vernon davis","TE","WAS","2018","15","16","0","2","3","8.0","9"
"jermaine gresham","TE","ARI","2018","15","16","0","1","1","16.0","16"
"andre roberts","WR","NYJ","2018","15","16","1","3","4","5.3","13"
"michael floyd","WR","WAS","2018","15","16","0","2","3","8.0","11"
"ryan grant","WR","IND","2018","15","16","0","2","2","8.0","10"
"kendrick bourne","WR","SF","2018","15","16","0","2","4","8.0","12"
"jordan howard","RB","CHI","2018","15","15","0","1","1","15.0","15"
"trequan smith","WR","NO","2018","15","15","0","2","4","7.5","9"
"trent sherfield","WR","ARI","2018","15","15","1","3","5","5.0","7"
"ed dickson","TE","SEA","2018","15","14","0","2","2","7.0","8"
"tyler higbee","TE","LAR","2018","15","14","0","2","2","7.0","11"
"noah brown","WR","DAL","2018","15","14","0","1","2","14.0","14"
"ian thomas","TE","CAR","2018","15","14","0","2","4","7.0","8"
"vance mcdonald","TE","PIT","2018","15","13","1","2","3","6.5","8"
"maurice harris","WR","WAS","2018","15","13","0","1","2","13.0","13"
"jawill davis","WR","NYG","2018","15","13","0","2","2","6.5","11"
"brice butler","WR","MIA","2018","15","12","0","1","3","12.0","12"
"zach pascal","WR","IND","2018","15","12","0","1","3","12.0","12"
"dj moore 2","WR","CAR","2018","15","12","0","2","3","6.0","7"
"dallas goedert","TE","PHI","2018","15","12","0","2","2","6.0","10"
"marquez valdes scantling","WR","GB","2018","15","12","0","1","2","12.0","12"
"mark ingram","RB","NO","2018","15","11","0","2","2","5.5","9"
"eric tomlinson","TE","NYJ","2018","15","11","0","1","1","11.0","11"
"zay jones","WR","BUF","2018","15","11","0","1","6","11.0","11"
"brandon powell","WR","DET","2018","15","11","0","3","3","3.7","5"
"cody core","WR","CIN","2018","15","10","0","1","4","10.0","10"
"chester rogers","WR","IND","2018","15","10","0","1","1","10.0","10"
"marvin hall","WR","ATL","2018","15","10","0","1","3","10.0","10"
"marlon mack","RB","IND","2018","15","10","0","1","1","10.0","10"
"virgil green","TE","LAC","2018","15","9","0","2","3","4.5","6"
"dion lewis","RB","TEN","2018","15","9","0","3","3","3.0","7"
"jermaine kearse","WR","NYJ","2018","15","9","0","2","5","4.5","5"
"theo riddick","RB","DET","2018","15","9","0","2","3","4.5","5"
"john brown","WR","BAL","2018","15","9","0","1","3","9.0","9"
"alfred blue","RB","HOU","2018","15","9","0","2","2","4.5","6"
"allen hurns","WR","DAL","2018","15","9","0","1","2","9.0","9"
"cameron brate","TE","TB","2018","15","9","0","1","2","9.0","9"
"jesse james 2","TE","PIT","2018","15","9","0","1","1","9.0","9"
"wendell smallwood","RB","PHI","2018","15","9","0","2","2","4.5","5"
"andy jones","WR","DET","2018","15","9","1","2","2","4.5","5"
"ryan switzer","WR","PIT","2018","15","9","0","2","2","4.5","8"
"david moore","WR","SEA","2018","15","9","0","1","3","9.0","9"
"taquan mizzell","RB","CHI","2018","15","9","0","1","1","9.0","9"
"eric ebron","TE","IND","2018","15","8","0","1","3","8.0","8"
"nelson agholor","WR","PHI","2018","15","8","0","1","2","8.0","8"
"corey coleman","WR","NYG","2018","15","8","0","1","2","8.0","8"
"jordan leggett","TE","NYJ","2018","15","8","0","1","1","8.0","8"
"trent taylor","WR","SF","2018","15","8","0","1","2","8.0","8"
"rishard matthews","WR","NYJ","2018","15","7","0","1","1","7.0","7"
