"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"julio jones","WR","ATL","2018","4","173","0","9","12","19.2","49"
"deandre hopkins","WR","HOU","2018","4","169","1","10","12","16.9","30"
"cooper kupp","WR","LAR","2018","4","162","2","9","11","18.0","70"
"corey davis","WR","TEN","2018","4","161","1","9","15","17.9","51"
"adam thielen","WR","MIN","2018","4","135","1","8","12","16.9","45"
"golden tate","WR","DET","2018","4","132","2","8","8","16.5","45"
"dede westbrook","WR","JAX","2018","4","130","0","9","13","14.4","27"
"amari cooper","WR","OAK","2018","4","128","1","8","12","16.0","36"
"george kittle","TE","SF","2018","4","125","1","6","8","20.8","82"
"stefon diggs","WR","MIN","2018","4","123","0","11","15","11.2","34"
"tarik cohen","RB","CHI","2018","4","121","1","7","8","17.3","35"
"brandin cooks","WR","LAR","2018","4","116","1","7","8","16.6","47"
"john brown","WR","BAL","2018","4","116","1","3","7","38.7","71"
"ty hilton","WR","IND","2018","4","115","0","4","6","28.8","42"
"desean jackson","WR","TB","2018","4","112","0","5","8","22.4","48"
"zach ertz","TE","PHI","2018","4","112","0","10","14","11.2","24"
"mohamed sanu","WR","ATL","2018","4","111","0","6","9","18.5","36"
"jared cook","TE","OAK","2018","4","110","2","8","13","13.8","24"
"donte moncrief","WR","JAX","2018","4","109","1","5","5","21.8","67"
"keke coutee","WR","HOU","2018","4","109","0","11","15","9.9","19"
"alshon jeffery","WR","PHI","2018","4","105","1","8","9","13.1","31"
"taylor gabriel","WR","CHI","2018","4","104","2","7","7","14.9","33"
"robert woods","WR","LAR","2018","4","101","1","5","5","20.2","36"
"tyler boyd","WR","CIN","2018","4","100","0","11","15","9.1","13"
"ezekiel elliott","RB","DAL","2018","4","88","1","4","4","22.0","38"
"trey burton","TE","CHI","2018","4","86","1","2","4","43.0","47"
"chester rogers","WR","IND","2018","4","85","0","8","11","10.6","22"
"davante adams","WR","GB","2018","4","81","0","8","14","10.1","25"
"geronimo allison","WR","GB","2018","4","80","0","6","11","13.3","27"
"aj green","WR","CIN","2018","4","78","1","4","8","19.5","38"
"travis kelce","TE","KC","2018","4","78","1","7","12","11.1","29"
"sterling shepard","WR","NYG","2018","4","77","1","10","10","7.7","23"
"taywan taylor","WR","TEN","2018","4","77","0","7","9","11.0","19"
"kenny golladay","WR","DET","2018","4","74","0","4","4","18.5","22"
"todd gurley","RB","LAR","2018","4","73","1","4","6","18.3","56"
"james white","RB","NE","2018","4","68","1","8","10","8.5","16"
"dion lewis","RB","TEN","2018","4","66","0","9","9","7.3","17"
"quincy enunwa","WR","NYJ","2018","4","66","0","4","8","16.5","42"
"ryan grant","WR","IND","2018","4","64","0","5","7","12.8","23"
"josh hill 2","TE","NO","2018","4","63","0","3","3","21.0","22"
"keenan allen","WR","LAC","2018","4","63","0","7","10","9.0","18"
"nyheim hines","RB","IND","2018","4","63","2","9","11","7.0","14"
"antonio brown","WR","PIT","2018","4","62","1","5","11","12.4","26"
"vance mcdonald","TE","PIT","2018","4","62","0","5","5","12.4","33"
"rashard higgins","WR","CLE","2018","4","61","0","4","5","15.3","23"
"odell beckham jr","WR","NYG","2018","4","60","0","7","11","8.6","27"
