"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"antonio brown","WR","PIT","2018","16","185","2","14","19","13.2","28"
"robby anderson","WR","NYJ","2018","16","140","1","9","13","15.6","33"
"ty hilton","WR","IND","2018","16","138","0","7","8","19.7","55"
"doug baldwin","WR","SEA","2018","16","126","1","7","12","18.0","29"
"kyle rudolph","TE","MIN","2018","16","122","2","9","9","13.6","44"
"nelson agholor","WR","PHI","2018","16","116","1","5","7","23.2","83"
"juju smith schuster","WR","PIT","2018","16","115","0","11","15","10.5","23"
"sterling shepard","WR","NYG","2018","16","113","0","6","7","18.8","55"
"zach ertz","TE","PHI","2018","16","110","2","12","16","9.2","23"
"mike thomas 2","WR","NO","2018","16","109","1","11","13","9.9","28"
"deandre hopkins","WR","HOU","2018","16","104","0","9","12","11.6","18"
"tyler lockett","WR","SEA","2018","16","99","0","4","5","24.8","45"
"equanimeous st brown","WR","GB","2018","16","94","0","5","5","18.8","34"
"mike evans","WR","TB","2018","16","90","1","6","10","15.0","38"
"calvin ridley","WR","ATL","2018","16","90","1","3","5","30.0","75"
"robert woods","WR","LAR","2018","16","89","1","6","7","14.8","39"
"evan engram","TE","NYG","2018","16","87","0","6","6","14.5","32"
"allen robinson","WR","CHI","2018","16","85","0","6","8","14.2","43"
"mark andrews","TE","BAL","2018","16","83","1","2","2","41.5","68"
"alshon jeffery","WR","PHI","2018","16","82","0","3","5","27.3","52"
"alvin kamara","RB","NO","2018","16","82","0","4","6","20.5","42"
"christopher herndon","TE","NYJ","2018","16","82","1","6","7","13.7","26"
"mohamed sanu","WR","ATL","2018","16","81","1","5","8","16.2","44"
"adam thielen","WR","MIN","2018","16","80","0","5","6","16.0","40"
"adam humphries","WR","TB","2018","16","79","0","10","12","7.9","16"
"jamison crowder","WR","WAS","2018","16","78","0","5","7","15.6","30"
"christian mccaffrey","RB","CAR","2018","16","77","0","12","13","6.4","14"
"darren sproles","RB","PHI","2018","16","76","1","3","6","25.3","37"
"breshad perriman","WR","CLE","2018","16","76","0","2","4","38.0","63"
"jordy nelson","WR","OAK","2018","16","75","0","7","10","10.7","16"
"marquez valdes scantling","WR","GB","2018","16","75","0","5","9","15.0","42"
"ted ginn jr","WR","NO","2018","16","74","0","5","8","14.8","25"
"tyreek hill","WR","KC","2018","16","74","0","4","9","18.5","32"
"george kittle","TE","SF","2018","16","74","0","7","12","10.6","35"
"david njoku","TE","CLE","2018","16","73","1","3","4","24.3","66"
"kendrick bourne","WR","SF","2018","16","73","0","4","5","18.3","25"
"davante adams","WR","GB","2018","16","71","1","11","18","6.5","16"
"julian edelman","WR","NE","2018","16","70","1","6","10","11.7","32"
"jarius wright","WR","CAR","2018","16","69","0","7","8","9.9","24"
"jake kumerow","WR","GB","2018","16","68","1","3","3","22.7","49"
"zay jones","WR","BUF","2018","16","67","1","5","9","13.4","31"
"courtland sutton","WR","DEN","2018","16","65","1","6","10","10.8","20"
"taywan taylor","WR","TEN","2018","16","64","0","3","3","21.3","35"
"trent sherfield","WR","ARI","2018","16","62","0","6","6","10.3","15"
"deandre carter","WR","HOU","2018","16","61","0","6","7","10.2","24"
"jamaal williams","RB","GB","2018","16","61","0","6","9","10.2","26"
"rashard higgins","WR","CLE","2018","16","60","1","6","7","10.0","17"
"keenan allen","WR","LAC","2018","16","58","0","5","8","11.6","17"
"kenny golladay","WR","DET","2018","16","58","0","6","15","9.7","21"
"jacquizz rodgers","RB","TB","2018","16","55","0","7","7","7.9","11"
"jermaine kearse","WR","NYJ","2018","16","55","0","4","4","13.8","29"
"jason croom","TE","BUF","2018","16","55","0","4","6","13.8","24"
"travis kelce","TE","KC","2018","16","54","0","5","9","10.8","23"
"duke johnson","RB","CLE","2018","16","54","0","6","6","9.0","21"
"chris conley","WR","KC","2018","16","54","0","3","5","18.0","23"
"chester rogers","WR","IND","2018","16","54","1","7","7","7.7","15"
"larry fitzgerald","WR","ARI","2018","16","53","0","6","9","8.8","18"
"michael gallup","WR","DAL","2018","16","53","1","3","4","17.7","31"
"robert foster","WR","BUF","2018","16","52","0","4","7","13.0","25"
"cole beasley","WR","DAL","2018","16","50","0","5","5","10.0","13"
"elijah mcguire","RB","NYJ","2018","16","50","1","3","5","16.7","20"
"vance mcdonald","TE","PIT","2018","16","49","0","1","4","49.0","49"
"cj uzomah","TE","CIN","2018","16","49","1","4","5","12.3","14"
"ian thomas","TE","CAR","2018","16","48","1","4","5","12.0","27"
"jarvis landry","WR","CLE","2018","16","47","0","4","8","11.8","19"
"justin jackson 2","RB","LAC","2018","16","47","0","7","10","6.7","10"
"dontrelle inman","WR","IND","2018","16","46","1","4","5","11.5","29"
"corey davis","WR","TEN","2018","16","45","0","3","5","15.0","16"
"dede westbrook","WR","JAX","2018","16","45","0","7","8","6.4","22"
"josh reynolds","WR","LAR","2018","16","44","0","2","2","22.0","26"
"tim patrick","WR","DEN","2018","16","44","0","3","5","14.7","26"
"donte moncrief","WR","JAX","2018","16","43","0","4","4","10.8","19"
"tj jones","WR","DET","2018","16","42","0","6","6","7.0","12"
"curtis samuel","WR","CAR","2018","16","41","0","7","13","5.9","9"
"zach pascal","WR","IND","2018","16","41","0","4","7","10.3","15"
"nyheim hines","RB","IND","2018","16","41","0","4","5","10.3","28"
"danny amendola","WR","MIA","2018","16","40","0","3","3","13.3","20"
"rex burkhead","RB","NE","2018","16","40","0","4","5","10.0","25"
"jalen richard","WR","OAK","2018","16","40","0","4","5","10.0","14"
"daesean hamilton","WR","DEN","2018","16","40","1","6","9","6.7","15"
"chris godwin","WR","TB","2018","16","39","0","3","6","13.0","20"
"kalen ballage","RB","MIA","2018","16","39","0","2","4","19.5","31"
"demaryius thomas","WR","HOU","2018","16","37","0","3","5","12.3","15"
"charcandrick west","RB","KC","2018","16","37","1","2","3","18.5","25"
"damien williams","RB","KC","2018","16","37","1","7","7","5.3","12"
"austin hooper","TE","ATL","2018","16","36","0","2","2","18.0","32"
"cody core","WR","CIN","2018","16","36","0","2","3","18.0","27"
"brandin cooks","WR","LAR","2018","16","35","0","3","3","11.7","18"
"alex erickson","WR","CIN","2018","16","35","0","2","2","17.5","28"
"dalvin cook","RB","MIN","2018","16","35","0","3","3","11.7","20"
"keith kirkwood","WR","NO","2018","16","35","0","2","4","17.5","23"
"vyncint smith","WR","HOU","2018","16","35","1","1","1","35.0","35"
"jimmy graham","TE","GB","2018","16","34","0","3","4","11.3","16"
"saquon barkley","RB","NYG","2018","16","34","0","5","7","6.8","18"
"jordan akins","TE","HOU","2018","16","33","0","2","3","16.5","22"
"david johnson 2","RB","ARI","2018","16","32","1","1","5","32.0","32"
"kenyan drake","RB","MIA","2018","16","31","0","4","5","7.8","14"
"trey burton","TE","CHI","2018","16","30","0","5","5","6.0","8"
"josh doctson","WR","WAS","2018","16","30","0","3","6","10.0","22"
"dallas goedert","TE","PHI","2018","16","30","0","3","3","10.0","24"
"marquise goodwin","WR","SF","2018","16","29","0","3","8","9.7","17"
"mycole pruitt","TE","TEN","2018","16","29","1","2","3","14.5","27"
"darius jennings","WR","TEN","2018","16","29","0","3","3","9.7","14"
"julio jones","WR","ATL","2018","16","28","1","4","5","7.0","11"
"eric ebron","TE","IND","2018","16","28","0","3","5","9.3","14"
"taylor gabriel","WR","CHI","2018","16","28","0","3","3","9.3","16"
"leonard fournette","RB","JAX","2018","16","28","0","3","5","9.3","11"
"gerald everett","TE","LAR","2018","16","28","0","5","6","5.6","9"
"donta foreman","RB","HOU","2018","16","28","1","2","2","14.0","20"
"bobo wilson","WR","TB","2018","16","28","0","2","3","14.0","25"
"john brown","WR","BAL","2018","16","27","0","2","6","13.5","17"
"taquan mizzell","RB","CHI","2018","16","27","0","2","2","13.5","26"
"lance kendricks","TE","GB","2018","16","26","0","2","2","13.0","20"
"alfred blue","RB","HOU","2018","16","26","0","4","5","6.5","9"
"bennie fowler","WR","NYG","2018","16","26","0","1","3","26.0","26"
"desean jackson","WR","TB","2018","16","24","0","1","4","24.0","24"
"ezekiel elliott","RB","DAL","2018","16","24","0","5","6","4.8","10"
"wendell smallwood","RB","PHI","2018","16","24","0","4","4","6.0","10"
"anthony miller 3","WR","CHI","2018","16","24","1","3","3","8.0","12"
"devin funchess","WR","CAR","2018","16","23","0","2","4","11.5","13"
"trent taylor","WR","SF","2018","16","23","0","1","2","23.0","23"
"rashad greene","WR","JAX","2018","16","22","0","2","2","11.0","12"
"zach zenner","RB","DET","2018","16","22","0","2","3","11.0","11"
"jeremy sprinkle","TE","WAS","2018","16","22","0","2","3","11.0","15"
"antonio gates","TE","LAC","2018","16","21","0","3","5","7.0","11"
"devontae booker","RB","DEN","2018","16","21","0","3","5","7.0","10"
"dante pettis","WR","SF","2018","16","21","0","3","5","7.0","13"
"jared cook","TE","OAK","2018","16","20","0","2","3","10.0","14"
"michael crabtree","WR","BAL","2018","16","20","0","1","4","20.0","20"
"dion lewis","RB","TEN","2018","16","20","0","3","4","6.7","18"
