"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"amari cooper","WR","DAL","2018","14","217","3","10","13","21.7","75"
"george kittle","TE","SF","2018","14","210","1","7","9","30.0","85"
"ty hilton","WR","IND","2018","14","199","0","9","12","22.1","60"
"tyreek hill","WR","KC","2018","14","139","0","8","14","17.4","48"
"kenny stills","WR","MIA","2018","14","135","1","8","9","16.9","43"
"juju smith schuster","WR","PIT","2018","14","130","2","8","12","16.3","43"
"jared cook","TE","OAK","2018","14","116","0","7","10","16.6","30"
"rob gronkowski","TE","NE","2018","14","107","1","8","8","13.4","17"
"julio jones","WR","ATL","2018","14","106","2","8","11","13.3","28"
"robert foster","WR","BUF","2018","14","104","0","7","8","14.9","38"
"mike thomas 2","WR","NO","2018","14","98","0","11","13","8.9","20"
"josh gordon","WR","NE","2018","14","96","0","5","9","19.2","29"
"dede westbrook","WR","JAX","2018","14","88","1","7","10","12.6","23"
"jamison crowder","WR","WAS","2018","14","87","1","2","7","43.5","79"
"julian edelman","WR","NE","2018","14","86","1","9","12","9.6","20"
"mike evans","WR","TB","2018","14","86","0","4","6","21.5","36"
"tim patrick","WR","DEN","2018","14","85","0","7","10","12.1","21"
"josh doctson","WR","WAS","2018","14","84","0","4","5","21.0","31"
"davante adams","WR","GB","2018","14","81","1","7","11","11.6","22"
"breshad perriman","WR","CLE","2018","14","81","0","2","2","40.5","66"
"ryan griffin","TE","HOU","2018","14","80","0","5","5","16.0","47"
"curtis samuel","WR","CAR","2018","14","80","0","4","8","20.0","33"
"ezekiel elliott","RB","DAL","2018","14","79","0","12","13","6.6","16"
"keenan allen","WR","LAC","2018","14","78","1","5","8","15.6","37"
"travis kelce","TE","KC","2018","14","77","1","7","9","11.0","17"
"evan engram","TE","NYG","2018","14","77","0","3","5","25.7","39"
"ian thomas","TE","CAR","2018","14","77","0","9","11","8.6","16"
"trent sherfield","WR","ARI","2018","14","77","0","5","7","15.4","19"
"seth roberts","WR","OAK","2018","14","76","0","5","7","15.2","39"
"stefon diggs","WR","MIN","2018","14","76","0","4","6","19.0","48"
"robby anderson","WR","NYJ","2018","14","76","1","4","7","19.0","37"
"adam thielen","WR","MIN","2018","14","70","0","5","7","14.0","35"
"zach pascal","WR","IND","2018","14","68","1","5","6","13.6","28"
"dj moore 2","WR","CAR","2018","14","67","0","5","8","13.4","40"
"eric ebron","TE","IND","2018","14","65","1","4","8","16.3","23"
"jaylen samuels","RB","PIT","2018","14","64","0","7","7","9.1","23"
"robert woods","WR","LAR","2018","14","61","0","7","13","8.7","29"
"willie snead","WR","BAL","2018","14","61","0","5","7","12.2","16"
"taywan taylor","WR","TEN","2018","14","59","0","6","7","9.8","13"
"jarvis landry","WR","CLE","2018","14","57","1","3","4","19.0","51"
"blake jarwin","TE","DAL","2018","14","56","0","7","7","8.0","22"
"larry fitzgerald","WR","ARI","2018","14","55","0","5","9","11.0","14"
"kenyan drake","RB","MIA","2018","14","55","1","1","1","55.0","52"
"keelan cole","WR","JAX","2018","14","55","0","3","7","18.3","35"
"mohamed sanu","WR","ATL","2018","14","54","0","6","8","9.0","11"
"spencer ware","RB","KC","2018","14","54","0","5","5","10.8","31"
"tyler boyd","WR","CIN","2018","14","52","0","3","6","17.3","20"
"cordarrelle patterson","WR","NE","2018","14","51","1","2","3","25.5","37"
"alshon jeffery","WR","PHI","2018","14","50","1","6","9","8.3","12"
"nelson agholor","WR","PHI","2018","14","49","0","2","3","24.5","42"
"dante pettis","WR","SF","2018","14","49","1","3","7","16.3","31"
"jordy nelson","WR","OAK","2018","14","48","0","6","7","8.0","13"
"demaryius thomas","WR","HOU","2018","14","48","0","4","6","12.0","20"
"donte moncrief","WR","JAX","2018","14","47","0","5","10","9.4","12"
"isaiah mckenzie","WR","BUF","2018","14","47","0","4","7","11.8","19"
