"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"brandin cooks","WR","LAR","2018","2","159","0","7","9","22.7","57"
"jesse james 2","TE","PIT","2018","2","138","1","5","5","27.6","46"
"adam thielen","WR","MIN","2018","2","131","1","12","13","10.9","25"
"desean jackson","WR","TB","2018","2","129","1","4","4","32.3","75"
"stefon diggs","WR","MIN","2018","2","128","2","9","13","14.2","75"
"juju smith schuster","WR","PIT","2018","2","121","1","13","19","9.3","21"
"amari cooper","WR","OAK","2018","2","116","0","10","10","11.6","30"
"keelan cole","WR","JAX","2018","2","116","1","7","8","16.6","24"
"will fuller","WR","HOU","2018","2","113","1","8","9","14.1","39"
"deandre hopkins","WR","HOU","2018","2","110","1","6","11","18.3","31"
"golden tate","WR","DET","2018","2","109","0","7","13","15.6","67"
"travis kelce","TE","KC","2018","2","109","2","7","10","15.6","31"
"christian mccaffrey","RB","CAR","2018","2","102","0","14","15","7.3","18"
"sammy watkins","WR","KC","2018","2","100","0","6","7","16.7","40"
"emmanuel sanders","WR","DEN","2018","2","96","0","4","4","24.0","23"
"oj howard","TE","TB","2018","2","96","1","3","4","32.0","75"
"jimmy graham","TE","GB","2018","2","95","0","6","8","15.8","34"
"zach ertz","TE","PHI","2018","2","94","0","11","13","8.5","34"
"chris thompson","RB","WAS","2018","2","92","0","13","14","7.1","14"
"john brown","WR","BAL","2018","2","92","1","4","10","23.0","45"
"quincy enunwa","WR","NYJ","2018","2","92","0","7","11","13.1","21"
"tyler boyd","WR","CIN","2018","2","91","1","6","9","15.2","27"
"tyreek hill","WR","KC","2018","2","90","1","5","6","18.0","36"
"mike thomas 2","WR","NO","2018","2","89","2","12","13","7.4","25"
"kenny golladay","WR","DET","2018","2","89","1","6","9","14.8","30"
"nelson agholor","WR","PHI","2018","2","88","1","8","12","11.0","50"
"terrelle pryor","WR","NYJ","2018","2","84","0","4","8","21.0","44"
"ty hilton","WR","IND","2018","2","83","1","7","11","11.9","22"
"mike evans","WR","TB","2018","2","83","1","10","12","8.3","16"
"allen robinson","WR","CHI","2018","2","83","0","10","14","8.3","14"
"dede westbrook","WR","JAX","2018","2","82","1","4","5","20.5","61"
"robert woods","WR","LAR","2018","2","81","0","6","9","13.5","21"
"antonio callaway","WR","CLE","2018","2","81","1","3","4","27.0","47"
"saquon barkley","RB","NYG","2018","2","80","0","14","16","5.7","18"
"tavon austin","WR","DAL","2018","2","79","1","2","2","39.5","64"
"devin funchess","WR","CAR","2018","2","77","0","7","9","11.0","27"
"bilal powell","RB","NYJ","2018","2","74","1","5","6","14.8","28"
"james white","RB","NE","2018","2","73","0","7","8","10.4","27"
"kyle rudolph","TE","MIN","2018","2","72","0","7","8","10.3","23"
"aj green","WR","CIN","2018","2","69","3","5","9","13.8","32"
"jarvis landry","WR","CLE","2018","2","69","0","5","7","13.8","25"
"antonio brown","WR","PIT","2018","2","67","0","9","17","7.4","19"
"keenan allen","WR","LAC","2018","2","67","0","6","8","11.2","16"
"evan engram","TE","NYG","2018","2","67","1","7","7","9.6","18"
"dane cruikshank","S","TEN","2018","2","66","1","1","1","66.0","66"
"julio jones","WR","ATL","2018","2","64","0","5","9","12.8","30"
"davante adams","WR","GB","2018","2","64","1","8","12","8.0","16"
"geronimo allison","WR","GB","2018","2","64","0","6","6","10.7","22"
"calvin ridley","WR","ATL","2018","2","64","1","4","5","16.0","22"
"paul richardson","WR","WAS","2018","2","63","0","4","6","15.8","34"
"zay jones","WR","BUF","2018","2","63","0","2","3","31.5","57"
"cooper kupp","WR","LAR","2018","2","63","0","6","6","10.5","29"
"jarius wright","WR","CAR","2018","2","62","1","5","7","12.4","22"
"tyler lockett","WR","SEA","2018","2","60","1","5","7","12.0","20"
"austin hooper","TE","ATL","2018","2","59","1","5","5","11.8","30"
"pierre garcon","WR","SF","2018","2","57","0","4","4","14.3","20"
"joshua perkins","TE","PHI","2018","2","57","0","4","6","14.3","30"
"michael crabtree","WR","BAL","2018","2","56","0","5","10","11.2","17"
"corey grant","RB","JAX","2018","2","56","0","6","7","9.3","16"
"chris godwin","WR","TB","2018","2","56","1","5","6","11.2","17"
"ted ginn jr","WR","NO","2018","2","55","0","4","7","13.8","42"
"virgil green","TE","LAC","2018","2","55","0","3","3","18.3","25"
"jordan reed","TE","WAS","2018","2","55","0","6","8","9.2","19"
"alex collins","RB","BAL","2018","2","55","0","3","4","18.3","24"
"corey davis","WR","TEN","2018","2","55","0","5","7","11.0","18"
"corey clement","RB","PHI","2018","2","55","0","5","6","11.0","19"
"marvin jones","WR","DET","2018","2","54","1","4","9","13.5","19"
"willie snead","WR","BAL","2018","2","54","0","5","8","10.8","19"
"alvin kamara","RB","NO","2018","2","53","0","6","6","8.8","14"
"dalvin cook","RB","MIN","2018","2","52","0","3","5","17.3","24"
"odell beckham jr","WR","NYG","2018","2","51","0","4","9","12.8","17"
"dj moore 2","WR","CAR","2018","2","51","1","1","2","51.0","51"
"jared cook","TE","OAK","2018","2","49","0","4","4","12.3","20"
"tyrell williams","WR","LAC","2018","2","48","0","3","3","16.0","22"
"james conner","RB","PIT","2018","2","48","0","5","5","9.6","22"
"jake butt","TE","DEN","2018","2","48","0","4","6","12.0","22"
"theo riddick","RB","DET","2018","2","47","0","9","12","5.2","10"
"rashard higgins","WR","CLE","2018","2","47","0","5","7","9.4","23"
"bruce ellington","WR","HOU","2018","2","45","0","3","3","15.0","23"
"cj uzomah","TE","CIN","2018","2","45","0","3","4","15.0","29"
"brandon marshall 2","WR","SEA","2018","2","44","0","4","6","11.0","18"
"phillip dorsett","WR","NE","2018","2","44","0","5","7","8.8","19"
"seth roberts","WR","OAK","2018","2","43","1","3","3","14.3","20"
"chris hogan","WR","NE","2018","2","42","2","3","5","14.0","29"
"will dissly","TE","SEA","2018","2","42","1","3","5","14.0","34"
"cody latimer","WR","NYG","2018","2","41","0","2","3","20.5","37"
"kamar aiken","WR","PHI","2018","2","39","0","5","6","7.8","18"
"melvin gordon","RB","LAC","2018","2","38","2","6","7","6.3","10"
"albert wilson","WR","MIA","2018","2","37","1","3","5","12.3","29"
"josh doctson","WR","WAS","2018","2","37","0","4","7","9.3","14"
"jaron brown","WR","SEA","2018","2","36","0","3","3","12.0","19"
"javorius allen","RB","BAL","2018","2","36","0","5","7","7.2","16"
"jacob hollister","TE","NE","2018","2","35","0","3","3","11.7","23"
"dante pettis","WR","SF","2018","2","35","0","1","2","35.0","35"
"donte moncrief","WR","JAX","2018","2","34","1","4","9","8.5","14"
"torrey smith","WR","CAR","2018","2","33","1","3","7","11.0","26"
"deonte thompson","WR","DAL","2018","2","33","0","4","5","8.3","12"
"jordan howard","RB","CHI","2018","2","33","0","3","4","11.0","18"
"danny amendola","WR","MIA","2018","2","32","0","4","4","8.0","14"
"alfred morris","RB","SF","2018","2","32","0","2","2","16.0","16"
"taywan taylor","WR","TEN","2018","2","32","1","3","4","10.7","18"
"todd gurley","RB","LAR","2018","2","31","0","3","3","10.3","15"
"maxx williams","TE","BAL","2018","2","31","0","3","3","10.3","25"
"adrian peterson","RB","WAS","2018","2","30","0","3","3","10.0","21"
"jordy nelson","WR","OAK","2018","2","30","0","2","4","15.0","23"
"chris ivory","RB","BUF","2018","2","30","0","1","2","30.0","30"
"randall cobb","WR","GB","2018","2","30","0","4","6","7.5","14"
"martavis bryant","WR","OAK","2018","2","30","0","4","4","7.5","16"
"ryan grant","WR","IND","2018","2","30","0","2","2","15.0","21"
"taylor gabriel","WR","CHI","2018","2","30","0","4","7","7.5","9"
"marvin hall","WR","ATL","2018","2","30","0","1","1","30.0","30"
"robert foster","WR","BUF","2018","2","30","0","2","3","15.0","19"
"christopher herndon","TE","NYJ","2018","2","30","0","2","4","15.0","17"
"lesean mccoy","RB","BUF","2018","2","29","0","4","4","7.3","9"
"charles clay","TE","BUF","2018","2","29","0","2","3","14.5","21"
"larry fitzgerald","WR","ARI","2018","2","28","0","3","5","9.3","15"
"jakeem grant","WR","MIA","2018","2","27","0","2","4","13.5","16"
"robby anderson","WR","NYJ","2018","2","27","0","3","5","9.0","17"
"mike williams 5","WR","LAC","2018","2","27","1","2","2","13.5","17"
"christian kirk","WR","ARI","2018","2","27","0","4","5","6.8","11"
"vance mcdonald","TE","PIT","2018","2","26","0","3","5","8.7","13"
"eric ebron","TE","IND","2018","2","26","1","3","4","8.7","13"
"nick boyle","WR","BAL","2018","2","26","0","2","4","13.0","17"
"tim patrick","WR","DEN","2018","2","26","0","1","2","26.0","26"
"patrick dimarco","FB","BUF","2018","2","24","0","1","1","24.0","24"
"eric tomlinson","TE","NYJ","2018","2","24","0","1","2","24.0","24"
"sterling shepard","WR","NYG","2018","2","24","0","3","5","8.0","14"
"jacquizz rodgers","RB","TB","2018","2","23","0","3","3","7.7","13"
"tyler eifert","TE","CIN","2018","2","23","0","2","4","11.5","16"
"austin seferian jenkins","TE","JAX","2018","2","23","1","3","5","7.7","11"
"laquon treadwell","WR","MIN","2018","2","23","1","2","6","11.5","14"
"nick vannett","TE","SEA","2018","2","23","0","3","5","7.7","11"
"kerryon johnson","RB","DET","2018","2","23","0","5","6","4.6","8"
"niles paul","TE","JAX","2018","2","22","0","1","1","22.0","22"
"garrett celek","TE","SF","2018","2","22","1","2","2","11.0","11"
"cj prosise","RB","SEA","2018","2","22","0","3","3","7.3","8"
"george kittle","TE","SF","2018","2","22","0","2","4","11.0","17"
"austin ekeler","RB","LAC","2018","2","21","0","3","3","7.0","10"
"matt breida","RB","SF","2018","2","21","0","3","4","7.0","9"
"jordan akins","TE","HOU","2018","2","21","0","2","2","10.5","13"
"jack doyle","TE","IND","2018","2","20","0","2","5","10.0","12"
"trey burton","TE","CHI","2018","2","20","1","4","4","5.0","9"
"david njoku","TE","CLE","2018","2","20","0","4","7","5.0","8"
"benjamin watson","TE","NO","2018","2","19","0","3","5","6.3","8"
"frank gore","RB","MIA","2018","2","19","0","1","1","19.0","19"
"mohamed sanu","WR","ATL","2018","2","19","0","2","2","9.5","12"
"ryan griffin","TE","HOU","2018","2","19","0","1","1","19.0","19"
"kelvin benjamin","WR","BUF","2018","2","19","1","2","3","9.5","16"
"roosevelt nix","FB","PIT","2018","2","19","0","1","1","19.0","19"
"aj derby","TE","MIA","2018","2","19","1","1","2","19.0","19"
"david morgan","XX","MIN","2018","2","19","0","2","2","9.5","13"
"demaryius thomas","WR","DEN","2018","2","18","0","5","11","3.6","7"
