"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"juju smith schuster","WR","PIT","2018","12","189","1","13","17","14.5","97"
"amari cooper","WR","DAL","2018","12","180","2","8","9","22.5","90"
"julio jones","WR","ATL","2018","12","147","0","11","14","13.4","21"
"ty hilton","WR","IND","2018","12","125","0","7","10","17.9","36"
"adam thielen","WR","MIN","2018","12","125","1","8","9","15.6","33"
"mike evans","WR","TB","2018","12","116","0","6","8","19.3","42"
"christian mccaffrey","RB","CAR","2018","12","112","1","11","11","10.2","38"
"tyler lockett","WR","SEA","2018","12","107","1","5","5","21.4","43"
"david moore","WR","SEA","2018","12","103","1","4","5","25.8","54"
"corey davis","WR","TEN","2018","12","96","1","4","4","24.0","48"
"robert foster","WR","BUF","2018","12","94","1","2","3","47.0","75"
"calvin ridley","WR","ATL","2018","12","93","1","8","13","11.6","50"
"zach ertz","TE","PHI","2018","12","91","1","7","8","13.0","24"
"dj moore 2","WR","CAR","2018","12","91","0","8","9","11.4","28"
"kenny golladay","WR","DET","2018","12","90","0","5","8","18.0","43"
"emmanuel sanders","WR","DEN","2018","12","86","1","7","12","12.3","38"
"odell beckham jr","WR","NYG","2018","12","85","0","5","9","17.0","39"
"tyler boyd","WR","CIN","2018","12","85","1","7","8","12.1","28"
"julian edelman","WR","NE","2018","12","84","1","4","5","21.0","36"
"rhett ellison","TE","NYG","2018","12","77","0","4","6","19.3","29"
"stefon diggs","WR","MIN","2018","12","77","1","8","11","9.6","30"
"dante pettis","WR","SF","2018","12","77","1","4","7","19.3","25"
"jordan reed","TE","WAS","2018","12","75","0","6","8","12.5","20"
"mohamed sanu","WR","ATL","2018","12","74","0","4","4","18.5","37"
"deandre hopkins","WR","HOU","2018","12","74","0","5","6","14.8","28"
"leonte carroo","WR","MIA","2018","12","74","1","1","2","74.0","74"
"mark andrews","TE","BAL","2018","12","74","0","1","1","74.0","74"
"vernon davis","TE","WAS","2018","12","73","1","2","4","36.5","53"
"quincy enunwa","WR","NYJ","2018","12","73","0","4","4","18.3","41"
"keenan allen","WR","LAC","2018","12","72","1","7","7","10.3","20"
"josh gordon","WR","NE","2018","12","70","0","5","5","14.0","23"
"davante adams","WR","GB","2018","12","69","1","5","8","13.8","36"
"austin ekeler","RB","LAC","2018","12","68","0","10","11","6.8","15"
"antonio brown","WR","PIT","2018","12","67","0","9","13","7.4","14"
"ryan switzer","WR","PIT","2018","12","67","0","6","8","11.2","24"
"jermaine kearse","WR","NYJ","2018","12","66","1","6","12","11.0","17"
"josh doctson","WR","WAS","2018","12","66","0","6","10","11.0","17"
"joe mixon","RB","CIN","2018","12","66","0","7","7","9.4","16"
"kenyan drake","RB","MIA","2018","12","64","1","5","6","12.8","33"
"kyle rudolph","TE","MIN","2018","12","63","0","7","7","9.0","17"
"david njoku","TE","CLE","2018","12","63","1","5","5","12.6","24"
"jonnu smith","TE","TEN","2018","12","63","1","2","2","31.5","61"
"antonio callaway","WR","CLE","2018","12","62","1","4","5","15.5","21"
"christopher herndon","TE","NYJ","2018","12","57","0","7","8","8.1","21"
"rob gronkowski","TE","NE","2018","12","56","1","3","7","18.7","34"
"seth roberts","WR","OAK","2018","12","54","0","2","3","27.0","44"
"adam humphries","WR","TB","2018","12","54","1","6","6","9.0","28"
"equanimeous st brown","WR","GB","2018","12","53","0","3","5","17.7","23"
"anthony firkser","TE","TEN","2018","12","52","0","4","4","13.0","20"
"taylor gabriel","WR","CHI","2018","12","49","0","7","8","7.0","11"
"chester rogers","WR","IND","2018","12","49","0","3","4","16.3","34"
"theo riddick","RB","DET","2018","12","48","0","7","7","6.9","18"
"george kittle","TE","SF","2018","12","48","0","6","13","8.0","12"
"travis benjamin","WR","LAC","2018","12","47","0","3","3","15.7","27"
"chris hogan","WR","NE","2018","12","47","0","2","2","23.5","27"
"dalvin cook","RB","MIN","2018","12","47","1","3","3","15.7","26"
"eric ebron","TE","IND","2018","12","45","2","5","7","9.0","14"
"tarik cohen","RB","CHI","2018","12","45","1","7","8","6.4","14"
"dan arnold","WR","NO","2018","12","45","1","4","6","11.3","25"
"jeff heuerman","TE","DEN","2018","12","44","0","2","3","22.0","29"
"dede westbrook","WR","JAX","2018","12","44","1","3","4","14.7","25"
