"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","RushYds","RushTD","RushAtt","RushAve","RushLong","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"aaron rodgers","QB","GB","2018","10","199","2","19","28","67.9%","7.1","30","112.1","0","2","21","0","6","3.5","9","","","","","",""
"alex smith","QB","WAS","2018","10","178","1","19","27","70.4%","6.6","24","100.5","0","3","16","0","2","8.0","9","","","","","",""
"andrew luck","QB","IND","2018","10","285","3","21","29","72.4%","9.8","53","123.5","1","0","-2","0","5","-0.4","7","","","","","",""
"andy dalton","QB","CIN","2018","10","153","1","12","20","60.0%","7.7","36","61.0","2","4","8","0","1","8.0","8","","","","","",""
"baker mayfield","QB","CLE","2018","10","216","3","17","20","85.0%","10.8","28","151.2","0","0","20","0","6","3.3","10","0","0","0","1","-","0"
"ben roethlisberger","QB","PIT","2018","10","328","5","22","25","88.0%","13.1","75","158.3","0","1","27","0","3","9.0","18","","","","","",""
"blake bortles","QB","JAX","2018","10","320","2","26","38","68.4%","8.4","80","111.7","0","0","8","0","2","4.0","6","","","","","",""
"brian hoyer","QB","NE","2018","10","7","0","1","1","100.0%","7.0","7","95.8","0","0","2","0","1","2.0","2","","","","","",""
"brock osweiler","QB","MIA","2018","10","213","0","23","37","62.2%","5.8","39","66.6","1","6","0","0","1","0.0","0","","","","","",""
"cam newton","QB","CAR","2018","10","193","2","23","29","79.3%","6.7","25","103.0","1","5","10","0","2","5.0","8","","","","","",""
"carson wentz","QB","PHI","2018","10","360","2","32","44","72.7%","8.2","51","102.5","1","2","7","0","2","3.5","5","","","","","",""
"dak prescott","QB","DAL","2018","10","270","1","26","36","72.2%","7.5","25","102.8","0","4","9","1","6","1.5","4","","","","","",""
"derek carr","QB","OAK","2018","10","243","0","24","37","64.9%","6.6","31","83.5","0","4","2","0","2","1.0","3","","","","","",""
"drew brees","QB","NO","2018","10","265","3","22","25","88.0%","10.6","42","150.4","0","0","3","1","2","1.5","2","","","","","",""
"eli manning","QB","NYG","2018","10","188","3","19","31","61.3%","6.1","31","110.7","0","1","","","","","","","","","","",""
"jared goff","QB","LAR","2018","10","318","2","28","39","71.8%","8.2","35","113.0","0","2","3","0","3","1.0","4","","","","","",""
"jeff driskel","QB","CIN","2018","10","45","0","2","3","66.7%","15.0","37","109.7","0","0","35","1","2","17.5","27","","","","","",""
"josh mccown","QB","NYJ","2018","10","135","0","17","34","50.0%","4.0","22","35.8","2","3","4","0","1","4.0","4","","","","","",""
"josh rosen","QB","ARI","2018","10","208","1","22","39","56.4%","5.3","24","58.5","2","5","-1","0","1","-1.0","-1","","","","","",""
"joshua dobbs","QB","PIT","2018","10","-3","0","1","2","50.0%","-1.5","-3","56.2","0","0","","","","","","","","","","",""
"marcus mariota","QB","TEN","2018","10","228","2","16","24","66.7%","9.5","29","125.0","0","2","21","0","2","10.5","20","21","0","1","1","21.0","21"
"matt barkley","QB","BUF","2018","10","232","2","15","25","60.0%","9.3","47","117.4","0","1","-2","0","3","-0.7","0","","","","","",""
"matt ryan","QB","ATL","2018","10","330","2","38","52","73.1%","6.3","31","102.2","0","2","13","0","3","4.3","8","","","","","",""
"matthew stafford","QB","DET","2018","10","274","2","25","42","59.5%","6.5","32","74.9","2","6","9","0","2","4.5","5","","","","","",""
"mitchell trubisky","QB","CHI","2018","10","355","3","23","30","76.7%","11.8","55","148.6","0","1","18","1","3","6.0","8","","","","","",""
"nick mullens","QB","SF","2018","10","250","1","27","39","69.2%","6.4","26","73.7","2","0","1","0","2","0.5","2","","","","","",""
"patrick mahomes ii","QB","KC","2018","10","249","2","21","28","75.0%","8.9","38","125.4","0","5","21","0","4","5.3","14","","","","","",""
