"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","RushYds","RushTD","RushAtt","RushAve","RushLong","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"aaron rodgers","QB","GB","2018","2","281","1","30","42","71.4%","6.7","34","97.4","0","4","8","0","3","2.7","7","","","","","",""
"alex smith","QB","WAS","2018","2","292","0","33","46","71.7%","6.3","34","88.3","0","3","14","0","4","3.5","6","","","","","",""
"andrew luck","QB","IND","2018","2","179","2","21","31","67.7%","5.8","22","77.2","2","1","2","0","4","0.5","2","","","","","",""
"andy dalton","QB","CIN","2018","2","265","4","24","42","57.1%","6.3","32","107.7","0","0","","","","","","","","","","",""
"ben roethlisberger","QB","PIT","2018","2","452","3","39","60","65.0%","7.5","46","104.3","0","1","9","1","2","4.5","6","","","","","",""
"blaine gabbert","QB","TEN","2018","2","117","1","13","20","65.0%","5.9","18","97.3","0","1","2","0","2","1.0","1","","","","","",""
"blake bortles","QB","JAX","2018","2","376","4","29","45","64.4%","8.4","61","111.0","1","0","35","0","6","5.8","10","","","","","",""
"cam newton","QB","CAR","2018","2","335","3","32","45","71.1%","7.4","51","105.3","1","2","42","0","5","8.4","16","","","","","",""
"case keenum","QB","DEN","2018","2","222","0","19","35","54.3%","6.3","26","61.8","1","1","16","1","3","5.3","8","","","","","",""
"dak prescott","QB","DAL","2018","2","160","1","16","25","64.0%","6.4","64","95.4","0","0","45","0","7","6.4","15","","","","","",""
"derek carr","QB","OAK","2018","2","288","1","29","32","90.6%","9.0","30","114.6","0","1","","","","","","","","","","",""
"deshaun watson","QB","HOU","2018","2","310","2","22","32","68.8%","9.7","39","107.6","1","4","44","0","5","8.8","15","","","","","",""
"drew brees","QB","NO","2018","2","243","2","28","35","80.0%","6.9","42","114.6","0","3","-1","0","1","-1.0","-1","","","","","",""
"eli manning","QB","NYG","2018","2","279","1","33","44","75.0%","6.3","37","98.6","0","6","4","0","3","1.3","2","","","","","",""
"geno smith","QB","LAC","2018","2","","","","","","","","","","","-1","0","1","-1.0","-1","","","","","",""
"jared goff","QB","LAR","2018","2","354","1","24","32","75.0%","11.1","57","108.1","1","2","2","0","2","1.0","2","","","","","",""
"jimmy garoppolo","QB","SF","2018","2","206","2","18","26","69.2%","7.9","35","118.4","0","6","4","0","3","1.3","5","","","","","",""
"joe flacco","QB","BAL","2018","2","376","2","32","55","58.2%","6.8","45","76.0","2","4","8","0","3","2.7","3","","","","","",""
"josh allen 2","QB","BUF","2018","2","245","1","18","33","54.5%","7.4","57","63.3","2","5","32","0","8","4.0","14","","","","","",""
"kirk cousins","QB","MIN","2018","2","425","4","35","48","72.9%","8.9","75","118.8","1","2","5","0","2","2.5","4","","","","","",""
"lamar jackson","QB","BAL","2018","2","","","","","","","","","","","6","0","2","3.0","5","","","","","",""
"matt ryan","QB","ATL","2018","2","272","2","23","28","82.1%","9.7","30","116.1","1","0","18","2","4","4.5","8","","","","","",""
"matt schaub","QB","ATL","2018","2","","","","","","","","","","","0","0","1","0.0","0","","","","","",""
"matthew stafford","QB","DET","2018","2","347","3","34","53","64.2%","6.5","67","101.7","0","2","8","0","1","8.0","8","","","","","",""
"mitchell trubisky","QB","CHI","2018","2","200","2","25","34","73.5%","5.9","18","83.0","2","2","24","0","5","4.8","17","","","","","",""
"nick foles","QB","PHI","2018","2","334","1","35","48","72.9%","7.0","50","98.8","0","3","8","0","3","2.7","4","-5","0","0","0","-","-5"
"patrick mahomes ii","QB","KC","2018","2","326","6","23","28","82.1%","11.6","40","154.8","0","1","18","0","5","3.6","10","","","","","",""
"philip rivers","QB","LAC","2018","2","256","3","23","27","85.2%","9.5","25","143.2","0","2","5","0","3","1.7","7","","","","","",""
"russell wilson","QB","SEA","2018","2","226","2","22","36","61.1%","6.3","34","86.1","1","6","17","0","3","5.7","9","","","","","",""
"ryan fitzpatrick","QB","TB","2018","2","402","4","27","33","81.8%","12.2","75","144.4","1","2","-1","0","1","-1.0","-1","","","","","",""
"ryan tannehill","QB","MIA","2018","2","168","2","17","23","73.9%","7.3","29","123.1","0","4","44","0","8","5.5","20","","","","","",""
"sam bradford","QB","ARI","2018","2","90","0","17","27","63.0%","3.3","15","53.0","1","1","","","","","","","","","","",""
"sam darnold","QB","NYJ","2018","2","334","1","25","41","61.0%","8.1","44","74.6","2","3","1","0","2","0.5","1","","","","","",""
"tom brady","QB","NE","2018","2","234","2","24","35","68.6%","6.7","29","106.1","0","2","10","0","3","3.3","10","","","","","",""
"tyrod taylor","QB","CLE","2018","2","246","1","22","30","73.3%","8.2","47","94.6","1","3","26","0","4","6.5","8","","","","","",""
"adrian peterson","RB","WAS","2018","2","","","","","","","","","","","20","0","11","1.8","14","30","0","3","3","10.0","21"
