"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","RushYds","RushTD","RushAtt","RushAve","RushLong","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"aaron rodgers","QB","GB","2018","5","442","3","32","52","61.5%","8.5","54","108.0","0","4","10","0","3","3.3","6","","","","","",""
"alex smith","QB","WAS","2018","5","275","0","23","39","59.0%","7.1","42","69.9","1","3","7","1","2","3.5","4","","","","","",""
"andrew luck","QB","IND","2018","5","365","3","38","59","64.4%","6.2","28","84.4","2","1","","","","","","","","","","",""
"andy dalton","QB","CIN","2018","5","248","1","20","30","66.7%","8.3","31","89.3","1","2","10","0","4","2.5","7","","","","","",""
"baker mayfield","QB","CLE","2018","5","342","1","25","43","58.1%","8.0","39","81.7","1","5","23","0","2","11.5","13","","","","","",""
"ben roethlisberger","QB","PIT","2018","5","250","3","19","29","65.5%","8.6","47","112.7","1","0","16","0","2","8.0","8","","","","","",""
"blake bortles","QB","JAX","2018","5","430","1","33","61","54.1%","7.0","38","54.7","4","5","34","1","4","8.5","21","","","","","",""
"cam newton","QB","CAR","2018","5","237","2","21","35","60.0%","6.8","27","75.5","2","1","29","0","8","3.6","9","","","","","",""
"carson wentz","QB","PHI","2018","5","311","2","24","35","68.6%","8.9","48","115.3","0","3","26","0","5","5.2","11","","","","","",""
"case keenum","QB","DEN","2018","5","377","2","35","51","68.6%","7.4","42","95.0","1","4","","","","","","","","","","",""
"cj beathard","QB","SF","2018","5","349","2","34","54","63.0%","6.5","45","78.4","2","4","7","1","2","3.5","6","","","","","",""
"dak prescott","QB","DAL","2018","5","208","1","18","29","62.1%","7.2","44","66.5","2","2","34","0","6","5.7","11","","","","","",""
"derek carr","QB","OAK","2018","5","268","1","24","33","72.7%","8.1","47","94.0","1","3","5","0","1","5.0","5","","","","","",""
"deshaun watson","QB","HOU","2018","5","375","1","33","44","75.0%","8.5","49","98.2","1","1","40","0","10","4.0","11","","","","","",""
"drew brees","QB","NO","2018","5","363","3","26","29","89.7%","12.5","62","153.2","0","2","1","0","2","0.5","2","1","0","1","1","1.0","1"
"eli manning","QB","NYG","2018","5","326","2","22","36","61.1%","9.1","40","86.1","2","1","2","0","1","2.0","2","","","","","",""
"jared goff","QB","LAR","2018","5","321","1","23","32","71.9%","10.0","31","88.2","2","1","15","0","5","3.0","12","","","","","",""
"joe flacco","QB","BAL","2018","5","298","0","29","56","51.8%","5.3","28","60.0","1","2","13","0","2","6.5","11","","","","","",""
"josh allen 2","QB","BUF","2018","5","82","0","10","19","52.6%","4.3","13","42.0","1","1","19","1","4","4.8","14","","","","","",""
"josh rosen","QB","ARI","2018","5","170","1","10","25","40.0%","6.8","75","77.1","0","1","-3","0","3","-1.0","-1","","","","","",""
"joshua dobbs","QB","PIT","2018","5","","","","","","","","","","","-3","0","1","-3.0","-3","","","","","",""
"kirk cousins","QB","MIN","2018","5","301","1","30","37","81.1%","8.1","68","109.6","0","1","1","0","5","0.2","3","","","","","",""
"lamar jackson","QB","BAL","2018","5","0","0","0","1","0.0%","0.0","0","39.6","0","0","10","0","3","3.3","4","","","","","",""
"marcus mariota","QB","TEN","2018","5","129","0","14","26","53.8%","5.0","23","51.6","1","2","10","0","2","5.0","5","","","","","",""
"matt ryan","QB","ATL","2018","5","285","1","26","38","68.4%","7.5","43","99.1","0","6","10","0","1","10.0","10","","","","","",""
"matt schaub","QB","ATL","2018","5","20","0","5","7","71.4%","2.9","9","74.1","0","0","","","","","","-7","0","1","1","-7.0","-7"
"matthew stafford","QB","DET","2018","5","183","2","14","26","53.8%","7.0","60","101.9","0","3","-1","0","1","-1.0","-1","","","","","",""
"patrick mahomes ii","QB","KC","2018","5","313","0","22","38","57.9%","8.2","40","62.7","2","1","13","1","4","3.3","11","","","","","",""
"philip rivers","QB","LAC","2018","5","339","2","22","27","81.5%","12.6","48","143.4","0","1","-2","0","3","-0.7","0","","","","","",""
"russell wilson","QB","SEA","2018","5","198","3","13","21","61.9%","9.4","44","132.5","0","2","","","","","","","","","","",""
"ryan tannehill","QB","MIA","2018","5","185","1","20","35","57.1%","5.3","22","57.4","2","3","17","0","3","5.7","9","","","","","",""
"sam darnold","QB","NYJ","2018","5","198","3","10","22","45.5%","9.0","76","98.1","1","1","5","0","3","1.7","3","","","","","",""
"teddy bridgewater","QB","NO","2018","5","","","","","","","","","","","-3","0","3","-1.0","-1","","","","","",""
"tom brady","QB","NE","2018","5","341","3","34","44","77.3%","7.8","34","102.6","2","0","-1","1","3","-0.3","1","","","","","",""
"aaron jones 2","RB","GB","2018","5","","","","","","","","","","","40","0","7","5.7","18","19","0","2","3","9.5","12"
"adrian peterson","RB","WAS","2018","5","","","","","","","","","","","6","0","4","1.5","4","36","0","2","3","18.0","24"
"alex collins","RB","BAL","2018","5","","","","","","","","","","","59","0","12","4.9","19","7","0","1","4","7.0","7"
"alfred blue","RB","HOU","2018","5","","","","","","","","","","","46","0","20","2.3","17","73","0","8","8","9.1","28"
"alfred morris","RB","SF","2018","5","","","","","","","","","","","61","0","18","3.4","13","30","0","3","5","10.0","15"
"alvin kamara","RB","NO","2018","5","","","","","","","","","","","24","0","6","4.0","9","15","0","3","4","5.0","6"
"austin ekeler","RB","LAC","2018","5","","","","","","","","","","","15","0","6","2.5","12","44","1","1","3","44.0","44"
"bilal powell","RB","NYJ","2018","5","","","","","","","","","","","99","0","20","5.0","38","","","","","",""
"brandon wilds","RB","JAX","2018","5","","","","","","","","","","","6","0","2","3.0","4","","","","","",""
"carlos hyde","RB","CLE","2018","5","","","","","","","","","","","63","0","17","3.7","17","14","0","2","3","7.0","9"
"chase edmonds","RB","ARI","2018","5","","","","","","","","","","","-1","0","1","-1.0","-1","0","0","0","1","-","0"
"chris carson","RB","SEA","2018","5","","","","","","","","","","","116","0","19","6.1","21","11","0","1","1","11.0","11"
"chris ivory","RB","BUF","2018","5","","","","","","","","","","","43","0","14","3.1","9","","","","","",""
"chris thompson","RB","WAS","2018","5","","","","","","","","","","","17","0","8","2.1","11","45","0","6","8","7.5","17"
"christian mccaffrey","RB","CAR","2018","5","","","","","","","","","","","58","0","17","3.4","14","35","1","5","6","7.0","18"
"cj anderson","RB","CAR","2018","5","","","","","","","","","","","9","0","4","2.3","5","","","","","",""
"corey grant","RB","JAX","2018","5","","","","","","","","","","","8","0","1","8.0","8","","","","","",""
"damien williams","RB","KC","2018","5","","","","","","","","","","","0","0","1","0.0","0","","","","","",""
"david johnson 2","RB","ARI","2018","5","","","","","","","","","","","55","2","18","3.1","10","16","0","2","3","8.0","11"
"delance turner","RB","BAL","2018","5","","","","","","","","","","","","","","","","7","0","1","1","7.0","7"
"derek carrier","RB","OAK","2018","5","","","","","","","","","","","","","","","","0","0","0","1","-","0"
"derrick henry","RB","TEN","2018","5","","","","","","","","","","","56","0","11","5.1","14","0","0","0","1","-","0"
"devonta freeman","RB","ATL","2018","5","","","","","","","","","","","32","0","8","4.0","20","9","0","2","2","4.5","9"
"devontae booker","RB","DEN","2018","5","","","","","","","","","","","","","","","","59","0","5","6","11.8","22"
"dion lewis","RB","TEN","2018","5","","","","","","","","","","","34","0","12","2.8","15","14","0","3","4","4.7","10"
"doug martin","RB","OAK","2018","5","","","","","","","","","","","1","0","2","0.5","2","0","0","0","1","-","0"
"duke johnson","RB","CLE","2018","5","","","","","","","","","","","35","0","5","7.0","15","7","0","1","1","7.0","7"
"ezekiel elliott","RB","DAL","2018","5","","","","","","","","","","","54","0","20","2.7","14","30","0","7","7","4.3","10"
"frank gore","RB","MIA","2018","5","","","","","","","","","","","63","0","12","5.3","10","","","","","",""
"isaiah crowell","RB","NYJ","2018","5","","","","","","","","","","","219","1","15","14.6","77","12","0","1","1","12.0","12"
"ito smith","RB","ATL","2018","5","","","","","","","","","","","5","1","3","1.7","4","5","0","1","1","5.0","5"
"jamaal williams","RB","GB","2018","5","","","","","","","","","","","33","0","6","5.5","11","19","0","2","4","9.5","12"
"james conner","RB","PIT","2018","5","","","","","","","","","","","110","2","21","5.2","30","75","0","4","4","18.8","29"
"james white","RB","NE","2018","5","","","","","","","","","","","0","0","2","0.0","0","77","1","10","14","7.7","18"
"javorius allen","RB","BAL","2018","5","","","","","","","","","","","34","0","8","4.3","17","44","0","6","8","7.3","16"
"jay ajayi","RB","PHI","2018","5","","","","","","","","","","","29","0","8","3.6","9","5","0","1","1","5.0","5"
"joe mixon","RB","CIN","2018","5","","","","","","","","","","","93","0","22","4.2","31","22","1","3","4","7.3","18"
"jordan wilkins","RB","IND","2018","5","","","","","","","","","","","39","0","6","6.5","16","9","0","2","2","4.5","5"
"josh adams","RB","PHI","2018","5","","","","","","","","","","","-1","0","1","-1.0","-1","","","","","",""
"kalen ballage","RB","MIA","2018","5","","","","","","","","","","","2","0","1","2.0","2","","","","","",""
"kapri bibbs","RB","WAS","2018","5","","","","","","","","","","","9","1","4","2.3","5","","","","","",""
"kareem hunt","RB","KC","2018","5","","","","","","","","","","","87","1","22","4.0","24","7","0","1","2","7.0","7"
"kenyan drake","RB","MIA","2018","5","","","","","","","","","","","46","0","6","7.7","25","69","1","7","11","9.9","22"
"kerryon johnson","RB","DET","2018","5","","","","","","","","","","","70","0","12","5.8","24","15","0","2","2","7.5","12"
"kyle juszczyk","RB","SF","2018","5","","","","","","","","","","","12","0","1","12.0","12","75","0","6","7","12.5","25"
"latavius murray","RB","MIN","2018","5","","","","","","","","","","","42","0","11","3.8","12","14","0","2","2","7.0","8"
"legarrette blount","RB","DET","2018","5","","","","","","","","","","","22","2","12","1.8","6","","","","","",""
"lesean mccoy","RB","BUF","2018","5","","","","","","","","","","","85","0","24","3.5","16","23","0","2","3","11.5","13"
"mark ingram","RB","NO","2018","5","","","","","","","","","","","53","2","16","3.3","9","20","0","2","3","10.0","28"
"mark walton","RB","CIN","2018","5","","","","","","","","","","","","","","","","3","0","2","3","1.5","2"
"marshawn lynch","RB","OAK","2018","5","","","","","","","","","","","31","0","9","3.4","8","10","0","2","2","5.0","7"
"matt breida","RB","SF","2018","5","","","","","","","","","","","56","0","8","7.0","17","5","1","1","1","5.0","5"
"melvin gordon","RB","LAC","2018","5","","","","","","","","","","","58","1","19","3.1","16","62","0","4","4","15.5","34"
"mike boone","RB","MIN","2018","5","","","","","","","","","","","1","0","1","1.0","1","","","","","",""
"mike davis 3","RB","SEA","2018","5","","","","","","","","","","","68","1","12","5.7","37","7","0","2","2","3.5","9"
"nick chubb","RB","CLE","2018","5","","","","","","","","","","","2","0","3","0.7","2","0","0","0","1","-","0"
"nyheim hines","RB","IND","2018","5","","","","","","","","","","","45","0","15","3.0","9","45","0","7","9","6.4","21"
"phillip lindsay","RB","DEN","2018","5","","","","","","","","","","","61","0","12","5.1","29","20","0","3","4","6.7","10"
"raheem mostert","RB","SF","2018","5","","","","","","","","","","","11","0","5","2.2","12","-2","0","1","1","-2.0","-2"
"robert turbin","RB","IND","2018","5","","","","","","","","","","","","","","","","0","0","0","1","-","0"
