"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","RushYds","RushTD","RushAtt","RushAve","RushLong","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"aaron rodgers","QB","GB","2018","3","265","2","27","44","61.4%","6.0","64","93.5","0","4","13","0","2","6.5","10","","","","","",""
"alex smith","QB","WAS","2018","3","220","2","12","20","60.0%","11.0","50","110.4","1","0","20","0","7","2.9","7","","","","","",""
"andrew luck","QB","IND","2018","3","164","1","25","40","62.5%","4.1","29","79.6","0","2","33","0","1","33.0","33","","","","","",""
"andy dalton","QB","CIN","2018","3","352","2","29","46","63.0%","7.7","49","64.8","4","2","","","","","","","","","","",""
"baker mayfield","QB","CLE","2018","3","201","0","17","23","73.9%","8.7","29","100.1","0","1","-2","0","2","-1.0","-1","","","","","",""
"ben roethlisberger","QB","PIT","2018","3","353","3","30","38","78.9%","9.3","75","120.7","1","3","-1","0","4","-0.3","2","","","","","",""
"blaine gabbert","QB","TEN","2018","3","8","0","1","3","33.3%","2.7","8","42.4","0","2","","","","","","","","","","",""
"blake bortles","QB","JAX","2018","3","155","0","21","34","61.8%","4.6","19","72.5","0","3","27","0","5","5.4","8","","","","","",""
"cam newton","QB","CAR","2018","3","150","2","15","24","62.5%","6.3","27","108.0","0","1","36","2","10","3.6","12","","","","","",""
"carson wentz","QB","PHI","2018","3","255","1","25","37","67.6%","6.9","34","84.9","1","5","10","0","3","3.3","6","","","","","",""
"case keenum","QB","DEN","2018","3","192","0","22","34","64.7%","5.6","22","67.3","1","3","","","","","","","","","","",""
"dak prescott","QB","DAL","2018","3","168","1","19","34","55.9%","4.9","20","54.5","2","5","21","0","2","10.5","11","","","","","",""
"derek carr","QB","OAK","2018","3","345","1","27","39","69.2%","8.8","66","83.8","2","3","-2","0","2","-1.0","-1","","","","","",""
"deshaun watson","QB","HOU","2018","3","385","2","24","40","60.0%","9.6","39","98.4","1","3","36","0","5","7.2","10","","","","","",""
"drew brees","QB","NO","2018","3","396","3","39","49","79.6%","8.1","35","120.7","0","1","7","2","3","2.3","7","","","","","",""
"eli manning","QB","NYG","2018","3","297","2","25","29","86.2%","10.2","30","132.3","0","4","-1","0","1","-1.0","-1","","","","","",""
"jacoby brissett","QB","IND","2018","3","0","0","0","1","0.0%","0.0","0","39.6","0","0","","","","","","","","","","",""
"jared goff","QB","LAR","2018","3","354","3","29","36","80.6%","9.8","53","123.8","1","1","14","0","3","4.7","16","","","","","",""
"jimmy garoppolo","QB","SF","2018","3","251","2","20","30","66.7%","8.4","35","114.7","0","4","23","0","3","7.7","13","","","","","",""
"joe flacco","QB","BAL","2018","3","277","1","25","40","62.5%","6.9","44","91.4","0","2","2","0","4","0.5","5","","","","","",""
"josh allen 2","QB","BUF","2018","3","196","1","15","22","68.2%","8.9","55","111.2","0","3","39","2","10","3.9","10","","","","","",""
"josh rosen","QB","ARI","2018","3","36","0","4","7","57.1%","5.1","10","31.5","1","1","12","0","1","12.0","12","","","","","",""
"kirk cousins","QB","MIN","2018","3","296","1","40","55","72.7%","5.4","19","83.6","1","4","2","0","2","1.0","2","","","","","",""
"lamar jackson","QB","BAL","2018","3","","","","","","","","","","","","","","","","0","0","0","1","-","0"
"marcus mariota","QB","TEN","2018","3","100","0","12","18","66.7%","5.6","22","80.8","0","1","51","0","7","7.3","15","","","","","",""
"matt ryan","QB","ATL","2018","3","374","5","26","35","74.3%","10.7","75","148.1","0","3","12","0","4","3.0","7","","","","","",""
"matthew stafford","QB","DET","2018","3","262","2","27","36","75.0%","7.3","33","101.9","1","1","10","0","1","10.0","10","","","","","",""
"mitchell trubisky","QB","CHI","2018","3","220","0","24","35","68.6%","6.3","39","73.5","1","3","8","0","2","4.0","7","","","","","",""
"patrick mahomes ii","QB","KC","2018","3","314","3","24","38","63.2%","8.3","42","115.5","0","2","7","0","5","1.4","7","","","","","",""
"philip rivers","QB","LAC","2018","3","226","2","18","30","60.0%","7.5","42","105.7","0","1","","","","","","","","","","",""
"russell wilson","QB","SEA","2018","3","192","2","16","26","61.5%","7.4","52","109.8","0","2","-1","0","2","-0.5","0","","","","","",""
"ryan fitzpatrick","QB","TB","2018","3","411","3","30","50","60.0%","8.2","51","81.3","3","3","27","0","5","5.4","17","","","","","",""
"ryan tannehill","QB","MIA","2018","3","289","3","17","23","73.9%","12.6","74","155.3","0","1","26","0","3","8.7","18","","","","","",""
