"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","RushYds","RushTD","RushAtt","RushAve","RushLong","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"aaron rodgers","QB","GB","2018","8","286","1","18","30","60.0%","9.5","48","102.9","0","3","5","0","1","5.0","5","","","","","",""
"alex smith","QB","WAS","2018","8","178","1","20","32","62.5%","5.6","25","87.8","0","0","13","0","3","4.3","11","","","","","",""
"andrew luck","QB","IND","2018","8","239","3","22","31","71.0%","7.7","34","125.6","0","0","-2","0","2","-1.0","-1","","","","","",""
"andy dalton","QB","CIN","2018","8","280","2","21","34","61.8%","8.2","32","107.5","0","2","10","0","3","3.3","8","","","","","",""
"baker mayfield","QB","CLE","2018","8","180","2","22","36","61.1%","5.0","24","80.8","1","2","9","0","1","9.0","9","","","","","",""
"ben roethlisberger","QB","PIT","2018","8","257","2","24","36","66.7%","7.1","43","94.3","1","1","6","0","2","3.0","3","","","","","",""
"blake bortles","QB","JAX","2018","8","286","1","24","41","58.5%","7.0","37","88.1","0","4","43","0","8","5.4","10","","","","","",""
"brandon weeden","QB","HOU","2018","8","","","","","","","","","","","-1","0","1","-1.0","-1","","","","","",""
"brian hoyer","QB","NE","2018","8","","","","","","","","","","","-2","0","2","-1.0","-1","","","","","",""
"brock osweiler","QB","MIA","2018","8","241","0","21","37","56.8%","6.5","46","65.3","1","2","","","","","","","","","","",""
"cam newton","QB","CAR","2018","8","219","2","21","29","72.4%","7.6","33","116.9","0","0","52","1","10","5.2","12","","","","","",""
"carson wentz","QB","PHI","2018","8","286","3","21","30","70.0%","9.5","39","119.6","1","4","28","0","6","4.7","13","4","0","1","1","4.0","4"
"case keenum","QB","DEN","2018","8","262","2","23","34","67.6%","7.7","49","97.9","1","5","9","0","1","9.0","9","","","","","",""
"cj beathard","QB","SF","2018","8","190","1","14","28","50.0%","6.8","55","83.9","0","4","9","0","5","1.8","4","","","","","",""
"derek anderson","QB","BUF","2018","8","290","0","22","39","56.4%","7.4","40","69.4","1","3","-1","0","1","-1.0","-1","","","","","",""
"derek carr","QB","OAK","2018","8","244","3","21","28","75.0%","8.7","31","136.6","0","0","0","1","2","0.0","1","","","","","",""
"deshaun watson","QB","HOU","2018","8","239","5","16","20","80.0%","12.0","73","156.0","0","0","14","0","1","14.0","14","","","","","",""
"drew brees","QB","NO","2018","8","120","1","18","23","78.3%","5.2","20","84.8","1","0","","","","","","","","","","",""
"eli manning","QB","NYG","2018","8","316","1","30","47","63.8%","6.7","44","72.7","2","7","","","","","","","","","","",""
"jameis winston","QB","TB","2018","8","276","1","18","35","51.4%","7.9","60","47.7","4","5","18","0","3","6.0","9","","","","","",""
"jared goff","QB","LAR","2018","8","295","3","19","35","54.3%","8.4","32","111.0","0","5","7","0","5","1.4","7","","","","","",""
"joe flacco","QB","BAL","2018","8","192","1","22","39","56.4%","4.9","19","56.8","2","2","14","0","2","7.0","13","","","","","",""
"josh rosen","QB","ARI","2018","8","252","2","23","40","57.5%","6.3","37","82.5","1","3","12","0","2","6.0","9","","","","","",""
"joshua dobbs","QB","PIT","2018","8","","","","","","","","","","","-1","0","1","-1.0","-1","","","","","",""
