"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","RushYds","RushTD","RushAtt","RushAve","RushLong","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"aj mccarron","QB","HOU","2019","11","0","0","0","1","0.0%","0.0","0","39.6","0","1","","","","","","","","","","",""
"baker mayfield","QB","CLE","2019","11","193","2","17","32","53.1%","6.0","42","92.3","0","1","1","1","1","1.0","1","","","","","",""
"brandon allen","QB","DEN","2019","11","240","1","17","39","43.6%","6.2","48","61.9","1","2","18","0","3","6.0","11","","","","","",""
"brian hoyer","QB","IND","2019","11","","","","","","","","","","","-2","0","2","-1.0","-1","","","","","",""
"carson wentz","QB","PHI","2019","11","214","1","20","40","50.0%","5.4","29","74.4","0","5","17","0","3","5.7","8","","","","","",""
"chase daniel","QB","CHI","2019","11","9","0","1","4","25.0%","2.3","9","39.6","0","2","","","","","","","","","","",""
"dak prescott","QB","DAL","2019","11","444","3","29","46","63.0%","9.7","49","116.6","0","1","18","0","6","3.0","9","","","","","",""
"derek carr","QB","OAK","2019","11","292","1","25","29","86.2%","10.1","32","105.7","1","3","1","1","5","0.2","3","","","","","",""
"deshaun watson","QB","HOU","2019","11","169","0","18","29","62.1%","5.8","20","63.7","1","6","12","0","3","4.0","9","","","","","",""
"drew brees","QB","NO","2019","11","228","3","28","35","80.0%","6.5","41","122.4","0","0","0","0","3","0.0","2","","","","","",""
"dwayne haskins","QB","WAS","2019","11","214","2","19","35","54.3%","6.1","45","79.9","1","6","5","0","4","1.3","4","","","","","",""
"garrett gilbert","QB","CLE","2019","11","","","","","","","","","","","-1","0","1","-1.0","-1","","","","","",""
"jacoby brissett","QB","IND","2019","11","148","1","15","24","62.5%","6.2","31","76.4","1","3","12","1","2","6.0","7","","","","","",""
"jameis winston","QB","TB","2019","11","313","2","30","51","58.8%","6.1","48","57.1","4","2","23","0","2","11.5","23","","","","","",""
"jared goff","QB","LAR","2019","11","173","0","11","18","61.1%","9.6","50","69.9","1","0","3","0","3","1.0","5","","","","","",""
"jeff driskel","QB","DET","2019","11","209","2","15","26","57.7%","8.0","39","109.3","0","3","51","1","8","6.4","23","","","","","",""
"jimmy garoppolo","QB","SF","2019","11","424","4","34","45","75.6%","9.4","57","115.4","2","2","7","0","1","7.0","7","","","","","",""
"josh allen 2","QB","BUF","2019","11","256","3","21","33","63.6%","7.8","40","117.7","0","0","56","1","7","8.0","36","","","","","",""
"kirk cousins","QB","MIN","2019","11","319","3","29","35","82.9%","9.1","54","133.2","0","5","1","0","2","0.5","1","","","","","",""
"kyle allen","QB","CAR","2019","11","325","0","31","50","62.0%","6.5","31","47.5","4","5","7","0","1","7.0","7","","","","","",""
"kyler murray","QB","ARI","2019","11","150","2","24","33","72.7%","4.5","23","101.8","0","4","67","1","8","8.4","22","","","","","",""
"lamar jackson","QB","BAL","2019","11","222","4","17","24","70.8%","9.3","51","139.2","0","0","79","0","10","7.9","39","","","","","",""
"mason rudolph","QB","PIT","2019","11","221","1","23","44","52.3%","5.0","22","36.3","4","4","15","0","2","7.5","13","","","","","",""
"matt ryan","QB","ATL","2019","11","311","1","21","31","67.7%","10.0","48","111.1","0","3","0","0","2","0.0","1","","","","","",""
"matt schaub","QB","ATL","2019","11","","","","","","","","","","","-1","0","1","-1.0","-1","","","","","",""
"mitchell trubisky","QB","CHI","2019","11","190","1","24","43","55.8%","4.4","19","65.1","1","1","4","0","1","4.0","4","","","","","",""
"nick foles","QB","JAX","2019","11","296","2","33","47","70.2%","6.3","34","92.2","1","2","","","","","","","","","","",""
"patrick mahomes ii","QB","KC","2019","11","182","1","19","32","59.4%","5.7","31","72.7","1","1","59","0","5","11.8","24","","","","","",""
"philip rivers","QB","LAC","2019","11","353","1","28","52","53.8%","6.8","50","49.6","4","2","","","","","","","","","","",""
"robert griffin iii","QB","BAL","2019","11","15","0","2","2","100.0%","7.5","8","97.9","0","0","-1","0","1","-1.0","-1","","","","","",""
"ryan finley","QB","CIN","2019","11","115","0","13","31","41.9%","3.7","20","39.0","1","5","47","0","3","15.7","24","","","","","",""
"ryan fitzpatrick","QB","MIA","2019","11","323","0","32","45","71.1%","7.2","50","91.3","0","7","0","0","1","0.0","0","","","","","",""
"sam darnold","QB","NYJ","2019","11","293","4","19","30","63.3%","9.8","45","121.2","1","2","-3","0","2","-1.5","-1","","","","","",""
"tom brady","QB","NE","2019","11","216","0","26","47","55.3%","4.6","30","67.3","0","1","-1","0","1","-1.0","-1","","","","","",""
"adrian peterson","RB","WAS","2019","11","","","","","","","","","","","25","0","9","2.8","8","5","0","2","2","2.5","6"
"alexander mattison","RB","MIN","2019","11","","","","","","","","","","","5","0","3","1.7","6","","","","","",""
"alvin kamara","RB","NO","2019","11","","","","","","","","","","","75","0","13","5.8","14","47","0","10","10","4.7","17"
"ameer abdullah","RB","MIN","2019","11","","","","","","","","","","","5","0","1","5.0","5","11","0","2","2","5.5","6"
"austin ekeler","RB","LAC","2019","11","","","","","","","","","","","24","0","5","4.8","18","108","0","8","12","13.5","37"
"bilal powell","RB","NYJ","2019","11","0","0","0","1","0.0%","0.0","0","39.6","0","0","42","0","7","6.0","17","5","0","1","2","5.0","5"
"bo scarbrough","RB","DET","2019","11","","","","","","","","","","","55","1","14","3.9","23","","","","","",""
"boston scott","RB","PHI","2019","11","","","","","","","","","","","26","0","7","3.7","12","","","","","",""
"brian hill","RB","ATL","2019","11","","","","","","","","","","","30","0","15","2.0","11","8","0","1","3","8.0","8"
"carlos hyde","RB","HOU","2019","11","","","","","","","","","","","65","1","9","7.2","41","0","0","0","1","-","0"
"christian mccaffrey","RB","CAR","2019","11","","","","","","","","","","","70","0","14","5.0","18","121","0","11","15","11.0","23"
"dalvin cook","RB","MIN","2019","11","","","","","","","","","","","26","1","11","2.4","5","31","0","5","6","6.2","21"
"damien williams","RB","KC","2019","11","","","","","","","","","","","7","0","4","1.8","3","6","0","1","1","6.0","6"
"dare ogunbowale","RB","TB","2019","11","","","","","","","","","","","0","0","2","0.0","0","10","0","3","4","3.3","4"
"darrel williams","RB","KC","2019","11","","","","","","","","","","","35","1","11","3.2","6","8","0","2","3","4.0","4"
"david montgomery","RB","CHI","2019","11","","","","","","","","","","","31","0","14","2.2","5","19","0","1","3","19.0","19"
"deandre washington","RB","OAK","2019","11","","","","","","","","","","","-1","0","2","-0.5","1","14","0","2","2","7.0","8"
"derrius guice","RB","WAS","2019","11","","","","","","","","","","","24","0","7","3.4","9","45","1","1","2","45.0","45"
"devin singletary","RB","BUF","2019","11","","","","","","","","","","","75","0","15","5.0","22","4","0","1","1","4.0","4"
"devontae booker","RB","DEN","2019","11","","","","","","","","","","","4","0","1","4.0","4","0","0","0","2","-","0"
"duke johnson","RB","HOU","2019","11","","","","","","","","","","","40","0","6","6.7","17","4","0","2","2","2.0","8"
"ezekiel elliott","RB","DAL","2019","11","","","","","","","","","","","45","1","16","2.8","8","28","1","2","3","14.0","17"
"frank gore","RB","BUF","2019","11","","","","","","","","","","","27","0","11","2.5","6","18","0","1","2","18.0","18"
"giovani bernard","RB","CIN","2019","11","","","","","","","","","","","30","0","3","10.0","18","16","0","1","3","16.0","16"
"gregory howell","RB","HOU","2019","11","","","","","","","","","","","5","0","2","2.5","4","","","","","",""
"gus edwards","RB","BAL","2019","11","","","","","","","","","","","112","1","8","14.0","63","","","","","",""
"james conner","RB","PIT","2019","11","","","","","","","","","","","10","0","5","2.0","7","6","0","1","2","6.0","6"
"james white","RB","NE","2019","11","","","","","","","","","","","20","0","5","4.0","9","16","0","4","7","4.0","12"
"jaylen samuels","RB","PIT","2019","11","","","","","","","","","","","26","0","5","5.2","11","19","1","5","6","3.8","10"
"jd mckissic","RB","DET","2019","11","","","","","","","","","","","13","0","3","4.3","6","40","0","3","4","13.3","22"
"jeff wilson","RB","SF","2019","11","","","","","","","","","","","","","","","","25","1","1","1","25.0","25"
"joe mixon","RB","CIN","2019","11","","","","","","","","","","","86","1","15","5.7","30","17","0","1","3","17.0","17"
