"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","RushYds","RushTD","RushAtt","RushAve","RushLong","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"aaron rodgers","QB","GB","2019","14","195","1","18","28","64.3%","7.0","25","96.6","0","4","16","0","5","3.2","13","","","","","",""
"andy dalton","QB","CIN","2019","14","262","0","22","38","57.9%","6.9","24","68.1","1","2","11","0","3","3.7","6","","","","","",""
"baker mayfield","QB","CLE","2019","14","192","0","11","24","45.8%","8.0","34","38.9","2","1","13","1","2","6.5","7","","","","","",""
"carson wentz","QB","PHI","2019","14","325","2","33","50","66.0%","6.5","30","97.5","0","3","9","0","5","1.8","4","","","","","",""
"dak prescott","QB","DAL","2019","14","334","1","27","49","55.1%","6.8","35","83.2","0","2","1","0","3","0.3","1","","","","","",""
"david blough","QB","DET","2019","14","205","1","24","40","60.0%","5.1","23","60.9","2","5","","","","","","","","","","",""
"derek carr","QB","OAK","2019","14","262","2","25","34","73.5%","7.7","49","115.1","0","2","17","0","2","8.5","15","","","","","",""
"deshaun watson","QB","HOU","2019","14","292","1","28","50","56.0%","5.8","43","63.1","2","3","44","2","6","7.3","16","","","","","",""
"devlin hodges","QB","PIT","2019","14","152","1","16","19","84.2%","8.0","22","117.5","0","3","34","0","5","6.8","22","","","","","",""
"drew brees","QB","NO","2019","14","349","5","29","40","72.5%","8.7","49","138.4","0","0","1","1","1","1.0","1","","","","","",""
"drew lock","QB","DEN","2019","14","309","3","22","27","81.5%","11.4","48","136.0","1","1","15","0","3","5.0","11","","","","","",""
"dwayne haskins","QB","WAS","2019","14","170","1","16","27","59.3%","6.3","30","74.6","1","4","-1","0","1","-1.0","-1","","","","","",""
"eli manning","QB","NYG","2019","14","203","2","15","30","50.0%","6.8","55","94.2","0","2","-1","0","2","-0.5","0","","","","","",""
"gardner minshew","QB","JAX","2019","14","162","1","24","37","64.9%","4.4","22","83.4","0","2","31","0","6","5.2","8","","","","","",""
"garrett gilbert","QB","CLE","2019","14","","","","","","","","","","","-1","0","1","-1.0","-1","","","","","",""
"jacoby brissett","QB","IND","2019","14","251","2","19","36","52.8%","7.0","50","93.6","0","1","26","0","4","6.5","9","","","","","",""
"jameis winston","QB","TB","2019","14","456","4","33","45","73.3%","10.1","61","107.3","3","1","5","1","6","0.8","5","","","","","",""
"jared goff","QB","LAR","2019","14","293","2","22","31","71.0%","9.5","33","95.2","2","0","4","0","2","2.0","5","","","","","",""
"jimmy garoppolo","QB","SF","2019","14","349","4","26","35","74.3%","10.0","75","131.7","1","3","1","0","2","0.5","2","","","","","",""
"josh allen 2","QB","BUF","2019","14","146","1","17","39","43.6%","3.7","37","62.6","0","6","9","0","2","4.5","7","","","","","",""
"kirk cousins","QB","MIN","2019","14","242","1","24","30","80.0%","8.1","44","111.4","0","1","-1","0","1","-1.0","-1","","","","","",""
"kyle allen","QB","CAR","2019","14","293","1","28","41","68.3%","7.1","39","76.6","2","5","24","1","6","4.0","8","","","","","",""
"kyler murray","QB","ARI","2019","14","194","2","20","30","66.7%","6.5","31","67.2","3","5","2","0","6","0.3","8","","","","","",""
"lamar jackson","QB","BAL","2019","14","145","3","16","25","64.0%","5.8","61","102.5","1","1","40","0","11","3.6","16","","","","","",""
"matt ryan","QB","ATL","2019","14","313","2","20","34","58.8%","9.2","93","109.1","0","1","8","0","1","8.0","8","","","","","",""
"matt schaub","QB","ATL","2019","14","","","","","","","","","","","-1","0","1","-1.0","-1","","","","","",""
