"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","RushYds","RushTD","RushAtt","RushAve","RushLong","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"aaron rodgers","QB","GB","2019","9","161","1","23","35","65.7%","4.6","17","85.5","0","3","5","0","1","5.0","5","","","","","",""
"baker mayfield","QB","CLE","2019","9","273","1","27","42","64.3%","6.5","41","90.7","0","2","22","0","3","7.3","16","","","","","",""
"brandon allen","QB","DEN","2019","9","193","2","12","20","60.0%","9.7","75","125.6","0","3","13","0","5","2.6","11","","","","","",""
"brian hoyer","QB","IND","2019","9","168","3","17","26","65.4%","6.5","21","105.9","1","4","6","0","1","6.0","6","","","","","",""
"carson wentz","QB","PHI","2019","9","239","1","26","39","66.7%","6.1","25","91.7","0","4","15","0","4","3.8","8","","","","","",""
"dak prescott","QB","DAL","2019","9","257","3","22","35","62.9%","7.3","45","101.7","1","0","12","0","3","4.0","11","","","","","",""
"daniel jones","QB","NYG","2019","9","210","1","26","41","63.4%","5.1","65","74.2","1","5","54","0","6","9.0","16","","","","","",""
"derek carr","QB","OAK","2019","9","289","2","20","31","64.5%","9.3","34","116.2","0","1","","","","","","","","","","",""
"deshaun watson","QB","HOU","2019","9","201","2","22","28","78.6%","7.2","21","120.4","0","1","37","0","7","5.3","13","","","","","",""
"dwayne haskins","QB","WAS","2019","9","144","0","15","22","68.2%","6.5","22","86.2","0","4","14","0","3","4.7","9","","","","","",""
"gardner minshew","QB","JAX","2019","9","309","0","27","47","57.4%","6.6","31","59.6","2","3","34","0","4","8.5","10","","","","","",""
"jacoby brissett","QB","IND","2019","9","59","0","4","5","80.0%","11.8","27","115.8","0","1","4","0","2","2.0","7","","","","","",""
"jameis winston","QB","TB","2019","9","335","2","29","44","65.9%","7.6","25","103.9","0","2","8","0","2","4.0","5","","","","","",""
"jimmy garoppolo","QB","SF","2019","9","317","4","28","37","75.7%","8.6","32","136.9","0","1","2","0","3","0.7","4","","","","","",""
"josh allen 2","QB","BUF","2019","9","160","1","14","20","70.0%","8.0","49","110.4","0","2","12","1","8","1.5","6","","","","","",""
"kirk cousins","QB","MIN","2019","9","220","3","19","38","50.0%","5.8","32","94.2","0","1","5","0","1","5.0","5","","","","","",""
"kyle allen","QB","CAR","2019","9","232","2","17","32","53.1%","7.3","32","84.4","1","3","-4","0","3","-1.3","-1","","","","","",""
