"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","RushYds","RushTD","RushAtt","RushAve","RushLong","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"aaron rodgers","QB","GB","2019","5","238","0","22","34","64.7%","7.0","23","85.2","0","2","-1","0","4","-0.3","3","","","","","",""
"andy dalton","QB","CIN","2019","5","262","2","27","38","71.1%","6.9","42","107.6","0","1","5","0","2","2.5","5","","","","","",""
"baker mayfield","QB","CLE","2019","5","100","0","8","22","36.4%","4.5","25","13.4","2","4","","","","","","","","","","",""
"carson wentz","QB","PHI","2019","5","189","1","17","29","58.6%","6.5","36","89.6","0","1","5","0","2","2.5","5","","","","","",""
"chase daniel","QB","CHI","2019","5","231","2","22","30","73.3%","7.7","32","89.7","2","4","2","0","1","2.0","2","","","","","",""
"colt mccoy","QB","WAS","2019","5","122","0","18","27","66.7%","4.5","22","61.0","1","6","14","0","2","7.0","9","","","","","",""
"dak prescott","QB","DAL","2019","5","463","2","27","44","61.4%","10.5","53","83.8","3","3","27","0","4","6.8","14","","","","","",""
"daniel jones","QB","NYG","2019","5","182","1","21","38","55.3%","4.8","35","65.9","1","4","12","0","3","4.0","8","","","","","",""
"david fales","QB","NYJ","2019","5","0","0","0","0","-","-","0","0.0","0","1","","","","","","","","","","",""
"derek carr","QB","OAK","2019","5","229","0","25","32","78.1%","7.2","23","96.5","0","0","8","0","3","2.7","9","","","","","",""
"deshaun watson","QB","HOU","2019","5","426","5","28","33","84.8%","12.9","51","158.3","0","0","47","0","4","11.8","30","","","","","",""
"devlin hodges","QB","PIT","2019","5","68","0","7","9","77.8%","7.6","18","98.1","0","0","20","0","2","10.0","21","","","","","",""
"gardner minshew","QB","JAX","2019","5","374","2","26","44","59.1%","8.5","37","101.9","0","2","42","0","7","6.0","11","","","","","",""
"garrett gilbert","QB","CLE","2019","5","0","0","0","1","0.0%","0.0","0","39.6","0","0","","","","","","","","","","",""
"jacoby brissett","QB","IND","2019","5","151","0","18","29","62.1%","5.2","18","61.1","1","0","9","1","6","1.5","7","","","","","",""
"jameis winston","QB","TB","2019","5","204","2","15","27","55.6%","7.6","26","104.6","0","6","13","0","3","4.3","5","","","","","",""
"jared goff","QB","LAR","2019","5","395","1","29","49","59.2%","8.1","32","83.3","1","0","1","0","1","1.0","1","","","","","",""
"jarrett stidham","QB","NE","2019","5","0","0","0","1","0.0%","0.0","0","39.6","0","0","","","","","","","","","","",""
"jimmy garoppolo","QB","SF","2019","5","181","2","20","29","69.0%","6.2","22","108.5","0","2","-3","0","4","-0.8","0","","","","","",""
"joe flacco","QB","DEN","2019","5","182","1","14","20","70.0%","9.1","70","94.2","1","3","7","0","3","2.3","6","","","","","",""
"josh allen 2","QB","BUF","2019","5","219","2","23","32","71.9%","6.8","46","98.3","1","4","27","0","10","2.7","6","","","","","",""
"josh mccown","QB","PHI","2019","5","","","","","","","","","","","-2","0","2","-1.0","-1","","","","","",""
"kirk cousins","QB","MIN","2019","5","306","2","22","27","81.5%","11.3","44","138.6","0","3","3","0","3","1.0","4","","","","","",""
"kyle allen","QB","CAR","2019","5","181","1","17","30","56.7%","6.0","52","85.6","0","3","4","0","1","4.0","4","","","","","",""
"kyler murray","QB","ARI","2019","5","253","0","20","32","62.5%","7.9","28","87.1","0","1","93","1","10","9.3","24","","","","","",""
"lamar jackson","QB","BAL","2019","5","161","1","19","28","67.9%","5.8","24","54.9","3","5","70","0","14","5.0","9","","","","","",""
"luke falk","QB","NYJ","2019","5","120","0","15","26","57.7%","4.6","16","37.3","2","9","","","","","","","","","","",""
"marcus mariota","QB","TEN","2019","5","183","0","13","22","59.1%","8.3","57","86.0","0","5","13","0","5","2.6","4","","","","","",""
"mason rudolph","QB","PIT","2019","5","131","1","13","20","65.0%","6.6","35","100.2","0","1","","","","","","","","","","",""
"matt ryan","QB","ATL","2019","5","330","3","32","46","69.6%","7.2","29","102.6","1","2","7","1","3","2.3","7","","","","","",""
"patrick mahomes ii","QB","KC","2019","5","321","1","22","39","56.4%","8.2","31","91.9","0","4","17","0","3","5.7","14","","","","","",""
"philip rivers","QB","LAC","2019","5","211","0","32","48","66.7%","4.4","20","58.6","2","0","-3","0","1","-3.0","-3","","","","","",""
"russell wilson","QB","SEA","2019","5","268","4","17","23","73.9%","11.7","40","151.8","0","1","32","0","8","4.0","12","","","","","",""
"teddy bridgewater","QB","NO","2019","5","314","4","26","34","76.5%","9.2","42","131.2","1","0","7","0","5","1.4","5","","","","","",""
"tom brady","QB","NE","2019","5","348","3","28","42","66.7%","8.3","31","106.1","1","4","","","","","","","","","","",""
"aaron jones 2","RB","GB","2019","5","","","","","","","","","","","107","4","19","5.6","18","75","0","7","8","10.7","22"
"adrian peterson","RB","WAS","2019","5","","","","","","","","","","","18","0","7","2.6","7","","","","","",""
"alexander mattison","RB","MIN","2019","5","","","","","","","","","","","52","0","7","7.4","19","","","","","",""
"alvin kamara","RB","NO","2019","5","13","0","1","1","100.0%","13.0","13","118.8","0","0","62","0","16","3.9","16","42","0","6","7","7.0","15"
"ameer abdullah","RB","MIN","2019","5","","","","","","","","","","","24","0","3","8.0","15","","","","","",""
"austin ekeler","RB","LAC","2019","5","","","","","","","","","","","7","0","3","2.3","4","86","0","15","16","5.7","17"
"bilal powell","RB","NYJ","2019","5","","","","","","","","","","","4","0","1","4.0","4","","","","","",""
"brandon bolden","RB","NE","2019","5","","","","","","","","","","","13","0","5","2.6","5","29","1","1","1","29.0","29"
"carlos hyde","RB","HOU","2019","5","","","","","","","","","","","60","1","21","2.9","14","0","0","0","1","-","0"
"chase edmonds","RB","ARI","2019","5","","","","","","","","","","","68","1","8","8.5","37","18","0","3","4","6.0","8"
"chris carson","RB","SEA","2019","5","","","","","","","","","","","118","0","27","4.4","14","5","1","1","2","5.0","5"
"chris thompson","RB","WAS","2019","5","","","","","","","","","","","21","0","4","5.3","12","17","0","5","7","3.4","6"
"christian mccaffrey","RB","CAR","2019","5","0","0","0","1","0.0%","0.0","0","39.6","0","0","176","2","19","9.3","84","61","1","6","8","10.2","18"
"corey clement","RB","PHI","2019","5","","","","","","","","","","","0","0","0","-","0","","","","","",""
"dalvin cook","RB","MIN","2019","5","","","","","","","","","","","132","0","21","6.3","41","86","0","6","6","14.3","24"
"damien williams","RB","KC","2019","5","","","","","","","","","","","23","0","9","2.6","6","15","0","3","4","5.0","7"
"dare ogunbowale","RB","TB","2019","5","","","","","","","","","","","-4","0","1","-4.0","-4","27","0","2","3","13.5","16"
"darren sproles","RB","PHI","2019","5","","","","","","","","","","","4","0","3","1.3","5","0","0","0","1","-","0"
"david johnson 2","RB","ARI","2019","5","","","","","","","","","","","91","0","17","5.4","17","65","0","3","5","21.7","24"
"david montgomery","RB","CHI","2019","5","","","","","","","","","","","25","1","11","2.3","6","11","0","1","1","11.0","11"
