"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","RushYds","RushTD","RushAtt","RushAve","RushLong","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"aaron rodgers","QB","GB","2019","1","203","1","18","30","60.0%","6.8","47","91.4","0","5","8","0","3","2.7","10","","","","","",""
"andy dalton","QB","CIN","2019","1","418","2","35","51","68.6%","8.2","55","106.5","0","5","","","","","","","","","","",""
"baker mayfield","QB","CLE","2019","1","285","1","25","38","65.8%","7.5","35","64.0","3","5","","","","","","","","","","",""
"ben roethlisberger","QB","PIT","2019","1","276","0","27","47","57.4%","5.9","45","65.6","1","1","7","0","1","7.0","7","","","","","",""
"cam newton","QB","CAR","2019","1","239","0","25","38","65.8%","6.3","17","72.1","1","3","-2","0","3","-0.7","3","","","","","",""
"carson wentz","QB","PHI","2019","1","313","3","28","39","71.8%","8.0","53","121.0","0","1","5","0","4","1.3","2","","","","","",""
"case keenum","QB","WAS","2019","1","380","3","30","44","68.2%","8.6","69","117.6","0","1","","","","","","","","","","",""
"dak prescott","QB","DAL","2019","1","405","4","25","32","78.1%","12.7","62","158.3","0","0","12","0","4","3.0","8","","","","","",""
"daniel jones","QB","NYG","2019","1","17","0","3","4","75.0%","4.3","6","82.3","0","0","5","0","1","5.0","5","","","","","",""
"derek carr","QB","OAK","2019","1","259","1","22","26","84.6%","10.0","43","121.0","0","0","2","0","2","1.0","3","","","","","",""
"deshaun watson","QB","HOU","2019","1","268","3","20","30","66.7%","8.9","54","114.3","1","6","40","1","4","10.0","21","","","","","",""
"drew brees","QB","NO","2019","1","370","2","32","43","74.4%","8.6","41","105.8","1","1","","","","","","","","","","",""
"eli manning","QB","NYG","2019","1","306","1","30","44","68.2%","7.0","43","95.5","0","1","6","0","1","6.0","6","","","","","",""
"gardner minshew","QB","JAX","2019","1","275","2","22","25","88.0%","11.0","69","122.5","1","1","6","0","1","6.0","6","","","","","",""
"jacoby brissett","QB","IND","2019","1","190","2","21","27","77.8%","7.0","25","120.7","0","2","9","0","3","3.0","6","","","","","",""
"jameis winston","QB","TB","2019","1","194","1","20","36","55.6%","5.4","28","45.4","3","3","13","0","5","2.6","5","","","","","",""
"jared goff","QB","LAR","2019","1","186","1","23","39","59.0%","4.8","24","69.0","1","1","0","0","4","0.0","3","","","","","",""
"jimmy garoppolo","QB","SF","2019","1","166","1","18","27","66.7%","6.1","39","80.2","1","1","-2","0","2","-1.0","-1","","","","","",""
"joe flacco","QB","DEN","2019","1","268","1","21","31","67.7%","8.6","53","105.3","0","3","1","0","1","1.0","1","","","","","",""
"josh allen 2","QB","BUF","2019","1","254","1","24","37","64.9%","6.9","38","71.2","2","1","38","1","10","3.8","8","","","","","",""
"josh rosen","QB","MIA","2019","1","5","0","1","3","33.3%","1.7","5","2.8","1","1","","","","","","","","","","",""
"kirk cousins","QB","MIN","2019","1","98","1","8","10","80.0%","9.8","31","140.8","0","1","4","1","6","0.7","3","","","","","",""
"kyler murray","QB","ARI","2019","1","308","2","29","54","53.7%","5.7","45","75.2","1","5","13","0","3","4.3","9","","","","","",""
"lamar jackson","QB","BAL","2019","1","324","5","17","20","85.0%","16.2","83","158.3","0","1","6","0","3","2.0","4","","","","","",""
"marcus mariota","QB","TEN","2019","1","248","3","14","24","58.3%","10.3","75","133.3","0","4","24","0","3","8.0","13","","","","","",""
"matt moore","QB","KC","2019","1","0","0","0","1","0.0%","0.0","0","39.6","0","0","-1","0","1","-1.0","-1","","","","","",""
"matt ryan","QB","ATL","2019","1","304","2","33","46","71.7%","6.6","23","85.8","2","4","24","0","2","12.0","12","","","","","",""
"matthew stafford","QB","DET","2019","1","385","3","27","45","60.0%","8.6","47","110.0","0","3","22","0","3","7.3","12","","","","","",""
"mitchell trubisky","QB","CHI","2019","1","228","0","26","45","57.8%","5.1","27","62.1","1","5","11","0","3","3.7","7","","","","","",""
"nick foles","QB","JAX","2019","1","75","1","5","8","62.5%","9.4","35","132.8","0","0","","","","","","","","","","",""
"patrick mahomes ii","QB","KC","2019","1","378","3","25","33","75.8%","11.5","68","143.2","0","0","2","0","1","2.0","2","","","","","",""
"philip rivers","QB","LAC","2019","1","333","3","25","34","73.5%","9.8","55","121.3","1","4","6","0","1","6.0","6","","","","","",""
"robert griffin iii","QB","BAL","2019","1","55","1","6","6","100.0%","9.2","12","144.4","0","0","9","0","4","2.3","4","","","","","",""
"russell wilson","QB","SEA","2019","1","195","2","14","20","70.0%","9.8","44","134.4","0","4","8","0","4","2.0","5","","","","","",""
"ryan fitzpatrick","QB","MIA","2019","1","185","1","14","29","48.3%","6.4","49","66.0","1","2","8","0","1","8.0","8","","","","","",""
"ryan tannehill","QB","TEN","2019","1","","","","","","","","","","","-2","0","2","-1.0","-1","","","","","",""
"sam darnold","QB","NYJ","2019","1","175","1","28","41","68.3%","4.3","19","84.9","0","4","0","0","1","0.0","0","","","","","",""
"tom brady","QB","NE","2019","1","341","3","24","36","66.7%","9.5","58","124.9","0","1","","","","","","","","","","",""
"tyrod taylor","QB","LAC","2019","1","","","","","","","","","","","","","","","","0","0","0","1","-","0"
"aaron jones 2","RB","GB","2019","1","","","","","","","","","","","39","0","13","3.0","9","0","0","1","1","0.0","0"
"alexander mattison","RB","MIN","2019","1","","","","","","","","","","","49","0","9","5.4","23","","","","","",""
"alvin kamara","RB","NO","2019","1","","","","","","","","","","","97","0","13","7.5","28","72","0","7","8","10.3","41"
"ameer abdullah","RB","MIN","2019","1","","","","","","","","","","","8","0","2","4.0","6","","","","","",""
"anthony levine","RB","BAL","2019","1","","","","","","","","","","","60","0","1","60.0","60","","","","","",""
"austin ekeler","RB","LAC","2019","1","","","","","","","","","","","58","1","12","4.8","19","96","2","6","7","16.0","55"
"brandon bolden","RB","NE","2019","1","","","","","","","","","","","7","0","1","7.0","7","","","","","",""
"carlos hyde","RB","HOU","2019","1","","","","","","","","","","","83","0","10","8.3","20","2","0","1","1","2.0","2"
"chase edmonds","RB","ARI","2019","1","","","","","","","","","","","5","0","1","5.0","5","0","0","0","1","-","0"
"chris carson","RB","SEA","2019","1","","","","","","","","","","","46","1","15","3.1","21","34","1","6","7","5.7","10"
"chris thompson","RB","WAS","2019","1","","","","","","","","","","","10","0","3","3.3","7","68","0","7","10","9.7","18"
"christian mccaffrey","RB","CAR","2019","1","","","","","","","","","","","128","2","19","6.7","23","81","0","10","11","8.1","17"
"cj anderson","RB","DET","2019","1","","","","","","","","","","","35","0","11","3.2","9","","","","","",""
"dalvin cook","RB","MIN","2019","1","","","","","","","","","","","111","2","21","5.3","22","9","0","2","2","4.5","8"
"damien williams","RB","KC","2019","1","","","","","","","","","","","26","1","13","2.0","6","39","0","6","6","6.5","18"
"dare ogunbowale","RB","TB","2019","1","","","","","","","","","","","","","","","","33","0","4","5","8.3","11"
"darrell henderson","RB","LAR","2019","1","","","","","","","","","","","0","0","1","0.0","0","","","","","",""
"darren sproles","RB","PHI","2019","1","","","","","","","","","","","47","0","9","5.2","17","16","0","3","3","5.3","7"
"darwin thompson","RB","KC","2019","1","","","","","","","","","","","","","","","","3","0","1","1","3.0","3"
"david johnson 2","RB","ARI","2019","1","","","","","","","","","","","82","0","18","4.6","18","55","1","6","7","9.2","27"
"david montgomery","RB","CHI","2019","1","","","","","","","","","","","18","0","6","3.0","6","27","0","1","1","27.0","27"
"deandre washington","RB","OAK","2019","1","","","","","","","","","","","8","0","2","4.0","7","","","","","",""
"dernest johnson","RB","CLE","2019","1","","","","","","","","","","","13","0","1","13.0","13","23","0","2","2","11.5","12"
"derrick henry","RB","TEN","2019","1","","","","","","","","","","","84","1","19","4.4","18","75","1","1","2","75.0","75"
"derrius guice","RB","WAS","2019","1","","","","","","","","","","","18","0","10","1.8","5","20","0","3","3","6.7","8"
