"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","RushYds","RushTD","RushAtt","RushAve","RushLong","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"aaron rodgers","QB","GB","2019","16","216","0","26","40","65.0%","5.4","18","68.3","1","3","-3","0","3","-1.0","-1","","","","","",""
"andy dalton","QB","CIN","2019","16","396","4","33","56","58.9%","7.1","34","104.5","0","4","","","","","","","","","","",""
"baker mayfield","QB","CLE","2019","16","192","2","20","33","60.6%","5.8","33","84.4","1","0","4","0","2","2.0","5","","","","","",""
"brett hundley","QB","ARI","2019","16","49","0","4","9","44.4%","5.4","28","61.8","0","1","35","0","6","5.8","14","","","","","",""
"brian hoyer","QB","IND","2019","16","","","","","","","","","","","-2","0","3","-0.7","0","","","","","",""
"carson wentz","QB","PHI","2019","16","319","1","31","40","77.5%","8.0","38","108.2","0","1","22","0","6","3.7","7","","","","","",""
"case keenum","QB","WAS","2019","16","158","1","16","22","72.7%","7.2","32","107.8","0","1","1","1","1","1.0","1","","","","","",""
"dak prescott","QB","DAL","2019","16","265","0","25","44","56.8%","6.0","41","74.5","0","2","7","0","1","7.0","7","","","","","",""
"daniel jones","QB","NYG","2019","16","352","5","28","42","66.7%","8.4","51","132.1","0","1","12","0","3","4.0","11","","","","","",""
"david blough","QB","DET","2019","16","117","1","12","24","50.0%","4.9","35","78.0","0","4","","","","","","","","","","",""
"derek carr","QB","OAK","2019","16","291","1","26","30","86.7%","9.7","56","118.2","0","3","3","1","1","3.0","3","","","","","",""
"deshaun watson","QB","HOU","2019","16","184","0","19","32","59.4%","5.8","39","62.5","1","5","37","0","7","5.3","19","","","","","",""
"devlin hodges","QB","PIT","2019","16","84","0","11","17","64.7%","4.9","18","37.0","2","3","0","0","1","0.0","0","","","","","",""
"drew brees","QB","NO","2019","16","279","3","27","38","71.1%","7.3","61","118.2","0","3","-3","0","3","-1.0","-1","","","","","",""
"drew lock","QB","DEN","2019","16","192","1","25","33","75.8%","5.8","20","99.6","0","0","10","0","4","2.5","10","","","","","",""
"dwayne haskins","QB","WAS","2019","16","133","2","12","15","80.0%","8.9","34","143.2","0","2","","","","","","","","","","",""
"gardner minshew","QB","JAX","2019","16","181","1","13","31","41.9%","5.8","42","72.1","0","3","36","0","7","5.1","17","","","","","",""
"jacoby brissett","QB","IND","2019","16","119","0","14","27","51.9%","4.4","21","63.7","0","3","37","1","3","12.3","24","2","0","1","1","2.0","2"
"jameis winston","QB","TB","2019","16","335","1","25","48","52.1%","7.0","31","46.8","4","3","16","0","2","8.0","14","","","","","",""
"jared goff","QB","LAR","2019","16","323","2","27","46","58.7%","7.0","29","85.7","1","0","12","0","4","3.0","5","","","","","",""
"jimmy garoppolo","QB","SF","2019","16","248","1","16","27","59.3%","9.2","46","71.2","2","6","5","0","4","1.3","7","","","","","",""
"josh allen 2","QB","BUF","2019","16","208","2","13","26","50.0%","8.0","53","102.7","0","4","43","0","7","6.1","16","","","","","",""
"kirk cousins","QB","MIN","2019","16","122","1","16","31","51.6%","3.9","28","58.8","1","5","","","","","","0","0","0","1","-","0"
"kyler murray","QB","ARI","2019","16","118","1","11","18","61.1%","6.6","21","98.8","0","1","40","0","6","6.7","17","","","","","",""
"lamar jackson","QB","BAL","2019","16","238","3","20","31","64.5%","7.7","39","120.1","0","0","103","0","17","6.1","15","","","","","",""
"mason rudolph","QB","PIT","2019","16","129","1","14","20","70.0%","6.5","29","104.0","0","1","0","0","2","0.0","5","","","","","",""
"matt moore","QB","KC","2019","16","","","","","","","","","","","-1","0","1","-1.0","-1","","","","","",""
"matt ryan","QB","ATL","2019","16","384","1","32","45","71.1%","8.5","32","85.8","2","1","6","0","4","1.5","9","","","","","",""
"mitchell trubisky","QB","CHI","2019","16","157","0","18","34","52.9%","4.6","20","65.4","0","3","20","0","6","3.3","8","","","","","",""
"patrick mahomes ii","QB","KC","2019","16","251","2","23","33","69.7%","7.6","19","112.1","0","1","14","1","2","7.0","12","","","","","",""
"philip rivers","QB","LAC","2019","16","279","0","27","39","69.2%","7.2","23","89.6","0","1","","","","","","","","","","",""
"russell wilson","QB","SEA","2019","16","169","1","16","31","51.6%","5.5","23","78.6","0","5","2","0","2","1.0","6","","","","","",""
"ryan fitzpatrick","QB","MIA","2019","16","419","4","31","52","59.6%","8.1","51","103.0","1","2","9","0","5","1.8","15","","","","","",""
"ryan tannehill","QB","TEN","2019","16","272","3","17","27","63.0%","10.1","41","133.6","0","5","8","0","1","8.0","8","","","","","",""
"sam darnold","QB","NYJ","2019","16","183","1","16","26","61.5%","7.0","32","95.5","0","2","3","0","4","0.8","4","","","","","",""
"tom brady","QB","NE","2019","16","271","1","26","33","78.8%","8.2","31","111.0","0","0","4","0","4","1.0","3","","","","","",""
"tyrod taylor","QB","LAC","2019","16","","","","","","","","","","","-2","0","2","-1.0","-1","","","","","",""
"will grier","QB","CAR","2019","16","224","0","27","44","61.4%","5.1","28","46.0","3","5","17","0","4","4.3","11","","","","","",""
"aaron jones 2","RB","GB","2019","16","","","","","","","","","","","154","2","23","6.7","56","6","0","2","3","3.0","3"
"adrian peterson","RB","WAS","2019","16","","","","","","","","","","","36","1","15","2.4","17","19","0","2","2","9.5","17"
"alvin kamara","RB","NO","2019","16","","","","","","","","","","","80","2","11","7.3","40","30","0","6","7","5.0","14"
"ameer abdullah","RB","MIN","2019","16","","","","","","","","","","","27","0","4","6.8","14","31","0","6","7","5.2","10"
"austin ekeler","RB","LAC","2019","16","","","","","","","","","","","11","0","4","2.8","5","58","0","5","6","11.6","17"
"benny snell","RB","PIT","2019","16","","","","","","","","","","","14","0","7","2.0","6","","","","","",""
"bilal powell","RB","NYJ","2019","16","","","","","","","","","","","3","0","1","3.0","3","5","0","1","2","5.0","5"
"bo scarbrough","RB","DET","2019","16","","","","","","","","","","","34","0","8","4.3","18","","","","","",""
"boston scott","RB","PHI","2019","16","","","","","","","","","","","12","0","3","4.0","5","7","0","6","6","1.2","7"
"brian hill","RB","ATL","2019","16","","","","","","","","","","","66","0","7","9.4","18","","","","","",""
"carlos hyde","RB","HOU","2019","16","","","","","","","","","","","27","1","17","1.6","6","10","0","1","1","10.0","10"
"chris carson","RB","SEA","2019","16","","","","","","","","","","","40","0","8","5.0","16","20","0","1","1","20.0","20"
"chris thompson","RB","WAS","2019","16","","","","","","","","","","","34","0","8","4.3","11","18","0","4","4","4.5","14"
"christian mccaffrey","RB","CAR","2019","16","","","","","","","","","","","54","0","13","4.2","14","119","0","15","15","7.9","13"
"cj prosise","RB","SEA","2019","16","","","","","","","","","","","14","0","4","3.5","9","","","","","",""
"dalyn dawkins","RB","TEN","2019","16","","","","","","","","","","","24","0","9","2.7","14","0","0","0","1","-","0"
"damien williams","RB","KC","2019","16","","","","","","","","","","","65","0","16","4.1","12","27","1","3","3","9.0","14"
"dare ogunbowale","RB","TB","2019","16","","","","","","","","","","","","","","","","34","0","3","5","11.3","19"
"darrell henderson","RB","LAR","2019","16","","","","","","","","","","","7","0","2","3.5","7","","","","","",""
"darwin thompson","RB","KC","2019","16","","","","","","","","","","","14","0","5","2.8","8","","","","","",""
"david johnson 2","RB","ARI","2019","16","","","","","","","","","","","3","0","2","1.5","2","4","0","1","1","4.0","4"
"david montgomery","RB","CHI","2019","16","","","","","","","","","","","57","0","13","4.4","16","2","0","1","1","2.0","2"
"deandre washington","RB","OAK","2019","16","","","","","","","","","","","85","1","23","3.7","13","21","0","2","3","10.5","13"
"delance turner","RB","MIA","2019","16","","","","","","","","","","","6","0","4","1.5","5","","","","","",""
"derek carrier","RB","OAK","2019","16","","","","","","","","","","","","","","","","12","0","2","2","6.0","6"
"devin singletary","RB","BUF","2019","16","","","","","","","","","","","46","0","15","3.1","12","2","0","1","1","2.0","2"
"devonta freeman","RB","ATL","2019","16","","","","","","","","","","","53","1","13","4.1","17","74","1","9","10","8.2","16"
"devontae booker","RB","DEN","2019","16","","","","","","","","","","","","","","","","2","0","1","2","2.0","2"
"dion lewis","RB","TEN","2019","16","","","","","","","","","","","68","0","15","4.5","17","19","0","1","2","19.0","19"
"dontrell hilliard","RB","CLE","2019","16","","","","","","","","","","","","","","","","4","0","1","1","4.0","4"
"duke johnson","RB","HOU","2019","16","","","","","","","","","","","4","0","2","2.0","6","12","0","1","4","12.0","12"
"ezekiel elliott","RB","DAL","2019","16","","","","","","","","","","","47","0","13","3.6","10","37","0","7","7","5.3","11"
"giovani bernard","RB","CIN","2019","16","","","","","","","","","","","3","0","2","1.5","3","12","0","2","3","6.0","9"
"gus edwards","RB","BAL","2019","16","","","","","","","","","","","66","0","12","5.5","10","7","0","1","1","7.0","7"
"jamaal williams","RB","GB","2019","16","","","","","","","","","","","33","0","6","5.5","8","19","0","2","2","9.5","11"
"james conner","RB","PIT","2019","16","","","","","","","","","","","32","0","6","5.3","15","","","","","",""
"james white","RB","NE","2019","16","","","","","","","","","","","5","0","3","1.7","4","24","0","4","5","6.0","9"
"jaylen samuels","RB","PIT","2019","16","","","","","","","","","","","7","0","3","2.3","6","32","0","4","6","8.0","27"
"joe mixon","RB","CIN","2019","16","","","","","","","","","","","50","0","21","2.4","9","23","0","2","2","11.5","17"
"jordan wilkins","RB","IND","2019","16","","","","","","","","","","","84","1","9","9.3","38","","","","","",""
"justice hill","RB","BAL","2019","16","","","","","","","","","","","19","1","3","6.3","18","32","0","3","4","10.7","14"
"kareem hunt","RB","CLE","2019","16","0","0","0","0","-","-","0","0.0","0","1","8","0","2","4.0","6","33","0","4","4","8.3","12"
"kenjon barner","RB","ATL","2019","16","","","","","","","","","","","0","0","0","-","0","","","","","",""
"kenyan drake","RB","ARI","2019","16","","","","","","","","","","","166","2","24","6.9","80","18","0","3","4","6.0","9"
