"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","SackYds"
"kirk cousins","QB","MIN","2018","8","359","2","31","41","75.6%","8.8","31","107.7","1","4","21"
"tom brady","QB","NE","2018","8","324","0","29","45","64.4%","7.2","29","85.8","0","2","13"
"eli manning","QB","NYG","2018","8","316","1","30","47","63.8%","6.7","44","72.7","2","7","50"
"matthew stafford","QB","DET","2018","8","310","2","27","40","67.5%","7.8","39","96.9","1","3","13"
"patrick mahomes ii","QB","KC","2018","8","303","4","24","34","70.6%","8.9","40","125.0","1","2","12"
"jared goff","QB","LAR","2018","8","295","3","19","35","54.3%","8.4","32","111.0","0","5","26"
"derek anderson","QB","BUF","2018","8","290","0","22","39","56.4%","7.4","40","69.4","1","3","26"
"aaron rodgers","QB","GB","2018","8","286","1","18","30","60.0%","9.5","48","102.9","0","3","33"
"blake bortles","QB","JAX","2018","8","286","1","24","41","58.5%","7.0","37","88.1","0","4","21"
"carson wentz","QB","PHI","2018","8","286","3","21","30","70.0%","9.5","39","119.6","1","4","24"
"andy dalton","QB","CIN","2018","8","280","2","21","34","61.8%","8.2","32","107.5","0","2","16"
"jameis winston","QB","TB","2018","8","276","1","18","35","51.4%","7.9","60","47.7","4","5","20"
"case keenum","QB","DEN","2018","8","262","2","23","34","67.6%","7.7","49","97.9","1","5","40"
"ben roethlisberger","QB","PIT","2018","8","257","2","24","36","66.7%","7.1","43","94.3","1","1","4"
"josh rosen","QB","ARI","2018","8","252","2","23","40","57.5%","6.3","37","82.5","1","3","19"
"russell wilson","QB","SEA","2018","8","248","3","14","17","82.4%","14.6","45","158.3","0","2","11"
"derek carr","QB","OAK","2018","8","244","3","21","28","75.0%","8.7","31","136.6","0","0","0"
"brock osweiler","QB","MIA","2018","8","241","0","21","37","56.8%","6.5","46","65.3","1","2","15"
"andrew luck","QB","IND","2018","8","239","3","22","31","71.0%","7.7","34","125.6","0","0","0"
"deshaun watson","QB","HOU","2018","8","239","5","16","20","80.0%","12.0","73","156.0","0","0","0"
"mitchell trubisky","QB","CHI","2018","8","220","2","16","29","55.2%","7.6","70","102.7","0","2","4"
"cam newton","QB","CAR","2018","8","219","2","21","29","72.4%","7.6","33","116.9","0","0","0"
"ryan fitzpatrick","QB","TB","2018","8","194","2","11","15","73.3%","12.9","72","154.9","0","1","0"
"joe flacco","QB","BAL","2018","8","192","1","22","39","56.4%","4.9","19","56.8","2","2","14"
"cj beathard","QB","SF","2018","8","190","1","14","28","50.0%","6.8","55","83.9","0","4","30"
"baker mayfield","QB","CLE","2018","8","180","2","22","36","61.1%","5.0","24","80.8","1","2","17"
"alex smith","QB","WAS","2018","8","178","1","20","32","62.5%","5.6","25","87.8","0","0","0"
"sam darnold","QB","NYJ","2018","8","153","1","14","29","48.3%","5.3","29","75.8","0","1","3"
"drew brees","QB","NO","2018","8","120","1","18","23","78.3%","5.2","20","84.8","1","0","0"
"lamar jackson","QB","BAL","2018","8","46","1","4","5","80.0%","9.2","26","144.6","0","0","0"
"taysom hill","TE","NO","2018","8","44","0","1","1","100.0%","44.0","44","118.8","0","0","0"
"danny amendola","WR","MIA","2018","8","28","1","1","1","100.0%","28.0","28","158.3","0","0","0"
"nathan peterman","QB","BUF","2018","8","23","0","2","2","100.0%","11.5","14","114.6","0","0","0"
"taylor heinicke","QB","CAR","2018","8","13","0","1","1","100.0%","13.0","13","118.8","0","0","0"
"johnny hekker","P","LAR","2018","8","12","0","1","1","100.0%","12.0","12","116.7","0","0","0"
