"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","SackYds"
"jared goff","QB","LAR","2018","9","391","3","28","40","70.0%","9.8","48","115.7","1","0","0"
"patrick mahomes ii","QB","KC","2018","9","375","3","23","32","71.9%","11.7","50","129.0","1","2","15"
"matt ryan","QB","ATL","2018","9","350","4","26","38","68.4%","9.2","40","121.6","1","2","13"
"drew brees","QB","NO","2018","9","346","4","25","36","69.4%","9.6","72","137.0","0","0","0"
"alex smith","QB","WAS","2018","9","306","1","30","46","65.2%","6.7","33","82.3","1","3","19"
"baker mayfield","QB","CLE","2018","9","297","2","29","42","69.0%","7.1","38","95.0","1","2","22"
"tom brady","QB","NE","2018","9","294","1","22","35","62.9%","8.4","55","99.0","0","2","21"
"case keenum","QB","DEN","2018","9","290","1","26","42","61.9%","6.9","44","90.4","0","2","17"
"ben roethlisberger","QB","PIT","2018","9","270","2","28","47","59.6%","5.7","51","89.8","0","1","10"
"nick mullens","QB","SF","2018","9","262","3","16","22","72.7%","11.9","71","151.9","0","0","0"
"aaron rodgers","QB","GB","2018","9","259","2","24","43","55.8%","6.0","51","89.2","0","1","9"
"cam newton","QB","CAR","2018","9","247","2","19","25","76.0%","9.9","32","133.2","0","2","19"
"ryan fitzpatrick","QB","TB","2018","9","243","4","24","40","60.0%","6.1","31","89.9","2","3","24"
"dak prescott","QB","DAL","2018","9","243","2","21","31","67.7%","7.8","37","99.3","1","5","18"
"marcus mariota","QB","TEN","2018","9","240","2","21","29","72.4%","8.3","37","119.9","0","4","25"
"russell wilson","QB","SEA","2018","9","235","2","26","39","66.7%","6.0","42","89.2","1","4","33"
"sam darnold","QB","NYJ","2018","9","229","0","21","39","53.8%","5.9","28","31.8","4","4","27"
"philip rivers","QB","LAC","2018","9","228","2","13","26","50.0%","8.8","54","105.9","0","2","13"
"deshaun watson","QB","HOU","2018","9","213","2","17","24","70.8%","8.9","31","125.9","0","4","21"
"joe flacco","QB","BAL","2018","9","206","0","23","37","62.2%","5.6","30","77.1","0","2","14"
"matthew stafford","QB","DET","2018","9","199","0","25","36","69.4%","5.5","18","83.0","0","10","56"
"nathan peterman","QB","BUF","2018","9","188","0","31","49","63.3%","3.8","26","45.3","3","4","22"
"derek carr","QB","OAK","2018","9","171","0","16","21","76.2%","8.1","25","99.5","0","7","32"
"kirk cousins","QB","MIN","2018","9","164","1","18","22","81.8%","7.5","24","93.9","1","1","9"
"brock osweiler","QB","MIA","2018","9","139","0","15","24","62.5%","5.8","26","78.3","0","4","35"
"mitchell trubisky","QB","CHI","2018","9","135","1","12","20","60.0%","6.8","26","76.0","1","1","9"
"julian edelman","WR","NE","2018","9","37","0","1","1","100.0%","37.0","37","118.8","0","0","0"
"joshua dobbs","QB","PIT","2018","9","22","0","1","1","100.0%","22.0","22","118.8","0","0","0"
"lamar jackson","QB","BAL","2018","9","12","0","1","1","100.0%","12.0","12","116.7","0","0","0"
"tyrod taylor","QB","CLE","2018","9","11","0","1","1","100.0%","11.0","11","112.5","0","0","0"
"aj mccarron","QB","OAK","2018","9","8","0","1","3","33.3%","2.7","8","42.4","0","1","7"
"cole beasley","WR","DAL","2018","9","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
"bryan anger","P","TB","2018","9","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
