"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","SackYds"
"drew brees","QB","NO","2018","1","439","3","37","45","82.2%","9.8","35","129.5","0","1","7"
"philip rivers","QB","LAC","2018","1","424","3","34","51","66.7%","8.3","30","103.7","1","1","6"
"ryan fitzpatrick","QB","TB","2018","1","417","4","21","28","75.0%","14.9","58","156.2","0","0","0"
"ben roethlisberger","QB","PIT","2018","1","335","1","23","41","56.1%","8.2","67","60.5","3","4","22"
"case keenum","QB","DEN","2018","1","329","3","25","39","64.1%","8.4","43","84.2","3","1","5"
"andrew luck","QB","IND","2018","1","319","2","39","53","73.6%","6.0","26","93.2","1","2","14"
"derek carr","QB","OAK","2018","1","303","0","29","40","72.5%","7.6","45","62.8","3","1","3"
"russell wilson","QB","SEA","2018","1","298","3","19","33","57.6%","9.0","66","92.7","2","6","56"
"aaron rodgers","QB","GB","2018","1","286","3","20","30","66.7%","9.5","75","130.7","0","2","19"
"matthew stafford","QB","DET","2018","1","286","1","27","46","58.7%","6.2","28","47.9","4","0","0"
"tom brady","QB","NE","2018","1","277","3","26","39","66.7%","7.1","30","102.2","1","2","10"
"jimmy garoppolo","QB","SF","2018","1","261","1","15","33","45.5%","7.9","56","45.1","3","3","24"
"patrick mahomes ii","QB","KC","2018","1","256","4","15","27","55.6%","9.5","58","127.5","0","1","0"
"alex smith","QB","WAS","2018","1","255","2","21","30","70.0%","8.5","52","118.1","0","3","8"
"matt ryan","QB","ATL","2018","1","251","0","21","43","48.8%","5.8","36","57.4","1","4","26"
"kirk cousins","QB","MIN","2018","1","244","2","20","36","55.6%","6.8","34","95.1","0","3","17"
"andy dalton","QB","CIN","2018","1","243","2","21","28","75.0%","8.7","38","109.7","1","2","14"
"joe flacco","QB","BAL","2018","1","236","3","25","34","73.5%","6.9","29","121.7","0","1","0"
"jared goff","QB","LAR","2018","1","233","2","18","33","54.5%","7.1","30","97.2","0","1","8"
"ryan tannehill","QB","MIA","2018","1","230","2","20","28","71.4%","8.2","75","89.9","2","1","8"
"eli manning","QB","NYG","2018","1","224","0","23","37","62.2%","6.1","24","67.8","1","2","14"
"sam darnold","QB","NYJ","2018","1","198","2","16","21","76.2%","9.4","41","116.8","1","2","18"
"tyrod taylor","QB","CLE","2018","1","197","1","15","40","37.5%","4.9","39","51.8","1","7","47"
"blake bortles","QB","JAX","2018","1","176","1","18","33","54.5%","5.3","31","67.2","1","1","8"
"deshaun watson","QB","HOU","2018","1","176","1","17","34","50.0%","5.2","27","62.9","1","3","18"
"mitchell trubisky","QB","CHI","2018","1","171","0","23","35","65.7%","4.9","33","77.2","0","4","16"
"dak prescott","QB","DAL","2018","1","170","0","19","29","65.5%","5.9","20","81.1","0","6","32"
"cam newton","QB","CAR","2018","1","161","0","17","26","65.4%","6.2","19","82.4","0","3","15"
"sam bradford","QB","ARI","2018","1","153","0","20","34","58.8%","4.5","27","57.6","1","2","8"
"blaine gabbert","QB","TEN","2018","1","117","0","11","22","50.0%","5.3","18","47.0","1","0","0"
"nick foles","QB","PHI","2018","1","117","0","19","34","55.9%","3.4","18","50.7","1","2","13"
"marcus mariota","QB","TEN","2018","1","103","0","9","16","56.3%","6.4","31","36.2","2","0","0"
"josh allen 2","QB","BUF","2018","1","74","0","6","15","40.0%","4.9","24","56.0","0","3","16"
"deshone kizer","QB","GB","2018","1","55","0","4","7","57.1%","7.9","29","42.9","1","2","21"
"nathan peterman","QB","BUF","2018","1","24","0","5","18","27.8%","1.3","10","0.0","2","3","12"
"lamar jackson","QB","BAL","2018","1","24","0","1","4","25.0%","6.0","24","52.1","0","1","8"
"nelson agholor","WR","PHI","2018","1","15","0","1","1","100.0%","15.0","15","118.8","0","0","0"
"matt cassel","QB","DET","2018","1","14","0","2","6","33.3%","2.3","9","2.8","1","0","0"
