"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"devante parker","WR","MIA","2019","17","137","0","8","11","17.1","28"
"breshad perriman","WR","TB","2019","17","134","1","5","8","26.8","37"
"aj brown","WR","TEN","2019","17","124","1","4","8","31.0","51"
"dhaquille williams","WR","BUF","2019","17","108","0","6","12","18.0","41"
"darren waller","TE","OAK","2019","17","107","0","6","10","17.8","75"
"deebo samuel","WR","SF","2019","17","102","0","5","5","20.4","30"
"hunter renfrow","WR","OAK","2019","17","102","1","6","9","17.0","39"
"cooper kupp","WR","LAR","2019","17","99","1","7","10","14.1","24"
"michael gallup","WR","DAL","2019","17","98","3","5","7","19.6","45"
"kaden smith","WR","NYG","2019","17","98","0","8","11","12.3","25"
"brandon zylstra","WR","CAR","2019","17","96","0","6","8","16.0","40"
"davante adams","WR","GB","2019","17","93","1","7","13","13.3","33"
"amari cooper","WR","DAL","2019","17","92","0","4","5","23.0","48"
"george kittle","TE","SF","2019","17","86","0","7","7","12.3","26"
"tyler higbee","TE","LAR","2019","17","84","1","8","12","10.5","22"
"boston scott","RB","PHI","2019","17","84","0","4","6","21.0","39"
"keenan allen","WR","LAC","2019","17","82","1","9","10","9.1","13"
"jarvis landry","WR","CLE","2019","17","82","1","2","6","41.0","56"
"randall cobb","WR","DAL","2019","17","81","0","5","6","16.2","32"
"odell beckham jr","WR","CLE","2019","17","81","1","3","6","27.0","36"
"dk metcalf","WR","SEA","2019","17","81","1","6","12","13.5","24"
"steven sims","WR","WAS","2019","17","81","1","5","8","16.2","65"
"julio jones","WR","ATL","2019","17","78","0","7","13","11.1","29"
"melvin gordon","RB","LAC","2019","17","76","0","6","7","12.7","23"
"dan arnold","WR","ARI","2019","17","76","1","4","6","19.0","37"
"tommy sweeney","WR","BUF","2019","17","76","0","5","5","15.2","22"
"damiere byrd","WR","ARI","2019","17","74","1","7","8","10.6","33"
"ty hilton","WR","IND","2019","17","72","0","3","3","24.0","33"
"christian mccaffrey","RB","CAR","2019","17","72","0","7","10","10.3","28"
"kenny golladay","WR","DET","2019","17","72","0","3","4","24.0","42"
"dede westbrook","WR","JAX","2019","17","72","1","7","8","10.3","18"
"allen robinson","WR","CHI","2019","17","71","0","9","12","7.9","18"
"allen lazard","WR","GB","2019","17","69","1","4","8","17.3","28"
"golden tate","WR","NYG","2019","17","68","1","5","8","13.6","20"
"russell gage","WR","ATL","2019","17","68","0","7","13","9.7","13"
"robert woods","WR","LAR","2019","17","67","1","7","12","9.6","37"
"keelan cole","WR","JAX","2019","17","67","1","3","4","22.3","45"
"jamison crowder","WR","NYJ","2019","17","66","1","8","10","8.3","21"
"deandre carter","WR","HOU","2019","17","65","0","6","7","10.8","21"
"dallas goedert","TE","PHI","2019","17","65","0","4","10","16.3","28"
"daesean hamilton","WR","DEN","2019","17","65","0","5","6","13.0","17"
"damion ratley","WR","CLE","2019","17","64","1","2","3","32.0","46"
"hale hentges","WR","WAS","2019","17","62","0","4","7","15.5","24"
"tyreek hill","WR","KC","2019","17","61","0","4","5","15.3","47"
"christian kirk","WR","ARI","2019","17","60","0","7","10","8.6","16"
"albert wilson","WR","MIA","2019","17","59","0","5","8","11.8","24"
"tyler boyd","WR","CIN","2019","17","59","0","5","7","11.8","22"
"trequan smith","WR","NO","2019","17","56","1","5","5","11.2","32"
"deandre washington","RB","OAK","2019","17","55","0","8","9","6.9","12"
"isaiah ford","WR","MIA","2019","17","54","0","7","9","7.7","15"
"jordan akins","TE","HOU","2019","17","54","0","5","7","10.8","20"
"diontae johnson","WR","PIT","2019","17","54","0","4","7","13.5","21"
"riley ridley","WR","CHI","2019","17","54","0","3","4","18.0","32"
"courtland sutton","WR","DEN","2019","17","52","0","4","8","13.0","19"
"ryquell armstead","RB","JAX","2019","17","52","1","5","9","10.4","24"
"tyler lockett","WR","SEA","2019","17","51","1","6","7","8.5","14"
"phillip dorsett","WR","NE","2019","17","50","0","1","4","50.0","50"
"joshua perkins","TE","PHI","2019","17","50","1","4","6","12.5","24"
"darius slayton","WR","NYG","2019","17","50","0","4","9","12.5","33"
"jimmy graham","TE","GB","2019","17","49","0","4","7","12.3","20"
"kyle juszczyk","RB","SF","2019","17","49","0","1","1","49.0","49"
"deontay burnett","WR","PHI","2019","17","48","0","2","4","24.0","41"
"patrick laird","RB","MIA","2019","17","48","0","4","5","12.0","20"
"marcell ateman","WR","OAK","2019","17","46","0","3","7","15.3","20"
"alexander hollins","C","MIN","2019","17","46","0","2","3","23.0","35"
"larry fitzgerald","WR","ARI","2019","17","45","0","4","7","11.3","23"
"duke johnson","RB","HOU","2019","17","45","0","5","6","9.0","14"
"austin hooper","TE","ATL","2019","17","45","0","7","9","6.4","12"
"taysom hill","TE","NO","2019","17","45","1","1","1","45.0","45"
"jared cook","TE","NO","2019","17","44","1","2","2","22.0","23"
"corey davis","WR","TEN","2019","17","44","0","4","5","11.0","16"
"tarik cohen","RB","CHI","2019","17","44","0","9","10","4.9","12"
"aaron jones 2","RB","GB","2019","17","43","0","2","6","21.5","31"
"austin ekeler","RB","LAC","2019","17","43","0","9","11","4.8","14"
"greg ward jr","WR","PHI","2019","17","43","0","6","7","7.2","15"
"hunter henry","TE","LAC","2019","17","42","1","5","6","8.4","19"
"john ross","WR","CIN","2019","17","42","0","2","5","21.0","28"
"brandin cooks","WR","LAR","2019","17","40","0","3","5","13.3","22"
"justin hardy","WR","ATL","2019","17","40","0","3","3","13.3","21"
"sterling shepard","WR","NYG","2019","17","39","0","5","10","7.8","17"
"jalen richard","WR","OAK","2019","17","39","0","2","2","19.5","33"
"reggie bonnafon","RB","CAR","2019","17","39","0","2","2","19.5","32"
"chris conley","WR","JAX","2019","17","38","0","3","6","12.7","17"
"elandon roberts","LB","NE","2019","17","38","1","1","1","38.0","38"
"mike williams 5","WR","LAC","2019","17","38","0","2","5","19.0","22"
"mike thomas 2","WR","NO","2019","17","37","0","4","9","9.3","14"
"steven mitchell","WR","HOU","2019","17","37","0","2","5","18.5","21"
"leveon bell","RB","NYJ","2019","17","36","0","5","5","7.2","15"
"vyncint smith","WR","NYJ","2019","17","36","0","3","4","12.0","16"
"mohamed sanu","WR","NE","2019","17","35","0","3","5","11.7","22"
"josh hill 2","TE","NO","2019","17","35","0","3","5","11.7","16"
"ty sambrailo","T","ATL","2019","17","35","1","1","1","35.0","35"
"hayden hurst","TE","BAL","2019","17","35","0","2","2","17.5","20"
"tyler eifert","TE","CIN","2019","17","34","0","2","2","17.0","25"
"mike gesicki","TE","MIA","2019","17","34","1","4","7","8.5","14"
"dj chark","WR","JAX","2019","17","34","0","4","5","8.5","19"
"olabisi johnson","WR","MIN","2019","17","34","0","3","4","11.3","14"
"james white","RB","NE","2019","17","33","1","3","3","11.0","13"
"kelvin harmon","WR","WAS","2019","17","33","0","3","5","11.0","25"
"daniel brown","TE","NYJ","2019","17","32","0","3","4","10.7","24"
"kareem hunt","RB","CLE","2019","17","32","0","3","4","10.7","11"
"deandrew white","WR","CAR","2019","17","31","0","2","5","15.5","18"
"marcus johnson 2","WR","IND","2019","17","31","0","2","4","15.5","16"
"damien williams","RB","KC","2019","17","30","0","4","7","7.5","13"
"david moore","WR","SEA","2019","17","30","0","2","2","15.0","17"
"mecole hardman","WR","KC","2019","17","30","0","1","1","30.0","30"
"travis homer","RB","SEA","2019","17","30","0","5","5","6.0","11"
"nkeal harry","WR","NE","2019","17","29","0","3","7","9.7","18"
"justin watson 2","WR","TB","2019","17","27","0","2","4","13.5","17"
"julian edelman","WR","NE","2019","17","26","0","3","7","8.7","14"
"emmanuel sanders","WR","SF","2019","17","25","0","3","4","8.3","12"
"cj uzomah","TE","CIN","2019","17","25","1","5","6","5.0","15"
"peyton barber","RB","TB","2019","17","25","0","2","4","12.5","14"
"jacob hollister","TE","SEA","2019","17","25","0","4","8","6.3","9"
"saquon barkley","RB","NYG","2019","17","25","0","3","4","8.3","9"
"jason witten","TE","DAL","2019","17","24","0","4","4","6.0","9"
"travis kelce","TE","KC","2019","17","24","0","3","5","8.0","11"
"tj yeldon","RB","BUF","2019","17","24","0","3","4","8.0","13"
"pharoh cooper","WR","ARI","2019","17","24","0","1","2","24.0","24"
"demarcus robinson","WR","KC","2019","17","24","1","1","2","24.0","24"
"maxx williams","TE","ARI","2019","17","23","0","1","2","23.0","23"
"kenyan drake","RB","ARI","2019","17","23","0","3","4","7.7","11"
"javon wims","WR","CHI","2019","17","23","0","3","7","7.7","17"
"devine ozigbo","RB","JAX","2019","17","23","0","3","5","7.7","12"
"willie snead","WR","BAL","2019","17","22","0","3","5","7.3","10"
"nyheim hines","RB","IND","2019","17","22","0","3","5","7.3","9"
"olamide zaccheaus","WR","ATL","2019","17","22","0","2","2","11.0","11"
"todd gurley","RB","LAR","2019","17","21","0","2","2","10.5","14"
"zay jones","WR","OAK","2019","17","21","0","2","2","10.5","16"
"vance mcdonald","TE","PIT","2019","17","19","0","2","2","9.5","12"
"marquez valdes scantling","WR","GB","2019","17","19","0","2","7","9.5","11"
"khadarel hodge 2","WR","CLE","2019","17","19","0","1","2","19.0","19"
"david blough","QB","DET","2019","17","19","1","1","1","19.0","19"
"robby anderson","WR","NYJ","2019","17","18","0","3","7","6.0","11"
"alvin kamara","RB","NO","2019","17","18","0","2","3","9.0","15"
"jeremy sprinkle","TE","WAS","2019","17","18","0","3","6","6.0","8"
"devontae booker","RB","DEN","2019","17","17","0","2","2","8.5","9"
"geronimo allison","WR","GB","2019","17","17","0","3","4","5.7","7"
"rico gafford","WR","OAK","2019","17","17","0","1","1","17.0","17"
"frank gore","RB","BUF","2019","17","16","0","3","4","5.3","11"
"danny amendola","WR","DET","2019","17","16","0","2","4","8.0","9"
"raheem mostert","RB","SF","2019","17","16","0","1","2","16.0","16"
"alex erickson","WR","CIN","2019","17","16","0","1","4","16.0","16"
"rashard davis","WR","TEN","2019","17","16","0","1","1","16.0","16"
"jaylen samuels","RB","PIT","2019","17","16","0","1","2","16.0","16"
"devonta freeman","RB","ATL","2019","17","15","0","2","4","7.5","11"
"logan thomas","TE","DET","2019","17","15","0","1","3","15.0","15"
"mo alie cox","TE","IND","2019","17","15","0","1","1","15.0","15"
"marquise brown","WR","BAL","2019","17","15","0","2","2","7.5","8"
"chris hogan","WR","CAR","2019","17","14","0","2","4","7.0","9"
"latavius murray","RB","NO","2019","17","14","0","1","1","14.0","14"
"ameer abdullah","RB","MIN","2019","17","14","0","3","4","4.7","7"
"joe mixon","RB","CIN","2019","17","14","0","1","1","14.0","14"
"tim patrick","WR","DEN","2019","17","14","0","1","2","14.0","14"
"mycole pruitt","TE","TEN","2019","17","13","1","2","2","6.5","12"
"tajae sharpe","WR","TEN","2019","17","13","0","1","2","13.0","13"
"curtis samuel","WR","CAR","2019","17","13","0","2","4","6.5","11"
"marcedes lewis","WR","GB","2019","17","12","0","1","1","12.0","12"
"greg olsen","TE","CAR","2019","17","12","0","2","6","6.0","9"
"cody latimer","WR","NYG","2019","17","12","0","2","3","6.0","9"
"ian thomas","TE","CAR","2019","17","12","0","1","5","12.0","12"
"mike boone","RB","MIN","2019","17","12","0","2","3","6.0","7"
"cam sims","WR","WAS","2019","17","12","0","1","2","12.0","12"
"chris lacy","WR","DET","2019","17","12","0","2","7","6.0","7"
"braxton berrios","WR","NYJ","2019","17","11","0","1","2","11.0","11"
"irv smith jr","TE","MIN","2019","17","11","0","1","2","11.0","11"
"john ursua","WR","SEA","2019","17","11","0","1","1","11.0","11"
"ted ginn jr","WR","NO","2019","17","10","0","1","2","10.0","10"
"luke stocker","TE","ATL","2019","17","10","0","1","1","10.0","10"
"jarius wright","WR","CAR","2019","17","10","0","2","5","5.0","6"
"eric saubert","TE","CHI","2019","17","10","0","1","1","10.0","10"
"zach pascal","WR","IND","2019","17","10","0","1","3","10.0","10"
"ronald jones ii","RB","TB","2019","17","10","0","2","2","5.0","11"
"justice hill","RB","BAL","2019","17","10","0","1","2","10.0","10"
"taiwan jones","RB","HOU","2019","17","9","0","1","1","9.0","9"
"javorius allen","RB","NYG","2019","17","9","0","1","2","9.0","9"
"robert tonyan jr","TE","GB","2019","17","9","0","2","3","4.5","9"
"troy fumagalli","TE","DEN","2019","17","9","0","1","2","9.0","9"
"tyler conklin","TE","MIN","2019","17","9","0","1","1","9.0","9"
"sammy watkins","WR","KC","2019","17","8","0","1","2","8.0","8"
"ricky ortiz","FB","NO","2019","17","8","0","1","1","8.0","8"
"royce freeman","RB","DEN","2019","17","8","0","1","1","8.0","8"
"durham smythe","TE","MIA","2019","17","8","0","1","3","8.0","8"
"jordan thomas","TE","HOU","2019","17","8","0","1","3","8.0","8"
"andrew beck","TE","DEN","2019","17","8","1","2","2","4.0","7"
"tevin coleman","RB","SF","2019","17","7","0","1","2","7.0","7"
"jake kumerow","WR","GB","2019","17","7","0","1","2","7.0","7"
"isaiah mckenzie","WR","BUF","2019","17","7","0","2","5","3.5","12"
"keke coutee","WR","HOU","2019","17","7","0","1","3","7.0","7"
"khari blasingame","FB","TEN","2019","17","7","0","1","1","7.0","7"
"rex burkhead","RB","NE","2019","17","6","0","1","1","6.0","6"
"jack doyle","TE","IND","2019","17","6","0","1","4","6.0","6"
"dontrelle inman","WR","IND","2019","17","6","0","1","3","6.0","6"
"nick boyle","WR","BAL","2019","17","6","0","1","2","6.0","6"
"malcolm brown","RB","LAR","2019","17","6","0","1","1","6.0","6"
"juju smith schuster","WR","PIT","2019","17","6","0","2","6","3.0","11"
"jaleel scott","WR","BAL","2019","17","6","0","1","3","6.0","6"
"tyler kroft","TE","BUF","2019","17","5","0","1","4","5.0","5"
"jesse james 2","TE","DET","2019","17","5","0","2","3","2.5","7"
"tyler ervin","RB","GB","2019","17","5","0","1","3","5.0","5"
"anthony firkser","TE","TEN","2019","17","5","0","1","2","5.0","5"
