"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"chris godwin","WR","TB","2019","12","184","2","7","8","26.3","71"
"jarvis landry","WR","CLE","2019","12","148","2","10","13","14.8","37"
"will fuller","WR","HOU","2019","12","140","0","7","11","20.0","51"
"aj brown","WR","TEN","2019","12","135","1","4","5","33.8","65"
"allen robinson","WR","CHI","2019","12","131","1","6","10","21.8","49"
"george kittle","TE","SF","2019","12","129","1","6","6","21.5","61"
"dj moore 2","WR","CAR","2019","12","126","2","6","9","21.0","52"
"tyler boyd","WR","CIN","2019","12","101","1","5","9","20.2","47"
"mike thomas 2","WR","NO","2019","12","101","1","10","11","10.1","24"
"jared cook","TE","NO","2019","12","99","1","6","8","16.5","21"
"james washington 2","WR","PIT","2019","12","98","1","3","7","32.7","79"
"robert woods","WR","LAR","2019","12","97","0","6","9","16.2","38"
"deandre hopkins","WR","HOU","2019","12","94","2","6","8","15.7","35"
"julian edelman","WR","NE","2019","12","93","0","8","12","11.6","23"
"zach ertz","TE","PHI","2019","12","91","1","12","14","7.6","12"
"devante parker","WR","MIA","2019","12","91","0","6","11","15.2","22"
"randall cobb","WR","DAL","2019","12","86","0","4","7","21.5","59"
"robby anderson","WR","NYJ","2019","12","86","1","4","5","21.5","31"
"calvin ridley","WR","ATL","2019","12","85","1","6","14","14.2","21"
"odell beckham jr","WR","CLE","2019","12","84","1","6","8","14.0","35"
"anthony miller 3","WR","CHI","2019","12","77","0","6","9","12.8","22"
"cole beasley","WR","BUF","2019","12","76","1","6","9","12.7","30"
"russell gage","WR","ATL","2019","12","76","0","8","10","9.5","19"
"jakobi meyers","WR","NE","2019","12","74","0","4","9","18.5","32"
"terry mclaurin","WR","WAS","2019","12","72","0","5","12","14.4","26"
"christian mccaffrey","RB","CAR","2019","12","69","1","9","9","7.7","23"
"dede westbrook","WR","JAX","2019","12","69","0","8","9","8.6","22"
"braxton berrios","WR","NYJ","2019","12","69","0","1","1","69.0","69"
"julio jones","WR","ATL","2019","12","68","0","5","10","13.6","31"
"darius slayton","WR","NYG","2019","12","67","0","4","7","16.8","19"
"leonard fournette","RB","JAX","2019","12","62","0","9","12","6.9","27"
"kenny golladay","WR","DET","2019","12","61","0","4","4","15.3","34"
"leveon bell","RB","NYJ","2019","12","59","0","5","5","11.8","23"
