"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"amari cooper","WR","DAL","2019","5","226","1","11","14","20.5","53"
"will fuller","WR","HOU","2019","5","217","3","14","16","15.5","44"
"mike thomas 2","WR","NO","2019","5","182","2","11","13","16.5","42"
"dj chark","WR","JAX","2019","5","164","2","8","11","20.5","37"
"gerald everett","TE","LAR","2019","5","136","0","7","11","19.4","32"
"adam thielen","WR","MIN","2019","5","130","2","7","8","18.6","44"
"chris godwin","WR","TB","2019","5","125","2","7","9","17.9","26"
"tyler boyd","WR","CIN","2019","5","123","1","10","14","12.3","42"
"cooper kupp","WR","LAR","2019","5","117","1","9","17","13.0","26"
"michael gallup","WR","DAL","2019","5","113","1","7","14","16.1","40"
"julian edelman","WR","NE","2019","5","110","1","8","9","13.8","31"
"byron pringle","WR","KC","2019","5","103","1","6","8","17.2","28"
"allen robinson","WR","CHI","2019","5","97","2","7","9","13.9","32"
"courtland sutton","WR","DEN","2019","5","92","1","4","7","23.0","70"
"dj moore 2","WR","CAR","2019","5","91","0","6","8","15.2","52"
"deandre hopkins","WR","HOU","2019","5","88","0","7","8","12.6","29"
"calvin ridley","WR","ATL","2019","5","88","1","5","9","17.6","29"
"dalvin cook","RB","MIN","2019","5","86","0","6","6","14.3","24"
"austin ekeler","RB","LAC","2019","5","86","0","15","16","5.7","17"
"dede westbrook","WR","JAX","2019","5","82","0","7","11","11.7","30"
"will dissly","TE","SEA","2019","5","81","0","4","4","20.3","38"
"mecole hardman","WR","KC","2019","5","79","0","4","6","19.8","31"
"jarvis landry","WR","CLE","2019","5","75","0","4","6","18.8","25"
"john brown","WR","BUF","2019","5","75","0","5","5","15.0","21"
"juju smith schuster","WR","PIT","2019","5","75","1","7","7","10.7","35"
"aaron jones 2","RB","GB","2019","5","75","0","7","8","10.7","22"
"mike williams 5","WR","LAC","2019","5","74","0","6","13","12.3","20"
"keke coutee","WR","HOU","2019","5","72","0","3","4","24.0","51"
"travis kelce","TE","KC","2019","5","70","0","4","10","17.5","24"
"george kittle","TE","SF","2019","5","70","1","6","8","11.7","22"
"david johnson 2","RB","ARI","2019","5","65","0","3","5","21.7","24"
"darius slayton","WR","NYG","2019","5","62","1","4","5","15.5","35"
"christian mccaffrey","RB","CAR","2019","5","61","1","6","8","10.2","18"
"josh gordon","WR","NE","2019","5","59","0","5","8","11.8","24"
"larry fitzgerald","WR","ARI","2019","5","58","0","6","8","9.7","17"
"zach ertz","TE","PHI","2019","5","57","1","5","7","11.4","21"
"james oshaughnessy","TE","JAX","2019","5","57","0","3","4","19.0","35"
"jonnu smith","TE","TEN","2019","5","57","0","1","2","57.0","57"
"austin hooper","TE","ATL","2019","5","56","0","6","9","9.3","18"
"randall cobb","WR","DAL","2019","5","53","0","3","6","17.7","25"
"alshon jeffery","WR","PHI","2019","5","52","0","6","8","8.7","13"
"isaiah mckenzie","WR","BUF","2019","5","52","0","2","2","26.0","46"
"anthony miller 3","WR","CHI","2019","5","52","0","4","7","13.0","32"
"james washington 2","WR","PIT","2019","5","52","0","3","6","17.3","26"
"willie snead","WR","BAL","2019","5","51","0","4","5","12.8","23"
"tyler lockett","WR","SEA","2019","5","51","1","4","4","12.8","17"
"terry mclaurin","WR","WAS","2019","5","51","0","3","7","17.0","22"
"sterling shepard","WR","NYG","2019","5","49","0","5","9","9.8","18"
"miles sanders","RB","PHI","2019","5","49","0","4","5","12.3","36"
"robert woods","WR","LAR","2019","5","48","0","5","9","9.6","17"
"demaryius thomas","WR","NYJ","2019","5","47","0","4","9","11.8","16"
"tyler higbee","TE","LAR","2019","5","47","0","3","3","15.7","20"
"james white","RB","NE","2019","5","46","0","6","9","7.7","21"
"nyheim hines","RB","IND","2019","5","46","0","4","5","11.5","18"
"foster moreau","TE","OAK","2019","5","46","0","4","4","11.5","23"
"leveon bell","RB","NYJ","2019","5","45","0","7","9","6.4","14"
"mark andrews","TE","BAL","2019","5","45","0","5","7","9.0","24"
"ito smith","RB","ATL","2019","5","45","0","6","6","7.5","10"
"stefon diggs","WR","MIN","2019","5","44","0","3","4","14.7","20"
"dk metcalf","WR","SEA","2019","5","44","1","2","3","22.0","40"
"olabisi johnson","WR","MIN","2019","5","43","0","4","4","10.8","23"
"julio jones","WR","ATL","2019","5","42","0","3","7","14.0","20"
"mohamed sanu","WR","ATL","2019","5","42","1","5","5","8.4","14"
"trevor davis","RB","OAK","2019","5","42","0","4","4","10.5","21"
"evan engram","TE","NYG","2019","5","42","0","6","11","7.0","14"
"alvin kamara","RB","NO","2019","5","42","0","6","7","7.0","15"
"jared cook","TE","NO","2019","5","41","1","4","6","10.3","16"
"jimmy graham","TE","GB","2019","5","41","0","3","3","13.7","23"
"marquise goodwin","WR","SF","2019","5","41","0","3","4","13.7","17"
"devonta freeman","RB","ATL","2019","5","40","1","5","5","8.0","9"
"josh hill 2","TE","NO","2019","5","39","0","3","4","13.0","26"
"darren waller","TE","OAK","2019","5","39","0","4","5","9.8","13"
"tarik cohen","RB","CHI","2019","5","39","0","6","7","6.5","12"
"ryan izzo","TE","NE","2019","5","39","1","2","2","19.5","29"
"damion willis","WR","CIN","2019","5","38","0","4","4","9.5","12"
"ty hilton","WR","IND","2019","5","37","0","4","4","9.3","14"
"jaron brown","WR","SEA","2019","5","36","0","2","4","18.0","21"
"ted ginn jr","WR","NO","2019","5","35","1","2","2","17.5","33"
"vance mcdonald","TE","PIT","2019","5","34","0","3","3","11.3","14"
"pharoh cooper","WR","ARI","2019","5","33","0","2","2","16.5","28"
"phillip lindsay","RB","DEN","2019","5","33","0","4","4","8.3","13"
"hayden hurst","TE","BAL","2019","5","32","0","4","4","8.0","13"
"sony michel","RB","NE","2019","5","32","0","3","3","10.7","15"
"demarcus robinson","WR","KC","2019","5","31","0","3","6","10.3","14"
"rashaad penny","RB","SEA","2019","5","31","0","2","2","15.5","30"
"adam humphries","WR","TEN","2019","5","30","0","4","6","7.5","10"
"jason witten","TE","DAL","2019","5","29","0","3","4","9.7","13"
"brandon bolden","RB","NE","2019","5","29","1","1","1","29.0","29"
"brandin cooks","WR","LAR","2019","5","29","0","1","3","29.0","29"
"ezekiel elliott","RB","DAL","2019","5","29","0","2","3","14.5","27"
"dhaquille williams","WR","BUF","2019","5","29","1","4","4","7.3","11"
"leonard fournette","RB","JAX","2019","5","29","0","4","7","7.3","14"
"geronimo allison","WR","GB","2019","5","28","0","2","6","14.0","22"
"corey davis","WR","TEN","2019","5","28","0","2","4","14.0","23"
"charles clay","TE","ARI","2019","5","27","0","1","1","27.0","27"
"odell beckham jr","WR","CLE","2019","5","27","0","2","6","13.5","20"
"dare ogunbowale","RB","TB","2019","5","27","0","2","3","13.5","16"
"aj brown","WR","TEN","2019","5","27","0","2","2","13.5","14"
"diontae johnson","WR","PIT","2019","5","27","0","5","8","5.4","13"
"chris conley","WR","JAX","2019","5","26","0","1","3","26.0","26"
"jeff heuerman","TE","DEN","2019","5","26","0","1","3","26.0","26"
"auden tate","WR","CIN","2019","5","26","1","3","6","8.7","15"
"kendrick bourne","WR","SF","2019","5","24","0","2","2","12.0","14"
"lesean mccoy","RB","KC","2019","5","23","0","2","2","11.5","21"
"robert tonyan jr","TE","GB","2019","5","23","0","1","1","23.0","23"
"trent sherfield","WR","ARI","2019","5","23","0","1","3","23.0","23"
"derek carrier","RB","OAK","2019","5","22","0","2","2","11.0","20"
"matt lacosse","TE","NE","2019","5","22","0","1","4","22.0","22"
"marquise brown","WR","BAL","2019","5","22","1","3","5","7.3","11"
"keesean johnson","WR","ARI","2019","5","22","0","3","7","7.3","9"
"cole beasley","WR","BUF","2019","5","21","0","3","4","7.0","8"
"ronald jones ii","RB","TB","2019","5","21","0","2","3","10.5","11"
"jordan akins","TE","HOU","2019","5","21","0","1","1","21.0","21"
"kyle juszczyk","RB","SF","2019","5","20","0","2","3","10.0","12"
"darren fells","TE","HOU","2019","5","20","2","2","2","10.0","12"
