"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"emmanuel sanders","WR","SF","2019","14","157","1","7","9","22.4","75"
"darius slayton","WR","NYG","2019","14","154","2","5","8","30.8","55"
"aj brown","WR","TEN","2019","14","153","2","5","7","30.6","91"
"mike thomas 2","WR","NO","2019","14","134","1","11","15","12.2","49"
"deandre hopkins","WR","HOU","2019","14","120","1","7","13","17.1","43"
"robby anderson","WR","NYJ","2019","14","117","1","7","11","16.7","39"
"tyler higbee","TE","LAR","2019","14","116","0","7","11","16.6","33"
"noah fant","TE","DEN","2019","14","113","1","4","4","28.3","48"
"austin ekeler","RB","LAC","2019","14","112","1","4","5","28.0","84"
"michael gallup","WR","DAL","2019","14","109","0","6","10","18.2","24"
"marcus johnson 2","WR","IND","2019","14","105","1","3","7","35.0","50"
"robert woods","WR","LAR","2019","14","98","1","7","9","14.0","20"
"julian edelman","WR","NE","2019","14","95","1","8","12","11.9","37"
"olamide zaccheaus","WR","ATL","2019","14","93","1","1","2","93.0","93"
"stefon diggs","WR","MIN","2019","14","92","0","6","9","15.3","44"
"isaiah ford","WR","MIA","2019","14","92","0","6","9","15.3","25"
"zach ertz","TE","PHI","2019","14","91","2","9","13","10.1","30"
"chris godwin","WR","TB","2019","14","91","0","7","9","13.0","28"
"christian kirk","WR","ARI","2019","14","85","0","8","9","10.6","31"
"keenan allen","WR","LAC","2019","14","83","0","5","6","16.6","45"
"amari cooper","WR","DAL","2019","14","83","1","6","8","13.8","27"
"christian mccaffrey","RB","CAR","2019","14","82","0","11","12","7.5","13"
"dj moore 2","WR","CAR","2019","14","81","0","4","6","20.3","39"
"dk metcalf","WR","SEA","2019","14","78","0","6","6","13.0","35"
"jarvis landry","WR","CLE","2019","14","76","0","4","7","19.0","34"
"calvin ridley","WR","ATL","2019","14","76","1","5","5","15.2","18"
"deebo samuel","WR","SF","2019","14","76","0","5","8","15.2","25"
"tyler boyd","WR","CIN","2019","14","75","0","5","6","15.0","21"
"dj chark","WR","JAX","2019","14","75","0","9","10","8.3","22"
"zach pascal","WR","IND","2019","14","74","1","5","9","14.8","37"
"oj howard","TE","TB","2019","14","73","0","4","5","18.3","33"
"hayden hurst","TE","BAL","2019","14","73","1","3","3","24.3","61"
