"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"mike evans","WR","TB","2019","3","190","3","8","15","23.8","55"
"keenan allen","WR","LAC","2019","3","183","2","13","17","14.1","34"
"tyler lockett","WR","SEA","2019","3","154","1","11","14","14.0","40"
"darren waller","TE","OAK","2019","3","134","0","13","14","10.3","30"
"julio jones","WR","ATL","2019","3","128","1","8","9","16.0","34"
"evan engram","TE","NYG","2019","3","113","1","6","8","18.8","75"
"brandin cooks","WR","LAR","2019","3","112","0","8","12","14.0","23"
"marvin jones","WR","DET","2019","3","101","1","6","9","16.8","27"
"cooper kupp","WR","LAR","2019","3","101","2","11","12","9.2","22"
"sterling shepard","WR","NYG","2019","3","100","1","7","9","14.3","36"
"marquez valdes scantling","WR","GB","2019","3","99","1","6","10","16.5","40"
"mecole hardman","WR","KC","2019","3","97","1","2","5","48.5","83"
"adam humphries","WR","TEN","2019","3","93","0","6","9","15.5","30"
"alvin kamara","RB","NO","2019","3","92","1","9","10","10.2","29"
"travis kelce","TE","KC","2019","3","89","0","7","8","12.7","21"
"kenny stills","WR","HOU","2019","3","89","0","4","6","22.3","38"
"amari cooper","WR","DAL","2019","3","88","2","6","7","14.7","37"
"auden tate","WR","CIN","2019","3","88","0","6","10","14.7","32"
"courtland sutton","WR","DEN","2019","3","87","0","5","7","17.4","52"
"josh gordon","WR","NE","2019","3","83","0","6","11","13.8","28"
"paul richardson","WR","WAS","2019","3","83","1","8","9","10.4","22"
"darius slayton","WR","NYG","2019","3","82","0","3","5","27.3","46"
"juju smith schuster","WR","PIT","2019","3","81","1","3","7","27.0","76"
"chris thompson","RB","WAS","2019","3","79","0","4","5","19.8","33"
"dj chark","WR","JAX","2019","3","76","1","4","5","19.0","37"
"greg olsen","TE","CAR","2019","3","75","2","6","7","12.5","20"
"mohamed sanu","WR","ATL","2019","3","75","0","6","6","12.5","16"
"taylor gabriel","WR","CHI","2019","3","75","3","6","7","12.5","36"
"jordan akins","TE","HOU","2019","3","73","2","3","5","24.3","53"
"miles sanders","RB","PHI","2019","3","73","0","2","4","36.5","40"
"tajae sharpe","WR","TEN","2019","3","70","0","2","3","35.0","47"
"terry mclaurin","WR","WAS","2019","3","70","1","6","8","11.7","17"
"tyler boyd","WR","CIN","2019","3","68","0","6","11","11.3","26"
"preston williams","WR","MIA","2019","3","68","0","4","12","17.0","25"
"deandre hopkins","WR","HOU","2019","3","67","0","6","7","11.2","34"
"dk metcalf","WR","SEA","2019","3","67","0","2","6","33.5","54"
