"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"stefon diggs","WR","MIN","2019","6","167","3","7","11","23.9","62"
"chris godwin","WR","TB","2019","6","151","0","10","12","15.1","26"
"robby anderson","WR","NYJ","2019","6","125","1","5","8","25.0","92"
"kenny golladay","WR","DET","2019","6","121","0","5","9","24.2","66"
"austin hooper","TE","ATL","2019","6","117","1","8","8","14.6","30"
"julian edelman","WR","NE","2019","6","113","0","9","15","12.6","36"
"julio jones","WR","ATL","2019","6","108","0","8","9","13.5","22"
"george kittle","TE","SF","2019","6","103","0","8","8","12.9","45"
"golden tate","WR","NYG","2019","6","102","1","6","9","17.0","64"
"odell beckham jr","WR","CLE","2019","6","101","0","6","11","16.8","41"
"hunter henry","TE","LAC","2019","6","100","2","8","9","12.5","21"
"terry mclaurin","WR","WAS","2019","6","100","2","4","7","25.0","33"
"mark andrews","TE","BAL","2019","6","99","0","6","8","16.5","39"
"jamison crowder","WR","NYJ","2019","6","98","0","6","9","16.3","30"
"mike evans","WR","TB","2019","6","96","0","9","17","10.7","17"
"auden tate","WR","CIN","2019","6","91","0","5","11","18.2","29"
"mike thomas 2","WR","NO","2019","6","89","0","8","12","11.1","26"
"miles sanders","RB","PHI","2019","6","86","1","3","3","28.7","45"
"tyreek hill","WR","KC","2019","6","80","2","5","10","16.0","46"
"james conner","RB","PIT","2019","6","78","1","7","7","11.1","26"
"alshon jeffery","WR","PHI","2019","6","76","1","10","12","7.6","26"
"courtland sutton","WR","DEN","2019","6","76","0","4","8","19.0","41"
"tyler lockett","WR","SEA","2019","6","75","0","5","5","15.0","22"
"dj moore 2","WR","CAR","2019","6","73","0","7","10","10.4","23"
"mike williams 5","WR","LAC","2019","6","72","0","5","10","14.4","20"
"curtis samuel","WR","CAR","2019","6","70","1","4","6","17.5","30"
"larry fitzgerald","WR","ARI","2019","6","69","0","6","8","11.5","22"
"darren fells","TE","HOU","2019","6","69","0","6","7","11.5","18"
"dk metcalf","WR","SEA","2019","6","69","0","4","5","17.3","30"
"david johnson 2","RB","ARI","2019","6","68","1","6","8","11.3","30"
"allen lazard","WR","GB","2019","6","65","1","4","5","16.3","35"
"tavon austin","WR","DAL","2019","6","64","0","5","6","12.8","23"
"demaryius thomas","WR","NYJ","2019","6","62","0","4","4","15.5","33"
"damiere byrd","WR","ARI","2019","6","60","0","2","2","30.0","58"
"travis kelce","TE","KC","2019","6","58","0","4","6","14.5","18"
"marvin hall","WR","DET","2019","6","58","0","1","1","58.0","58"
