"Name","Position","Team","Year","Week","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"sammy watkins","WR","KC","2019","1","198","3","9","11","22.0","68"
"john ross","WR","CIN","2019","1","158","2","7","12","22.6","55"
"michael gallup","WR","DAL","2019","1","158","0","7","7","22.6","62"
"desean jackson","WR","PHI","2019","1","154","2","8","9","19.3","53"
"marquise brown","WR","BAL","2019","1","147","2","4","5","36.8","83"
"dj chark","WR","JAX","2019","1","146","1","4","4","36.5","69"
"tj hockenson","TE","DET","2019","1","131","1","6","9","21.8","39"
"terry mclaurin","WR","WAS","2019","1","125","1","5","7","25.0","69"
"keenan allen","WR","LAC","2019","1","123","1","8","10","15.4","28"
"john brown","WR","BUF","2019","1","123","1","7","10","17.6","38"
"mike thomas 2","WR","NO","2019","1","123","0","10","13","12.3","24"
"courtland sutton","WR","DEN","2019","1","120","0","7","8","17.1","30"
"evan engram","TE","NYG","2019","1","116","1","11","14","10.5","22"
"larry fitzgerald","WR","ARI","2019","1","113","1","8","13","14.1","45"
"deandre hopkins","WR","HOU","2019","1","111","2","8","13","13.9","38"
"mark andrews","TE","BAL","2019","1","108","1","8","8","13.5","39"
"amari cooper","WR","DAL","2019","1","106","1","6","9","17.7","45"
"tyrell williams","WR","OAK","2019","1","105","1","6","7","17.5","43"
"danny amendola","WR","DET","2019","1","104","1","7","13","14.9","47"
"allen robinson","WR","CHI","2019","1","102","0","7","13","14.6","27"
"ted ginn jr","WR","NO","2019","1","101","0","7","7","14.4","41"
"aj brown","WR","TEN","2019","1","100","0","3","4","33.3","51"
"jamison crowder","WR","NYJ","2019","1","99","0","14","17","7.1","19"
"chris conley","WR","JAX","2019","1","97","1","6","7","16.2","21"
"austin ekeler","RB","LAC","2019","1","96","2","6","7","16.0","55"
"phillip dorsett","WR","NE","2019","1","95","2","4","4","23.8","58"
"dk metcalf","WR","SEA","2019","1","89","0","4","6","22.3","42"
"travis kelce","TE","KC","2019","1","88","0","3","8","29.3","42"
"ty hilton","WR","IND","2019","1","87","2","8","9","10.9","19"
"emmanuel sanders","WR","DEN","2019","1","86","1","5","7","17.2","53"
"julian edelman","WR","NE","2019","1","83","0","6","11","13.8","24"
"christian mccaffrey","RB","CAR","2019","1","81","0","10","11","8.1","17"
"juju smith schuster","WR","PIT","2019","1","78","0","6","8","13.0","26"
"austin hooper","TE","ATL","2019","1","77","0","9","9","8.6","16"
"dj moore 2","WR","CAR","2019","1","76","0","7","10","10.9","15"
"devante parker","WR","MIA","2019","1","75","0","3","7","25.0","49"
"derrick henry","RB","TEN","2019","1","75","1","1","2","75.0","75"
"cody latimer","WR","NYG","2019","1","74","0","3","7","24.7","43"
"josh gordon","WR","NE","2019","1","73","1","3","4","24.3","44"
"alvin kamara","RB","NO","2019","1","72","0","7","8","10.3","41"
"odell beckham jr","WR","CLE","2019","1","71","0","7","11","10.1","24"
"robert woods","WR","LAR","2019","1","70","0","8","13","8.8","22"
"darren waller","TE","OAK","2019","1","70","0","7","8","10.0","25"
"randall cobb","WR","DAL","2019","1","69","1","4","5","17.3","25"
"will fuller","WR","HOU","2019","1","69","0","2","3","34.5","54"
"chris thompson","RB","WAS","2019","1","68","0","7","10","9.7","18"
"jarvis landry","WR","CLE","2019","1","67","0","4","7","16.8","34"
"cj uzomah","TE","CIN","2019","1","66","0","4","5","16.5","36"
"calvin ridley","WR","ATL","2019","1","64","1","4","6","16.0","20"
"hunter henry","TE","LAC","2019","1","60","0","4","5","15.0","22"
"tyler boyd","WR","CIN","2019","1","60","0","8","12","7.5","14"
"vernon davis","TE","WAS","2019","1","59","1","4","7","14.8","48"
"mohamed sanu","WR","ATL","2019","1","57","0","5","6","11.4","23"
"marvin jones","WR","DET","2019","1","56","0","4","4","14.0","23"
"james white","RB","NE","2019","1","56","0","5","7","11.2","32"
"delanie walker","TE","TEN","2019","1","55","2","5","6","11.0","16"
"david johnson 2","RB","ARI","2019","1","55","1","6","7","9.2","27"
"zach ertz","TE","PHI","2019","1","54","0","5","7","10.8","26"
"george kittle","TE","SF","2019","1","54","0","8","10","6.8","19"
"chris godwin","WR","TB","2019","1","53","1","3","6","17.7","28"
"marquez valdes scantling","WR","GB","2019","1","52","0","4","6","13.0","47"
"james washington 2","WR","PIT","2019","1","51","0","2","6","25.5","45"
"alshon jeffery","WR","PHI","2019","1","49","1","5","7","9.8","16"
"tarik cohen","RB","CHI","2019","1","49","0","8","10","6.1","9"
"rashard higgins","WR","CLE","2019","1","46","0","2","3","23.0","35"
"cooper kupp","WR","LAR","2019","1","46","0","7","10","6.6","10"
"keesean johnson","WR","ARI","2019","1","46","0","5","10","9.2","15"
"tyler lockett","WR","SEA","2019","1","44","1","1","2","44.0","44"
"james conner","RB","PIT","2019","1","44","0","4","4","11.0","23"
"adam thielen","WR","MIN","2019","1","43","1","3","3","14.3","23"
"giovani bernard","RB","CIN","2019","1","42","0","2","3","21.0","35"
"damiere byrd","WR","ARI","2019","1","42","0","4","7","10.5","19"
"sterling shepard","WR","NYG","2019","1","42","0","6","7","7.0","11"
"kenny golladay","WR","DET","2019","1","42","1","4","9","10.5","13"
"rex burkhead","RB","NE","2019","1","41","0","5","8","8.2","17"
"willie snead","WR","BAL","2019","1","41","1","2","3","20.5","33"
"justin hardy","WR","ATL","2019","1","41","0","4","5","10.3","23"
"hayden hurst","TE","BAL","2019","1","41","0","3","3","13.7","23"
"cole beasley","WR","BUF","2019","1","40","0","5","9","8.0","10"
"vance mcdonald","TE","PIT","2019","1","40","0","2","4","20.0","21"
"bennie fowler","WR","NYG","2019","1","40","0","5","5","8.0","17"
"brandin cooks","WR","LAR","2019","1","39","0","2","6","19.5","24"
"damien williams","RB","KC","2019","1","39","0","6","6","6.5","18"
"blake jarwin","TE","DAL","2019","1","39","1","3","3","13.0","28"
"richie james","WR","SF","2019","1","39","1","1","2","39.0","39"
"jared cook","TE","NO","2019","1","37","0","2","3","18.5","31"
"kenny stills","WR","HOU","2019","1","37","1","3","3","12.3","37"
"stefon diggs","WR","MIN","2019","1","37","0","2","2","18.5","31"
"david njoku","TE","CLE","2019","1","37","1","4","6","9.3","18"
"greg olsen","TE","CAR","2019","1","36","0","4","9","9.0","14"
"davante adams","WR","GB","2019","1","36","0","4","8","9.0","11"
"paul richardson","WR","WAS","2019","1","36","0","4","7","9.0","17"
"deon cain","WR","IND","2019","1","35","0","2","2","17.5","25"
"tommy sweeney","WR","BUF","2019","1","35","0","2","2","17.5","29"
"chris carson","RB","SEA","2019","1","34","1","6","7","5.7","10"
"tevin coleman","RB","SF","2019","1","33","0","2","3","16.5","31"
"duke johnson","RB","HOU","2019","1","33","0","4","5","8.3","13"
"dare ogunbowale","RB","TB","2019","1","33","0","4","5","8.3","11"
"trey quinn","WR","WAS","2019","1","33","1","4","6","8.3","14"
"leveon bell","RB","NYJ","2019","1","32","1","6","9","5.3","11"
"devin funchess","WR","IND","2019","1","32","0","3","5","10.7","16"
"james oshaughnessy","TE","JAX","2019","1","32","0","4","5","8.0","9"
"oj howard","TE","TB","2019","1","32","0","4","5","8.0","15"
"curtis samuel","WR","CAR","2019","1","32","0","3","4","10.7","16"
"christian kirk","WR","ARI","2019","1","32","0","4","12","8.0","10"
"julio jones","WR","ATL","2019","1","31","1","6","11","5.2","10"
"mike gesicki","TE","MIA","2019","1","31","0","2","6","15.5","26"
"kelvin harmon","WR","WAS","2019","1","31","0","2","2","15.5","21"
"jimmy graham","TE","GB","2019","1","30","1","3","5","10.0","16"
"dede westbrook","WR","JAX","2019","1","30","1","5","6","6.0","15"
"damion willis","WR","CIN","2019","1","30","0","3","5","10.0","17"
"mike williams 5","WR","LAC","2019","1","29","0","2","3","14.5","17"
"ryan switzer","WR","PIT","2019","1","29","0","6","6","4.8","8"
"noah fant","TE","DEN","2019","1","29","0","2","4","14.5","20"
"mike evans","WR","TB","2019","1","28","0","2","5","14.0","16"
"trevor davis","RB","GB","2019","1","28","0","1","1","28.0","28"
"alex erickson","WR","CIN","2019","1","28","0","4","4","7.0","13"
"leonard fournette","RB","JAX","2019","1","28","0","4","6","7.0","12"
"robert tonyan jr","TE","GB","2019","1","28","0","1","1","28.0","28"
"josh jacobs","RB","OAK","2019","1","28","0","1","1","28.0","28"
"devin singletary","RB","BUF","2019","1","28","0","5","6","5.6","12"
"tyler eifert","TE","CIN","2019","1","27","0","5","5","5.4","7"
"david montgomery","RB","CHI","2019","1","27","0","1","1","27.0","27"
"nick boyle","WR","BAL","2019","1","26","0","3","3","8.7","12"
"trequan smith","WR","NO","2019","1","26","1","2","2","13.0","14"
"diontae johnson","WR","PIT","2019","1","25","0","3","5","8.3","9"
