"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","SackYds"
"matthew stafford","QB","DET","2019","9","406","3","26","41","63.4%","9.9","59","110.4","1","2","23"
"russell wilson","QB","SEA","2019","9","378","5","29","43","67.4%","8.8","53","133.7","0","3","31"
"jameis winston","QB","TB","2019","9","335","2","29","44","65.9%","7.6","25","103.9","0","2","16"
"ryan tannehill","QB","TEN","2019","9","331","1","27","39","69.2%","8.5","35","82.3","2","4","21"
"jimmy garoppolo","QB","SF","2019","9","317","4","28","37","75.7%","8.6","32","136.9","0","1","7"
"gardner minshew","QB","JAX","2019","9","309","0","27","47","57.4%","6.6","31","59.6","2","3","8"
"philip rivers","QB","LAC","2019","9","294","0","21","28","75.0%","10.5","56","108.3","0","2","11"
"derek carr","QB","OAK","2019","9","289","2","20","31","64.5%","9.3","34","116.2","0","1","10"
"ryan fitzpatrick","QB","MIA","2019","9","288","3","24","36","66.7%","8.0","34","118.8","0","4","22"
"tom brady","QB","NE","2019","9","285","1","30","46","65.2%","6.2","30","80.4","1","2","17"
"matt moore","QB","KC","2019","9","275","1","25","35","71.4%","7.9","41","103.9","0","5","45"
"baker mayfield","QB","CLE","2019","9","273","1","27","42","64.3%","6.5","41","90.7","0","2","12"
"sam darnold","QB","NYJ","2019","9","260","1","27","39","69.2%","6.7","22","85.4","1","3","22"
"dak prescott","QB","DAL","2019","9","257","3","22","35","62.9%","7.3","45","101.7","1","0","0"
"kyler murray","QB","ARI","2019","9","241","2","17","24","70.8%","10.0","88","130.7","0","3","37"
"carson wentz","QB","PHI","2019","9","239","1","26","39","66.7%","6.1","25","91.7","0","4","12"
"kyle allen","QB","CAR","2019","9","232","2","17","32","53.1%","7.3","32","84.4","1","3","18"
"kirk cousins","QB","MIN","2019","9","220","3","19","38","50.0%","5.8","32","94.2","0","1","8"
"daniel jones","QB","NYG","2019","9","210","1","26","41","63.4%","5.1","65","74.2","1","5","39"
"deshaun watson","QB","HOU","2019","9","201","2","22","28","78.6%","7.2","21","120.4","0","1","7"
"brandon allen","QB","DEN","2019","9","193","2","12","20","60.0%","9.7","75","125.6","0","3","18"
"mason rudolph","QB","PIT","2019","9","191","1","26","35","74.3%","5.5","40","84.3","1","1","8"
"brian hoyer","QB","IND","2019","9","168","3","17","26","65.4%","6.5","21","105.9","1","4","34"
"lamar jackson","QB","BAL","2019","9","163","1","17","23","73.9%","7.1","26","107.7","0","1","1"
"aaron rodgers","QB","GB","2019","9","161","1","23","35","65.7%","4.6","17","85.5","0","3","22"
"josh allen 2","QB","BUF","2019","9","160","1","14","20","70.0%","8.0","49","110.4","0","2","14"
"dwayne haskins","QB","WAS","2019","9","144","0","15","22","68.2%","6.5","22","86.2","0","4","28"
"mitchell trubisky","QB","CHI","2019","9","125","0","10","21","47.6%","6.0","53","66.6","0","3","23"
"jacoby brissett","QB","IND","2019","9","59","0","4","5","80.0%","11.8","27","115.8","0","1","4"
"logan cooke","P","JAX","2019","9","0","0","0","0","-","-","0","0.0","0","1","19"
