"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","SackYds"
"derek carr","QB","OAK","2019","17","391","1","29","46","63.0%","8.5","75","97.3","0","2","11"
"kyler murray","QB","ARI","2019","17","325","2","26","42","61.9%","7.7","37","81.9","2","1","3"
"aaron rodgers","QB","GB","2019","17","323","2","27","55","49.1%","5.9","33","72.0","1","1","11"
"ryan fitzpatrick","QB","MIA","2019","17","320","1","28","41","68.3%","7.8","28","99.6","0","2","14"
"jared goff","QB","LAR","2019","17","319","3","29","45","64.4%","7.1","37","107.5","0","1","8"
"matt ryan","QB","ATL","2019","17","313","1","30","51","58.8%","6.1","35","83.2","0","6","27"
"dak prescott","QB","DAL","2019","17","303","4","23","33","69.7%","9.2","48","138.0","0","3","9"
"daniel jones","QB","NYG","2019","17","301","1","28","47","59.6%","6.4","33","76.6","1","4","26"
"kyle allen","QB","CAR","2019","17","295","0","25","41","61.0%","7.2","40","72.7","1","1","4"
"gardner minshew","QB","JAX","2019","17","295","3","27","39","69.2%","7.6","45","106.2","1","3","9"
"carson wentz","QB","PHI","2019","17","289","1","23","40","57.5%","7.2","41","88.4","0","1","10"
"jimmy garoppolo","QB","SF","2019","17","285","0","18","22","81.8%","13.0","49","118.8","0","2","15"
"philip rivers","QB","LAC","2019","17","281","2","31","46","67.4%","6.1","23","80.1","2","3","23"
"baker mayfield","QB","CLE","2019","17","279","3","12","27","44.4%","10.3","56","79.6","3","6","40"
"drew brees","QB","NO","2019","17","253","3","19","30","63.3%","8.4","45","123.3","0","0","0"
"russell wilson","QB","SEA","2019","17","233","2","25","40","62.5%","5.8","24","95.1","0","1","10"
"matt barkley","QB","BUF","2019","17","232","0","18","35","51.4%","6.6","41","48.8","2","1","1"
"aj mccarron","QB","HOU","2019","17","225","0","21","36","58.3%","6.3","21","65.2","1","4","33"
"tom brady","QB","NE","2019","17","221","2","16","29","55.2%","7.6","50","88.4","1","1","4"
"mitchell trubisky","QB","CHI","2019","17","207","0","26","37","70.3%","5.6","32","84.0","0","4","28"
"case keenum","QB","WAS","2019","17","206","1","18","37","48.6%","5.6","65","63.6","1","2","23"
"jameis winston","QB","TB","2019","17","201","2","13","24","54.2%","8.4","37","75.2","2","1","8"
"sam darnold","QB","NYJ","2019","17","199","1","23","36","63.9%","5.5","24","76.0","1","2","14"
"ryan tannehill","QB","TEN","2019","17","198","2","13","20","65.0%","9.9","51","130.8","0","0","0"
"andy dalton","QB","CIN","2019","17","190","1","16","28","57.1%","6.8","28","75.0","1","1","8"
"drew lock","QB","DEN","2019","17","177","1","17","28","60.7%","6.3","19","90.9","0","2","9"
"patrick mahomes ii","QB","KC","2019","17","174","1","16","25","64.0%","7.0","47","81.1","1","0","0"
"jacoby brissett","QB","IND","2019","17","162","0","12","25","48.0%","6.5","33","69.1","0","3","19"
"sean mannion","QB","MIN","2019","17","126","0","12","21","57.1%","6.0","35","35.1","2","0","0"
"david blough","QB","DET","2019","17","122","0","12","29","41.4%","4.2","42","39.7","1","1","7"
"robert griffin iii","QB","BAL","2019","17","96","0","11","21","52.4%","4.6","20","44.9","1","3","15"
"devlin hodges","QB","PIT","2019","17","95","0","9","25","36.0%","3.8","21","47.9","0","2","18"
"marcus mariota","QB","TEN","2019","17","24","0","1","1","100.0%","24.0","24","118.8","0","0","0"
"albert wilson","WR","MIA","2019","17","20","0","1","2","50.0%","10.0","20","85.4","0","0","0"
"danny amendola","WR","DET","2019","17","19","1","1","1","100.0%","19.0","19","158.3","0","0","0"
"teddy bridgewater","QB","NO","2019","17","14","0","1","1","100.0%","14.0","14","118.8","0","1","3"
"josh allen 2","QB","BUF","2019","17","5","0","3","5","60.0%","1.0","5","64.6","0","0","0"
"will grier","QB","CAR","2019","17","4","0","1","8","12.5%","0.5","4","0.0","1","1","7"
"brett hundley","QB","ARI","2019","17","0","0","1","1","100.0%","0.0","0","79.2","0","0","0"
"matt haack","P","MIA","2019","17","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
