"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","SackYds"
"andy dalton","QB","CIN","2019","1","418","2","35","51","68.6%","8.2","55","106.5","0","5","23"
"dak prescott","QB","DAL","2019","1","405","4","25","32","78.1%","12.7","62","158.3","0","0","0"
"matthew stafford","QB","DET","2019","1","385","3","27","45","60.0%","8.6","47","110.0","0","3","24"
"case keenum","QB","WAS","2019","1","380","3","30","44","68.2%","8.6","69","117.6","0","1","10"
"patrick mahomes ii","QB","KC","2019","1","378","3","25","33","75.8%","11.5","68","143.2","0","0","0"
"drew brees","QB","NO","2019","1","370","2","32","43","74.4%","8.6","41","105.8","1","1","8"
"tom brady","QB","NE","2019","1","341","3","24","36","66.7%","9.5","58","124.9","0","1","7"
"philip rivers","QB","LAC","2019","1","333","3","25","34","73.5%","9.8","55","121.3","1","4","23"
"lamar jackson","QB","BAL","2019","1","324","5","17","20","85.0%","16.2","83","158.3","0","1","1"
"carson wentz","QB","PHI","2019","1","313","3","28","39","71.8%","8.0","53","121.0","0","1","0"
"kyler murray","QB","ARI","2019","1","308","2","29","54","53.7%","5.7","45","75.2","1","5","33"
"eli manning","QB","NYG","2019","1","306","1","30","44","68.2%","7.0","43","95.5","0","1","4"
"matt ryan","QB","ATL","2019","1","304","2","33","46","71.7%","6.6","23","85.8","2","4","32"
"baker mayfield","QB","CLE","2019","1","285","1","25","38","65.8%","7.5","35","64.0","3","5","41"
"ben roethlisberger","QB","PIT","2019","1","276","0","27","47","57.4%","5.9","45","65.6","1","1","0"
"gardner minshew","QB","JAX","2019","1","275","2","22","25","88.0%","11.0","69","122.5","1","1","3"
"joe flacco","QB","DEN","2019","1","268","1","21","31","67.7%","8.6","53","105.3","0","3","19"
"deshaun watson","QB","HOU","2019","1","268","3","20","30","66.7%","8.9","54","114.3","1","6","34"
"derek carr","QB","OAK","2019","1","259","1","22","26","84.6%","10.0","43","121.0","0","0","0"
"josh allen 2","QB","BUF","2019","1","254","1","24","37","64.9%","6.9","38","71.2","2","1","12"
"marcus mariota","QB","TEN","2019","1","248","3","14","24","58.3%","10.3","75","133.3","0","4","32"
"cam newton","QB","CAR","2019","1","239","0","25","38","65.8%","6.3","17","72.1","1","3","23"
"mitchell trubisky","QB","CHI","2019","1","228","0","26","45","57.8%","5.1","27","62.1","1","5","20"
"aaron rodgers","QB","GB","2019","1","203","1","18","30","60.0%","6.8","47","91.4","0","5","37"
"russell wilson","QB","SEA","2019","1","195","2","14","20","70.0%","9.8","44","134.4","0","4","35"
"jameis winston","QB","TB","2019","1","194","1","20","36","55.6%","5.4","28","45.4","3","3","20"
"jacoby brissett","QB","IND","2019","1","190","2","21","27","77.8%","7.0","25","120.7","0","2","17"
"jared goff","QB","LAR","2019","1","186","1","23","39","59.0%","4.8","24","69.0","1","1","3"
"ryan fitzpatrick","QB","MIA","2019","1","185","1","14","29","48.3%","6.4","49","66.0","1","2","5"
"sam darnold","QB","NYJ","2019","1","175","1","28","41","68.3%","4.3","19","84.9","0","4","20"
"jimmy garoppolo","QB","SF","2019","1","166","1","18","27","66.7%","6.1","39","80.2","1","1","8"
"kirk cousins","QB","MIN","2019","1","98","1","8","10","80.0%","9.8","31","140.8","0","1","1"
"nick foles","QB","JAX","2019","1","75","1","5","8","62.5%","9.4","35","132.8","0","0","0"
"robert griffin iii","QB","BAL","2019","1","55","1","6","6","100.0%","9.2","12","144.4","0","0","0"
"julian edelman","WR","NE","2019","1","32","0","1","1","100.0%","32.0","32","118.8","0","0","0"
"daniel jones","QB","NYG","2019","1","17","0","3","4","75.0%","4.3","6","82.3","0","0","0"
"josh rosen","QB","MIA","2019","1","5","0","1","3","33.3%","1.7","5","2.8","1","1","6"
"matt moore","QB","KC","2019","1","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
