"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","SackYds"
"ryan fitzpatrick","QB","MIA","2019","16","419","4","31","52","59.6%","8.1","51","103.0","1","2","13"
"andy dalton","QB","CIN","2019","16","396","4","33","56","58.9%","7.1","34","104.5","0","4","25"
"matt ryan","QB","ATL","2019","16","384","1","32","45","71.1%","8.5","32","85.8","2","1","1"
"daniel jones","QB","NYG","2019","16","352","5","28","42","66.7%","8.4","51","132.1","0","1","6"
"jameis winston","QB","TB","2019","16","335","1","25","48","52.1%","7.0","31","46.8","4","3","6"
"jared goff","QB","LAR","2019","16","323","2","27","46","58.7%","7.0","29","85.7","1","0","0"
"carson wentz","QB","PHI","2019","16","319","1","31","40","77.5%","8.0","38","108.2","0","1","6"
"derek carr","QB","OAK","2019","16","291","1","26","30","86.7%","9.7","56","118.2","0","3","24"
"drew brees","QB","NO","2019","16","279","3","27","38","71.1%","7.3","61","118.2","0","3","24"
"philip rivers","QB","LAC","2019","16","279","0","27","39","69.2%","7.2","23","89.6","0","1","14"
"ryan tannehill","QB","TEN","2019","16","272","3","17","27","63.0%","10.1","41","133.6","0","5","24"
"tom brady","QB","NE","2019","16","271","1","26","33","78.8%","8.2","31","111.0","0","0","0"
"dak prescott","QB","DAL","2019","16","265","0","25","44","56.8%","6.0","41","74.5","0","2","8"
"patrick mahomes ii","QB","KC","2019","16","251","2","23","33","69.7%","7.6","19","112.1","0","1","7"
"jimmy garoppolo","QB","SF","2019","16","248","1","16","27","59.3%","9.2","46","71.2","2","6","33"
"lamar jackson","QB","BAL","2019","16","238","3","20","31","64.5%","7.7","39","120.1","0","0","0"
"will grier","QB","CAR","2019","16","224","0","27","44","61.4%","5.1","28","46.0","3","5","37"
"aaron rodgers","QB","GB","2019","16","216","0","26","40","65.0%","5.4","18","68.3","1","3","17"
"josh allen 2","QB","BUF","2019","16","208","2","13","26","50.0%","8.0","53","102.7","0","4","32"
"baker mayfield","QB","CLE","2019","16","192","2","20","33","60.6%","5.8","33","84.4","1","0","0"
"drew lock","QB","DEN","2019","16","192","1","25","33","75.8%","5.8","20","99.6","0","0","0"
"deshaun watson","QB","HOU","2019","16","184","0","19","32","59.4%","5.8","39","62.5","1","5","23"
"sam darnold","QB","NYJ","2019","16","183","1","16","26","61.5%","7.0","32","95.5","0","2","9"
"gardner minshew","QB","JAX","2019","16","181","1","13","31","41.9%","5.8","42","72.1","0","3","15"
"russell wilson","QB","SEA","2019","16","169","1","16","31","51.6%","5.5","23","78.6","0","5","36"
"case keenum","QB","WAS","2019","16","158","1","16","22","72.7%","7.2","32","107.8","0","1","11"
"mitchell trubisky","QB","CHI","2019","16","157","0","18","34","52.9%","4.6","20","65.4","0","3","24"
"dwayne haskins","QB","WAS","2019","16","133","2","12","15","80.0%","8.9","34","143.2","0","2","10"
"mason rudolph","QB","PIT","2019","16","129","1","14","20","70.0%","6.5","29","104.0","0","1","9"
"kirk cousins","QB","MIN","2019","16","122","1","16","31","51.6%","3.9","28","58.8","1","5","40"
"jacoby brissett","QB","IND","2019","16","119","0","14","27","51.9%","4.4","21","63.7","0","3","13"
"kyler murray","QB","ARI","2019","16","118","1","11","18","61.1%","6.6","21","98.8","0","1","1"
"david blough","QB","DET","2019","16","117","1","12","24","50.0%","4.9","35","78.0","0","4","22"
"devlin hodges","QB","PIT","2019","16","84","0","11","17","64.7%","4.9","18","37.0","2","3","19"
"brett hundley","QB","ARI","2019","16","49","0","4","9","44.4%","5.4","28","61.8","0","1","7"
"taysom hill","TE","NO","2019","16","20","0","1","2","50.0%","10.0","20","85.4","0","0","0"
"michael palardy","P","CAR","2019","16","12","0","1","1","100.0%","12.0","12","116.7","0","0","0"
"kelvin harmon","WR","WAS","2019","16","11","0","1","1","100.0%","11.0","11","112.5","0","0","0"
"logan cooke","P","JAX","2019","16","7","0","1","1","100.0%","7.0","7","95.8","0","0","0"
"andrew beck","TE","DEN","2019","16","6","0","1","1","100.0%","6.0","6","91.7","0","0","0"
"stefon diggs","WR","MIN","2019","16","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
"kareem hunt","RB","CLE","2019","16","0","0","0","0","-","-","0","0.0","0","1","8"
