"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","SackYds"
"jameis winston","QB","TB","2019","14","456","4","33","45","73.3%","10.1","61","107.3","3","1","7"
"ryan tannehill","QB","TEN","2019","14","391","3","21","27","77.8%","14.5","91","140.4","1","0","0"
"drew brees","QB","NO","2019","14","349","5","29","40","72.5%","8.7","49","138.4","0","0","0"
"jimmy garoppolo","QB","SF","2019","14","349","4","26","35","74.3%","10.0","75","131.7","1","3","30"
"dak prescott","QB","DAL","2019","14","334","1","27","49","55.1%","6.8","35","83.2","0","2","8"
"carson wentz","QB","PHI","2019","14","325","2","33","50","66.0%","6.5","30","97.5","0","3","25"
"philip rivers","QB","LAC","2019","14","314","3","16","22","72.7%","14.3","84","154.4","0","1","10"
"matt ryan","QB","ATL","2019","14","313","2","20","34","58.8%","9.2","93","109.1","0","1","11"
"drew lock","QB","DEN","2019","14","309","3","22","27","81.5%","11.4","48","136.0","1","1","8"
"jared goff","QB","LAR","2019","14","293","2","22","31","71.0%","9.5","33","95.2","2","0","0"
"kyle allen","QB","CAR","2019","14","293","1","28","41","68.3%","7.1","39","76.6","2","5","48"
"deshaun watson","QB","HOU","2019","14","292","1","28","50","56.0%","5.8","43","63.1","2","3","12"
"patrick mahomes ii","QB","KC","2019","14","283","1","26","40","65.0%","7.1","48","83.6","1","1","12"
"sam darnold","QB","NYJ","2019","14","270","2","20","36","55.6%","7.5","39","86.6","1","1","8"
"andy dalton","QB","CIN","2019","14","262","0","22","38","57.9%","6.9","24","68.1","1","2","16"
"derek carr","QB","OAK","2019","14","262","2","25","34","73.5%","7.7","49","115.1","0","2","4"
"jacoby brissett","QB","IND","2019","14","251","2","19","36","52.8%","7.0","50","93.6","0","1","8"
"ryan fitzpatrick","QB","MIA","2019","14","245","0","21","37","56.8%","6.6","25","65.7","1","2","5"
"russell wilson","QB","SEA","2019","14","245","0","22","36","61.1%","6.8","35","69.8","1","5","43"
"mitchell trubisky","QB","CHI","2019","14","244","3","23","31","74.2%","7.9","33","115.5","1","2","13"
"kirk cousins","QB","MIN","2019","14","242","1","24","30","80.0%","8.1","44","111.4","0","1","8"
"david blough","QB","DET","2019","14","205","1","24","40","60.0%","5.1","23","60.9","2","5","44"
"eli manning","QB","NYG","2019","14","203","2","15","30","50.0%","6.8","55","94.2","0","2","21"
"aaron rodgers","QB","GB","2019","14","195","1","18","28","64.3%","7.0","25","96.6","0","4","28"
"kyler murray","QB","ARI","2019","14","194","2","20","30","66.7%","6.5","31","67.2","3","5","29"
"baker mayfield","QB","CLE","2019","14","192","0","11","24","45.8%","8.0","34","38.9","2","1","5"
"dwayne haskins","QB","WAS","2019","14","170","1","16","27","59.3%","6.3","30","74.6","1","4","29"
"tom brady","QB","NE","2019","14","169","1","19","36","52.8%","4.7","37","63.3","1","3","20"
"gardner minshew","QB","JAX","2019","14","162","1","24","37","64.9%","4.4","22","83.4","0","2","7"
"devlin hodges","QB","PIT","2019","14","152","1","16","19","84.2%","8.0","22","117.5","0","3","17"
"josh allen 2","QB","BUF","2019","14","146","1","17","39","43.6%","3.7","37","62.6","0","6","41"
"lamar jackson","QB","BAL","2019","14","145","3","16","25","64.0%","5.8","61","102.5","1","1","6"
"emmanuel sanders","WR","SF","2019","14","35","1","1","1","100.0%","35.0","35","158.3","0","0","0"
"james white","RB","NE","2019","14","35","0","1","1","100.0%","35.0","35","118.8","0","0","0"
"tyrod taylor","QB","LAC","2019","14","26","1","3","5","60.0%","5.2","14","113.3","0","0","0"
"alex erickson","WR","CIN","2019","14","26","0","1","1","100.0%","26.0","26","118.8","0","0","0"
"ryan griffin 2","QB","TB","2019","14","18","0","2","4","50.0%","4.5","13","62.5","0","0","0"
"logan cooke","P","JAX","2019","14","9","0","1","1","100.0%","9.0","9","104.2","0","0","0"
"cooper kupp","WR","LAR","2019","14","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
"taysom hill","TE","NO","2019","14","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
