"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","SackYds"
"jameis winston","QB","TB","2019","6","400","1","30","54","55.6%","7.4","37","46.8","5","7","35"
"matt ryan","QB","ATL","2019","6","356","4","30","36","83.3%","9.9","30","144.9","0","2","15"
"kyler murray","QB","ARI","2019","6","340","3","27","37","73.0%","9.2","58","128.2","0","0","0"
"sam darnold","QB","NYJ","2019","6","338","2","23","32","71.9%","10.6","92","113.8","1","2","12"
"tom brady","QB","NE","2019","6","334","0","31","41","75.6%","8.1","36","88.9","1","3","21"
"kirk cousins","QB","MIN","2019","6","333","4","22","29","75.9%","11.5","62","138.4","1","1","8"
"philip rivers","QB","LAC","2019","6","320","2","26","44","59.1%","7.3","32","77.8","2","1","4"
"carson wentz","QB","PHI","2019","6","306","2","26","40","65.0%","7.7","45","94.4","1","2","14"
"russell wilson","QB","SEA","2019","6","295","2","23","33","69.7%","8.9","30","117.6","0","3","11"
"aaron rodgers","QB","GB","2019","6","283","2","24","39","61.5%","7.3","46","90.0","1","1","6"
"deshaun watson","QB","HOU","2019","6","280","1","30","42","71.4%","6.7","23","77.5","2","0","0"
"dak prescott","QB","DAL","2019","6","278","0","28","40","70.0%","7.0","23","89.4","0","1","8"
"patrick mahomes ii","QB","KC","2019","6","273","3","19","35","54.3%","7.8","52","96.5","1","1","17"
"matthew stafford","QB","DET","2019","6","265","0","18","32","56.3%","8.3","66","83.5","0","3","22"
"baker mayfield","QB","CLE","2019","6","249","1","22","37","59.5%","6.7","41","54.9","3","0","0"
"jimmy garoppolo","QB","SF","2019","6","243","0","24","33","72.7%","7.4","45","80.7","1","2","11"
"teddy bridgewater","QB","NO","2019","6","240","1","24","36","66.7%","6.7","27","94.7","0","3","18"
"lamar jackson","QB","BAL","2019","6","236","0","21","33","63.6%","7.2","39","84.9","0","1","8"
"andy dalton","QB","CIN","2019","6","235","0","21","39","53.8%","6.0","29","61.4","1","2","18"
"kyle allen","QB","CAR","2019","6","227","2","20","32","62.5%","7.1","30","104.6","0","2","18"
"joe flacco","QB","DEN","2019","6","177","0","18","28","64.3%","6.3","41","67.1","1","1","10"
"case keenum","QB","WAS","2019","6","166","2","13","25","52.0%","6.6","33","99.8","0","0","0"
"gardner minshew","QB","JAX","2019","6","163","0","14","29","48.3%","5.6","23","51.4","1","2","12"
"daniel jones","QB","NYG","2019","6","161","1","15","31","48.4%","5.2","64","35.2","3","1","0"
"ryan tannehill","QB","TEN","2019","6","144","0","13","16","81.3%","9.0","25","78.1","1","4","35"
"ryan fitzpatrick","QB","MIA","2019","6","132","1","12","18","66.7%","7.3","30","106.7","0","0","0"
"devlin hodges","QB","PIT","2019","6","132","1","15","20","75.0%","6.6","26","87.9","1","0","0"
"josh rosen","QB","MIA","2019","6","85","0","15","25","60.0%","3.4","16","32.9","2","5","30"
"jared goff","QB","LAR","2019","6","78","0","13","24","54.2%","3.3","12","60.8","0","4","30"
"marcus mariota","QB","TEN","2019","6","63","0","7","18","38.9%","3.5","17","9.5","2","3","7"
"jake elliott","K","PHI","2019","6","0","0","0","1","0.0%","0.0","0","0.0","1","0","0"
