"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","SackYds"
"baker mayfield","QB","CLE","2019","12","327","3","24","34","70.6%","9.6","37","118.1","1","1","7"
"sam darnold","QB","NYJ","2019","12","315","2","20","29","69.0%","10.9","69","127.8","0","1","2"
"jameis winston","QB","TB","2019","12","313","3","18","28","64.3%","11.2","71","108.2","2","0","0"
"drew brees","QB","NO","2019","12","311","3","30","39","76.9%","8.0","30","114.4","1","2","11"
"deshaun watson","QB","HOU","2019","12","298","2","19","30","63.3%","9.9","51","104.6","1","1","1"
"mitchell trubisky","QB","CHI","2019","12","278","1","25","41","61.0%","6.8","49","69.0","2","2","8"
"nick foles","QB","JAX","2019","12","272","0","32","48","66.7%","5.7","27","81.2","0","3","20"
"matt ryan","QB","ATL","2019","12","271","0","23","46","50.0%","5.9","53","59.2","1","6","46"
"ryan tannehill","QB","TEN","2019","12","259","2","14","18","77.8%","14.4","65","155.8","0","1","7"
"carson wentz","QB","PHI","2019","12","256","1","33","45","73.3%","5.7","30","75.8","2","3","18"
"kyle allen","QB","CAR","2019","12","256","3","23","36","63.9%","7.1","52","112.7","0","4","26"
"jimmy garoppolo","QB","SF","2019","12","253","2","14","20","70.0%","12.7","61","145.8","0","3","26"
"ryan fitzpatrick","QB","MIA","2019","12","214","2","21","39","53.8%","5.5","22","65.5","2","4","22"
"jared goff","QB","LAR","2019","12","212","0","26","37","70.3%","5.7","38","62.0","2","2","13"
"dak prescott","QB","DAL","2019","12","212","0","19","33","57.6%","6.4","59","64.2","1","0","0"
"jeff driskel","QB","DET","2019","12","207","1","20","33","60.6%","6.3","34","50.9","3","6","18"
"russell wilson","QB","SEA","2019","12","200","1","13","25","52.0%","8.0","38","75.4","1","6","26"
"ryan finley","QB","CIN","2019","12","192","1","12","26","46.2%","7.4","47","84.1","0","4","34"
"tom brady","QB","NE","2019","12","190","1","17","37","45.9%","5.1","32","70.8","0","2","9"
"josh allen 2","QB","BUF","2019","12","185","2","15","25","60.0%","7.4","34","92.9","1","1","5"
"lamar jackson","QB","BAL","2019","12","169","5","15","20","75.0%","8.5","38","139.4","0","2","9"
"dwayne haskins","QB","WAS","2019","12","156","0","13","29","44.8%","5.4","26","47.5","1","3","12"
"daniel jones","QB","NYG","2019","12","150","2","21","36","58.3%","4.2","23","86.6","0","1","16"
"jacoby brissett","QB","IND","2019","12","129","0","16","25","64.0%","5.2","14","76.9","0","1","8"
"derek carr","QB","OAK","2019","12","127","0","15","27","55.6%","4.7","19","52.5","1","1","7"
"devlin hodges","QB","PIT","2019","12","118","1","5","11","45.5%","10.7","79","115.0","0","2","11"
"aaron rodgers","QB","GB","2019","12","104","1","20","33","60.6%","3.2","15","75.8","0","5","38"
"mason rudolph","QB","PIT","2019","12","85","0","8","16","50.0%","5.3","35","39.8","1","1","13"
"brandon allen","QB","DEN","2019","12","82","0","10","25","40.0%","3.3","27","32.4","1","4","33"
"matt schaub","QB","ATL","2019","12","55","1","5","9","55.6%","6.1","21","110.9","0","0","0"
"robert griffin iii","QB","BAL","2019","12","39","0","1","3","33.3%","13.0","39","81.9","0","1","4"
"mike glennon","QB","OAK","2019","12","20","0","4","7","57.1%","2.9","9","62.2","0","0","0"
"tim boyle","QB","GB","2019","12","15","0","3","4","75.0%","3.8","7","80.2","0","0","0"
"steven sims","WR","WAS","2019","12","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
